,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Alfa Romeo,Stelvio,2.2 Sprint + Q4 190 Aut.,2021,12,23.514 km,Diesel,190 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-sprint-+-q4-190-aut-en-madrid.htm?id=8039271,35980
1,Alfa Romeo,Stelvio,2.2 Sprint Awd 190 Aut.,2023,04,22 km,Diesel,190 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-stelvio-22-sprint-awd-190-aut-en-valencia.htm?id=7821503,46990
2,Alfa Romeo,Tonale,1.5 Mhev Sprint Fwd,2023,01,16.030 km,Gasolina,130 CV,automática secuencial,5 puertas,ROJO ALFA,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-tonale-15-mhev-sprint-fwd-en-vizcaya.htm?id=8118692,35490
3,Alfa Romeo,Tonale,1.6 Ds Sprint Fwd,2023,,NUEVO,Diesel,130 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-tonale-16-ds-sprint-fwd-en-malaga.htm?id=8075879,42900
4,Alfa Romeo,Tonale,1.5 Mhev Sprint Fwd,2023,,NUEVO,Gasolina,130 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-tonale-15-mhev-sprint-fwd-en-malaga.htm?id=8075851,44800
5,Alfa Romeo,Stelvio,2.2 Sprint + Q4 190 Aut.,2022,01,3 km,Diesel,190 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-stelvio-22-sprint-+-q4-190-aut-en-alava.htm?id=8055328,46900
6,Alfa Romeo,Giulietta,1.4 Tb Multiair Sprint Tct 170,2016,,126.000 km,Gasolina,170 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-giulietta-14-tb-multiair-sprint-tct-170-en-madrid.htm?id=7170417,16490
7,Alfa Romeo,Stelvio,2.2 Sprint Q4 190 Aut.,2020,12,63.976 km,Diesel,190 CV,automática secuencial,5 puertas,NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-sprint-q4-190-aut-en-coruna+a.htm?id=7003031,35990
8,Alfa Romeo,Stelvio,2.2 Sprint Awd 190 Aut.,2022,,30.000 km,Diesel,190 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-sprint-awd-190-aut-en-burgos.htm?id=8051892,44900
9,Alfa Romeo,Tonale,1.3 Gas Multi-air Phev Sprint  Q4,2023,03,10 km,Híbrido,280 CV,automática secuencial,5 puertas,GRIS VESUVIO METALIZADO,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-tonale-13-gas-multi-air-phev-sprint--q4-en-barcelona.htm?id=8042781,53400
10,Alfa Romeo,Stelvio,2.2 Sprint Awd 190 Aut.,2022,04,16.365 km,Diesel,190 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-sprint-awd-190-aut-en-alava.htm?id=8015821,41000
11,Alfa Romeo,Stelvio,2.2 Sprint Q4 210 Aut.,2023,01,0 km,Diesel,210 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-stelvio-22-sprint-q4-210-aut-en-cordoba.htm?id=7954456,47700
12,Alfa Romeo,Stelvio,2.2 Sprint Rwd Aut. 160,2023,01,18.000 km,Diesel,160 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-sprint-rwd-aut-160-en-sevilla.htm?id=7947190,41500
13,Alfa Romeo,Giulia,2.0 Sprint Aut. 200,2022,01,7.497 km,Gasolina,200 CV,automática secuencial,4 puertas,ROJO,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-giulia-20-sprint-aut-200-en-asturias.htm?id=7845075,42590
14,Alfa Romeo,Giulia,2.0 Sprint Aut. 200,2023,05,0 km,Gasolina,200 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-giulia-20-sprint-aut-200-en-cordoba.htm?id=7788531,43700
15,Alfa Romeo,Stelvio,2.2 Sprint Rwd Aut. 160,2022,12,0 km,Diesel,160 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-stelvio-22-sprint-rwd-aut-160-en-sevilla.htm?id=7492014,41500
16,Alfa Romeo,Stelvio,2.2 Sprint Rwd Aut. 160,2022,12,0 km,Diesel,160 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-stelvio-22-sprint-rwd-aut-160-en-sevilla.htm?id=7378183,41500
17,Alfa Romeo,Stelvio,2.0 Sprint Q4 Aut. 200,2022,08,63 km,Gasolina,200 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-stelvio-20-sprint-q4-aut-200-en-alicante.htm?id=7181933,48990
18,Alfa Romeo,Stelvio,2.2 Sprint Awd 190 Aut.,2022,02,18 km,Diesel,190 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-stelvio-22-sprint-awd-190-aut-en-alicante.htm?id=6806791,47990
19,Alfa Romeo,Giulia,2.2 Diesel Sprint Aut. 160,2023,,NUEVO,Diesel,160 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-giulia-22-diesel-sprint-aut-160-en-cordoba.htm?id=7917202,42300
20,Alfa Romeo,Tonale,1.5 Mhev Sprint Fwd,2023,,NUEVO,Gasolina,130 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-tonale-15-mhev-sprint-fwd-en-cordoba.htm?id=7917199,37900
21,Alfa Romeo,Stelvio,2.2 Sprint Rwd Aut. 160,2023,,NUEVO,Diesel,160 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-stelvio-22-sprint-rwd-aut-160-en-cordoba.htm?id=7917187,47600
22,Alfa Romeo,Stelvio,2.0 Sprint Q4 Aut. 200,2022,,21.000 km,Gasolina,200 CV,automática secuencial,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-20-sprint-q4-aut-200-en-sevilla.htm?id=8088026,39900
23,Alfa Romeo,Stelvio,2.2 Sprint + Q4 190 Aut.,2021,,40.000 km,Diesel,190 CV,automática secuencial,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-sprint-+-q4-190-aut-en-alicante.htm?id=7753051,38000
24,Alfa Romeo,Stelvio,2.2 Sprint Rwd 190 Aut.,2021,12,89.330 km,Diesel,190 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-sprint-rwd-190-aut-en-madrid.htm?id=8127016,32990
25,Alfa Romeo,Giulia,2.2 Diesel Sprint Aut. 190,2023,03,10 km,Diesel,190 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-giulia-22-diesel-sprint-aut-190-en-malaga.htm?id=8125811,41900
26,Alfa Romeo,Tonale,1.6 Ds Sprint Fwd,2023,12,12 km,Diesel,130 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-tonale-16-ds-sprint-fwd-en-alava.htm?id=8112953,34645
27,Alfa Romeo,Tonale,1.6 Ds Sprint Fwd,2023,12,11 km,Diesel,130 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-tonale-16-ds-sprint-fwd-en-alava.htm?id=8112952,34645
28,Alfa Romeo,Tonale,1.6 Ds Sprint Fwd,2023,12,12 km,Diesel,130 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-tonale-16-ds-sprint-fwd-en-alava.htm?id=8112931,34645
29,Alfa Romeo,Tonale,1.6 Ds Sprint Fwd,2023,12,11 km,Diesel,130 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-tonale-16-ds-sprint-fwd-en-alava.htm?id=8112929,34645
30,Alfa Romeo,Stelvio,2.2 Sprint Awd 190 Aut.,2021,11,41.000 km,Diesel,190 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-sprint-awd-190-aut-en-madrid.htm?id=8111755,32990
31,Alfa Romeo,Tonale,1.5 Mhev Sprint Fwd,2023,11,NUEVO,Gasolina,130 CV,automática secuencial,5 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-tonale-15-mhev-sprint-fwd-en-madrid.htm?id=8089293,38705
32,Alfa Romeo,Stelvio,2.2 Sprint Rwd Aut. 160,2023,06,0 km,Diesel,160 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-stelvio-22-sprint-rwd-aut-160-en-madrid.htm?id=8082641,45600
33,Alfa Romeo,Stelvio,2.0 Sprint Q4 Aut. 200,2023,06,0 km,Gasolina,200 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-stelvio-20-sprint-q4-aut-200-en-madrid.htm?id=8082017,48800
34,Alfa Romeo,Stelvio,2.2 Sprint Awd 190 Aut.,2021,12,42.202 km,Diesel,190 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-sprint-awd-190-aut-en-madrid.htm?id=8080516,38500
35,Alfa Romeo,Stelvio,2.0 Sprint Q4 Aut. 200,2022,09,7.056 km,Gasolina,200 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-stelvio-20-sprint-q4-aut-200-en-madrid.htm?id=8080489,50900
36,Alfa Romeo,Giulia,2.2 Diesel Sprint Aut. 190,2023,06,0 km,Diesel,190 CV,automática secuencial,4 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-giulia-22-diesel-sprint-aut-190-en-madrid.htm?id=8080484,41900
37,Alfa Romeo,Stelvio,2.2 Sprint Q4 190 Aut.,2020,12,74.954 km,Diesel,190 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-sprint-q4-190-aut-en-barcelona.htm?id=8079123,37900
38,Alfa Romeo,Stelvio,2.2 Sprint + Q4 190 Aut.,2021,11,18.277 km,Diesel,190 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-sprint-+-q4-190-aut-en-madrid.htm?id=8072245,34990
39,Alfa Romeo,Stelvio,2.2 Sprint Rwd 190 Aut.,2021,11,28.000 km,Diesel,190 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-sprint-rwd-190-aut-en-madrid.htm?id=8070511,34490
40,Alfa Romeo,Stelvio,2.2 Sprint Q4 190 Aut.,2021,12,15.952 km,Diesel,190 CV,automática secuencial,5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-sprint-q4-190-aut-en-coruna+a.htm?id=8070174,39990
41,Alfa Romeo,Stelvio,2.2 Sprint Awd 190 Aut.,2023,06,24 km,Diesel,190 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-stelvio-22-sprint-awd-190-aut-en-malaga.htm?id=8064181,42800
42,Alfa Romeo,Stelvio,2.2 Sprint Awd 190 Aut.,2023,08,1 km,Diesel,190 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-stelvio-22-sprint-awd-190-aut-en-malaga.htm?id=8064174,49000
43,Alfa Romeo,Tonale,1.5 Mhev Sprint Fwd,2023,08,NUEVO,Gasolina,130 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-tonale-15-mhev-sprint-fwd-en-madrid.htm?id=8060262,32450
44,Alfa Romeo,Giulia,2.2 Diesel Sprint Aut. 190,2023,12,NUEVO,Diesel,190 CV,automática secuencial,4 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-giulia-22-diesel-sprint-aut-190-en-sevilla.htm?id=8045436,37615
45,Alfa Romeo,Giulia,2.2 Diesel Sprint Aut. 190,2023,12,NUEVO,Diesel,190 CV,automática secuencial,4 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-giulia-22-diesel-sprint-aut-190-en-sevilla.htm?id=8045395,37615
46,Alfa Romeo,Tonale,1.6 Ds Sprint Fwd,2022,12,25.996 km,Diesel,130 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-tonale-16-ds-sprint-fwd-en-madrid.htm?id=8029892,27890
