,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Alfa Romeo,Stelvio,2.2 Executive Awd 190 Aut.,2019,,35.000 km,Diesel,190 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-executive-awd-190-aut-en-lleida.htm?id=7925956,31500
1,Alfa Romeo,Stelvio,2.2 Veloce Q4 210 Aut.,2022,,13.000 km,Diesel,210 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-veloce-q4-210-aut-en-alicante.htm?id=8086515,53999
2,Alfa Romeo,Stelvio,2.2 Veloce Q4 210 Aut.,2021,,49.000 km,Diesel,210 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-veloce-q4-210-aut-en-palmas+las.htm?id=8104346,35950
3,Alfa Romeo,Stelvio,2.2 Executive Q4 210 Aut.,2020,01,71.894 km,Diesel,210 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-executive-q4-210-aut-en-pontevedra.htm?id=8081229,28900
4,Alfa Romeo,Stelvio,2.2 Executive Q4 210 Aut.,2020,01,65.727 km,Diesel,210 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-executive-q4-210-aut-en-pontevedra.htm?id=8081228,28700
5,Alfa Romeo,Stelvio,2.2 Executive Q4 210 Aut.,2020,01,61.980 km,Diesel,210 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-executive-q4-210-aut-en-pontevedra.htm?id=8081227,29300
6,Alfa Romeo,Stelvio,2.2 Veloce Q4 210 Aut.,2023,,10 km,Diesel,210 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-stelvio-22-veloce-q4-210-aut-en-barcelona.htm?id=7959892,56900
7,Alfa Romeo,Stelvio,2.2 Super Rwd Aut. 160,2022,,8 km,Diesel,160 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-stelvio-22-super-rwd-aut-160-en-guadalajara.htm?id=7958323,37900
8,Alfa Romeo,Stelvio,2.2 Executive Q4 210 Aut.,2020,01,69.693 km,Diesel,210 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-executive-q4-210-aut-en-pontevedra.htm?id=8081230,29600
9,Alfa Romeo,Stelvio,2.2 Executive Q4 210 Aut.,2020,01,69.662 km,Diesel,210 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-stelvio-22-executive-q4-210-aut-en-pontevedra.htm?id=8081226,29600
