,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Audi,Q3,35 Tdi Advanced S Tronic 110kw,2023,,19.295 km,Diesel,150 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-35-tdi-advanced-s-tronic-110kw-en-huesca.htm?id=8090601,38800
1,Audi,Q3,2.0tdi 110kw,2016,01,88.823 km,Diesel,150 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-20tdi-110kw-en-murcia.htm?id=8007942,21890
2,Audi,Q3,Sportback 35 Tdi S Line S Tronic,2019,,105.611 km,Diesel,150 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-sportback-35-tdi-s-line-s-tronic-en-malaga.htm?id=8112074,34900
3,Audi,Q3,35 Tdi Advanced S Tronic 110kw,2023,,23.916 km,Diesel,150 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-35-tdi-advanced-s-tronic-110kw-en-huesca.htm?id=8090603,38800
4,Audi,Q3,35 Tdi S Line S Tronic 110kw,2020,,92.000 km,Diesel,150 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-35-tdi-s-line-s-tronic-110kw-en-sevilla.htm?id=8068531,35990
5,Audi,Q3,35 Tdi S Line S Tronic 110kw,2023,01,6.000 km,Diesel,150 CV,automática secuencial,5 puertas,Negro Mitos (metalizado),Profesional,https://www.coches.com/km0/seminuevo-audi-q3-35-tdi-s-line-s-tronic-110kw-en-cadiz.htm?id=7870298,42900
6,Audi,Q3,35 Tfsi Advanced,2020,,94.878 km,Gasolina,150 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-35-tfsi-advanced-en-huesca.htm?id=8090598,28800
7,Audi,Q3,35 Tdi Advanced S Tronic 110kw,2019,,83.000 km,Diesel,150 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-35-tdi-advanced-s-tronic-110kw-en-sevilla.htm?id=7967422,31450
8,Audi,Q3,35 Tdi S Line S Tronic 110kw,2023,,59 km,Diesel,150 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-audi-q3-35-tdi-s-line-s-tronic-110kw-en-huesca.htm?id=8091340,45800
9,Audi,Q3,35 Tdi S Tronic 110kw,2021,11,54.033 km,Diesel,150 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-35-tdi-s-tronic-110kw-en-sevilla.htm?id=8126285,28890
