,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Audi,Q4 E-Tron,40 Black Line 82kwh,2023,,6.585 km,Eléctrico,204 CV,automática,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-40-black-line-82kwh-en-madrid.htm?id=8128179,49890
1,Audi,Q4 E-Tron,40 Advanced 82kwh,2023,10,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,AZUL,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-40-advanced-82kwh-en-castellon.htm?id=8055660,52900
2,Audi,Q4 E-Tron,35 Advanced 55kwh,2022,,15 km,Eléctrico,170 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-35-advanced-55kwh-en-castellon.htm?id=7999023,46900
3,Audi,Q4 E-Tron,40 Black Line 82kwh,2023,,1.980 km,Eléctrico,204 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-40-black-line-82kwh-en-barcelona.htm?id=8068918,54990
4,Audi,Q4 E-Tron,40 Advanced 82kwh,2023,10,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco Glaciar,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-40-advanced-82kwh-en-barcelona.htm?id=8059264,54400
5,Audi,Q4 E-Tron,40 82kwh,2021,01,5.663 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco Glaciar Metalizado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q4+e-tron-40-82kwh-en-navarra.htm?id=8081910,52000
6,Audi,Q4 E-Tron,40 S Line 82kwh,2023,,850 km,Eléctrico,204 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-40-s-line-82kwh-en-jaen.htm?id=7872898,55900
7,Audi,Q4 E-Tron,40 Advanced 82kwh,2023,01,2 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris Balasto,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-40-advanced-82kwh-en-navarra.htm?id=8049363,54450
8,Audi,Q4 E-Tron,40 Advanced 82kwh,2023,05,3.886 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-40-advanced-82kwh-en-tenerife.htm?id=8042025,43900
9,Audi,Q4 E-Tron,40 Advanced 82kwh,2023,05,3.886 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-40-advanced-82kwh-en-tenerife.htm?id=8042013,43900
10,Audi,Q4 E-Tron,Sportback 40 Black Line 82kwh,2023,02,14.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris Balasto,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q4+e-tron-sportback-40-black-line-82kwh-en-cadiz.htm?id=7872464,55900
11,Audi,Q4 E-Tron,40 Black Line 82kwh,2023,02,9.765 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris Balasto,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-40-black-line-82kwh-en-burgos.htm?id=7742719,52900
12,Audi,Q4 E-Tron,40 Advanced 82kwh,2022,12,15.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris Tifón (metalizado),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q4+e-tron-40-advanced-82kwh-en-burgos.htm?id=7741318,49500
13,Audi,Q4 E-Tron,40 Advanced 82kwh,2023,04,1.500 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-40-advanced-82kwh-en-almeria.htm?id=7863501,52500
14,Audi,Q4 E-Tron,Sportback 40 S-line 82kwh,2023,10,650 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Violeta,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-sportback-40-s-line-82kwh-en-almeria.htm?id=8022587,57500
15,Audi,Q4 E-Tron,40 Advanced 82kwh,2023,01,6.500 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Violeta,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-40-advanced-82kwh-en-almeria.htm?id=8002886,52500
16,Audi,Q4 E-Tron,40 Advanced 82kwh,2022,08,29.021 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q4+e-tron-40-advanced-82kwh-en-caceres.htm?id=7927954,46990
17,Audi,Q4 E-Tron,40 Advanced 82kwh,2023,,NUEVO,Eléctrico,204 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-40-advanced-82kwh-en-almeria.htm?id=7710031,54990
18,Audi,Q4 E-Tron,40 Advanced 82kwh,2023,,NUEVO,Eléctrico,204 CV,automática,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-40-advanced-82kwh-en-almeria.htm?id=7710028,55474
19,Audi,Q4 E-Tron,Sportback 40 Advanced 82kwh,2023,,NUEVO,Eléctrico,204 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-sportback-40-advanced-82kwh-en-almeria.htm?id=7796746,54490
20,Audi,Q4 E-Tron,40 Advanced 82kwh,2022,,25.799 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-audi-q4+e-tron-40-advanced-82kwh-en-madrid.htm?id=7990449,33000
21,Audi,Q4 E-Tron,Sportback 50 Quattro S Line 82kwh,2020,09,20.652 km,Eléctrico,299 CV,"directo, sin caja de cambios",5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q4+e-tron-sportback-50-quattro-s-line-82kwh-en-madrid.htm?id=8127911,70990
22,Audi,Q4 E-Tron,40 82kwh,2021,06,50 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q4+e-tron-40-82kwh-en-lugo.htm?id=8119431,48900
23,Audi,Q4 E-Tron,40 Black Line 82kwh,2023,03,17.758 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Azul Navarra,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q4+e-tron-40-black-line-82kwh-en-barcelona.htm?id=8113196,62500
24,Audi,Q4 E-Tron,40 Advanced 82kwh,2023,06,6.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-40-advanced-82kwh-en-cadiz.htm?id=8113005,58900
25,Audi,Q4 E-Tron,40 Advanced 82kwh,2023,04,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,AZUL,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-40-advanced-82kwh-en-castellon.htm?id=8100902,53900
26,Audi,Q4 E-Tron,Sportback 40 82kwh,2023,03,5.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-audi-q4+e-tron-sportback-40-82kwh-en-palmas+las.htm?id=8098744,53990
27,Audi,Q4 E-Tron,40 82kwh,2021,01,15.445 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,AZUL NAVARRA METALIZADO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q4+e-tron-40-82kwh-en-murcia.htm?id=8096829,51000
