,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Audi,R8,5.2 Fsi V10 Plus Quattro S Tronic,2016,,54.000 km,Gasolina,610 CV,automática secuencial,2 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-r8-52-fsi-v10-plus-quattro-s-tronic-en-sevilla.htm?id=8082200,111900
1,Audi,R8,Spyder 4.2 Fsi Quattro S-tronic,2013,,125.000 km,Gasolina,430 CV,automática secuencial,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-r8-spyder-42-fsi-quattro-s-tronic-en-granada.htm?id=8085012,77500
2,Audi,R8,Spyder 4.2 Fsi Quattro R Tronic,2011,,78.000 km,Gasolina,430 CV,automática secuencial,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-r8-spyder-42-fsi-quattro-r-tronic-en-valencia.htm?id=8083541,69900
3,Audi,R8,5.2 Fsi V10 Plus Quattro S Tronic,2016,,47.000 km,Gasolina,610 CV,automática secuencial,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-r8-52-fsi-v10-plus-quattro-s-tronic-en-sevilla.htm?id=8056364,114900
4,Audi,R8,4.2 Fsi Quattro R Tronic,2010,,127.500 km,Gasolina,420 CV,manual,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-r8-42-fsi-quattro-r-tronic-en-tarragona.htm?id=7994598,48900
5,Audi,R8,4.2 Fsi Quattro R Tronic,2008,,97.000 km,Gasolina,420 CV,automática secuencial,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-r8-42-fsi-quattro-r-tronic-en-sevilla.htm?id=8018402,55990
6,Audi,R8,5.2 Fsi Quattro R Tronic,2009,05,100.300 km,Gasolina,525 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-r8-52-fsi-quattro-r-tronic-en-barcelona.htm?id=8125877,64900
7,Audi,R8,Spyder V10 Fsi Performance Quattro S Tronic 456kw,2019,06,39.105 km,Gasolina,620 CV,automática secuencial,2 puertas,GRIS PERLADO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-r8-spyder-v10-fsi-performance-quattro-s-tronic-456kw-en-madrid.htm?id=8096352,179990
8,Audi,R8,V10 Fsi Performance Quattro S Tronic 456kw,2020,01,46.000 km,Gasolina,620 CV,automática secuencial,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-r8-v10-fsi-performance-quattro-s-tronic-456kw-en-madrid.htm?id=8092257,159999
9,Audi,R8,4.2 Fsi Quattro S-tronic,2014,11,90.000 km,Gasolina,430 CV,automática secuencial,2 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-r8-42-fsi-quattro-s-tronic-en-sevilla.htm?id=8087464,79990
10,Audi,R8,4.2 Fsi Quattro R Tronic,2009,03,127.000 km,Gasolina,420 CV,automática secuencial,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-r8-42-fsi-quattro-r-tronic-en-madrid.htm?id=8038943,75870
