,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Audi,Tt,Roadster 1.8t 6vel. 180,2000,03,160.000 km,Gasolina,180 CV,manual,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-tt-roadster-18t-6vel-180-en-tarragona.htm?id=8078974,10499
1,Audi,Tt,Coupé 2.0 Tfsi S Line Edition,2015,,100.000 km,Gasolina,230 CV,automática,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-tt-coupe-20-tfsi-s-line-edition-en-valencia.htm?id=8128194,29900
2,Audi,Tt,Coupé 1.8 Tfsi S-tronic,2018,01,80.000 km,Gasolina,180 CV,automática secuencial,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-tt-coupe-18-tfsi-s-tronic-en-tarragona.htm?id=8112730,30999
3,Audi,Tt,Coupé 1.8 Tfsi,2011,,197.000 km,Gasolina,160 CV,manual,2 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-tt-coupe-18-tfsi-en-malaga.htm?id=8107034,13490
4,Audi,Tt,Roadster 1.8 Tfsi,2010,,172.000 km,Gasolina,160 CV,manual,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-tt-roadster-18-tfsi-en-alicante.htm?id=8042614,14499
5,Audi,Tt,Coupé 2.0 Tfsi Quaro S-tronic,2008,,137.000 km,Gasolina,200 CV,manual,2 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-tt-coupe-20-tfsi-quattro-s-tronic-en-alicante.htm?id=8114145,17900
6,Audi,Tt,Roadster 1.8t,2002,04,185.000 km,Gasolina,150 CV,manual,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-tt-roadster-18t-en-girona.htm?id=7801181,10900
7,Audi,Tt,Coupé 3.2 Quaro,2007,,189.000 km,Gasolina,250 CV,manual,2 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-tt-coupe-32-quattro-en-barcelona.htm?id=8070618,14490
8,Audi,Tt,S Roadster 2.0 Tfsi Quaro S-tronic,2017,10,46.014 km,Gasolina,310 CV,automática secuencial,2 puertas,NEGRO ,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-tt-s-roadster-20-tfsi-quattro-s-tronic-en-madrid.htm?id=8022855,41900
9,Audi,Tt,Coupé 2.0 Tfsi Q. S Line Edition S-t,2016,,84.800 km,Gasolina,230 CV,automática secuencial,2 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-tt-coupe-20-tfsi-q-s-line-edition-s-t-en-vizcaya.htm?id=7700950,33800
