,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Audi,E-Tron,55 Quattro,2020,,28.000 km,Eléctrico,408 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-55-quattro-en-palmas+las.htm?id=7986597,42900
1,Audi,E-Tron,55 Quattro Edition One,2020,01,44.000 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-55-quattro-edition-one-en-palmas+las.htm?id=7948163,41990
2,Audi,E-Tron,50 Quattro S Line,2021,,39.000 km,Eléctrico,313 CV,automática,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-50-quattro-s-line-en-tarragona.htm?id=8054041,45500
3,Audi,E-Tron,Sportback 55 Quattro S Line,2020,,43.000 km,Eléctrico,408 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-sportback-55-quattro-s-line-en-tenerife.htm?id=8095304,38990
4,Audi,E-Tron,55 Quattro Sport,2019,,92.396 km,Eléctrico,408 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-55-quattro-sport-en-cadiz.htm?id=8107190,40900
5,Audi,E-Tron,55 Quattro Advanced,2019,08,42.404 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-55-quattro-advanced-en-alicante.htm?id=8072956,47750
6,Audi,E-Tron,50 Quattro Advanced,2020,07,33.739 km,Eléctrico,313 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-50-quattro-advanced-en-palmas+las.htm?id=7944921,44995
7,Audi,E-Tron,Sportback 55 Quattro,2021,03,40.064 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-sportback-55-quattro-en-valencia.htm?id=7923882,66538
8,Audi,E-Tron,55 Quattro Black Line Edition,2022,07,8.800 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-audi-e-tron-55-quattro-black-line-edition-en-valladolid.htm?id=7857774,89000
9,Audi,E-Tron,55 Quattro Advanced,2019,12,6.000 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-55-quattro-advanced-en-almeria.htm?id=7846068,57900
10,Audi,E-Tron,55 Quattro,2021,03,8.228 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-55-quattro-en-madrid.htm?id=8124681,62950
11,Audi,E-Tron,50 Quattro Advanced,2020,10,55.500 km,Eléctrico,313 CV,"directo, sin caja de cambios",5 puertas,Negro Brillante,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-50-quattro-advanced-en-burgos.htm?id=7818990,39900
12,Audi,E-Tron,55 Quattro S Line Plus,2022,05,6.500 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-audi-e-tron-55-quattro-s-line-plus-en-almeria.htm?id=7744692,85900
13,Audi,E-Tron,50 Quattro Black Line Edition,2021,,23.000 km,Eléctrico,313 CV,"directo, sin caja de cambios",5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-50-quattro-black-line-edition-en-alicante.htm?id=8006127,46799
14,Audi,E-Tron,55 Quattro,2021,,63.000 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-55-quattro-en-avila.htm?id=7727235,36060
15,Audi,E-Tron,50 Quattro Advanced,2021,03,26.017 km,Eléctrico,313 CV,"directo, sin caja de cambios",5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-50-quattro-advanced-en-valencia.htm?id=8114956,47615
16,Audi,E-Tron,Sportback 50 Quattro S Line,2021,03,61.716 km,Eléctrico,313 CV,"directo, sin caja de cambios",5 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-sportback-50-quattro-s-line-en-valencia.htm?id=8114955,50028
17,Audi,E-Tron,Sportback 50 Quattro S Line,2021,03,19.500 km,Eléctrico,313 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-sportback-50-quattro-s-line-en-valencia.htm?id=8114954,52460
18,Audi,E-Tron,Sportback 50 Quattro S Line,2021,03,20.917 km,Eléctrico,313 CV,"directo, sin caja de cambios",5 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-sportback-50-quattro-s-line-en-valencia.htm?id=8114953,54725
19,Audi,E-Tron,Sportback 50 Quattro S Line,2021,03,19.500 km,Eléctrico,313 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-sportback-50-quattro-s-line-en-valencia.htm?id=8114952,54725
20,Audi,E-Tron,Sportback 50 Quattro Advanced,2022,03,15.184 km,Eléctrico,313 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-e-tron-sportback-50-quattro-advanced-en-valencia.htm?id=8114951,56990
