,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Bmw,Serie 5,520da Business,2018,12,125.000 km,Diesel,190 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-business-en-cadiz.htm?id=7930690,29999
1,Bmw,Serie 5,530da Xdrive Luxury,2015,,199.800 km,Diesel,258 CV,automática secuencial,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-530da-xdrive-luxury-en-coruna+a.htm?id=8034109,19990
2,Bmw,Serie 5,535da Gran Turismo,2010,,155.000 km,Diesel,300 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-535da-gran-turismo-en-barcelona.htm?id=8054145,11950
3,Bmw,Serie 5,530da Touring Xdrive,2012,09,285.000 km,Diesel,258 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-530da-touring-xdrive-en-barcelona.htm?id=7979807,11299
4,Bmw,Serie 5,520d (4.75),2018,,85.000 km,Diesel,190 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520d-475-en-sevilla.htm?id=8125837,24990
5,Bmw,Serie 5,530d,2010,,240.000 km,Diesel,245 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-530d-en-vizcaya.htm?id=8095769,12999
6,Bmw,Serie 5,525d Touring,2012,,230.000 km,Diesel,218 CV,automática,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-525d-touring-en-alicante.htm?id=8051960,12899
7,Bmw,Serie 5,520da Touring,2018,,112.000 km,Diesel,190 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-touring-en-sevilla.htm?id=8122830,24900
8,Bmw,Serie 5,520d Touring,2018,,84.000 km,Diesel,190 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520d-touring-en-madrid.htm?id=8074112,25900
9,Bmw,Serie 5,540da Xdrive,2022,,43.000 km,Diesel,340 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-540da-xdrive-en-madrid.htm?id=7959748,66900
10,Bmw,Serie 5,530da,2012,,172.000 km,Diesel,258 CV,automática secuencial,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-530da-en-madrid.htm?id=8122736,17490
11,Bmw,Serie 5,520da,2019,05,89.601 km,Diesel,190 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-en-toledo.htm?id=8064710,27299
12,Bmw,Serie 5,525da,2011,,208.000 km,Diesel,204 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-525da-en-alicante.htm?id=8002428,13499
13,Bmw,Serie 5,530e Touring,2021,09,8.990 km,Híbrido,292 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-530e-touring-en-madrid.htm?id=8001389,64900
14,Bmw,Serie 5,530e Iperformance,2018,03,70.000 km,Híbrido,251 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-530e-iperformance-en-granada.htm?id=7915613,32490
15,Bmw,Serie 5,520d Touring,2012,06,179.634 km,Diesel,184 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520d-touring-en-malaga.htm?id=7896519,12900
16,Bmw,Serie 5,523i Aut.,2008,02,149.999 km,Gasolina,190 CV,automática secuencial,4 puertas,Gris-negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-523i-aut-en-barcelona.htm?id=7854967,9999
17,Bmw,Serie 5,520da,2015,,151.000 km,Diesel,190 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-en-valencia.htm?id=8125390,18500
18,Bmw,Serie 5,550ia Xdrive,2015,,120.000 km,Gasolina,449 CV,automática secuencial,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-550ia-xdrive-en-madrid.htm?id=8115771,35990
19,Bmw,Serie 5,520da Gran Turismo,2014,,99.636 km,Diesel,184 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-gran-turismo-en-pontevedra.htm?id=8093086,21500
20,Bmw,Serie 5,520da Touring,2023,03,23.920 km,Diesel,190 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-touring-en-sevilla.htm?id=8057161,49890
21,Bmw,Serie 5,520da Touring,2023,03,23.920 km,Diesel,190 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-touring-en-madrid.htm?id=8057140,49890
22,Bmw,Serie 5,520da Touring,2023,03,23.920 km,Diesel,190 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-touring-en-malaga.htm?id=8055304,49890
23,Bmw,Serie 5,520da,2020,07,41.638 km,Diesel,190 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-en-murcia.htm?id=7838358,34300
24,Bmw,Serie 5,535da Xdrive,2016,,193.000 km,Diesel,313 CV,automática secuencial,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-535da-xdrive-en-granada.htm?id=7706341,26000
25,Bmw,Serie 5,520da,2020,,95.000 km,Diesel,190 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-en-almeria.htm?id=7693068,28900
26,Bmw,Serie 5,520da,2012,,199.000 km,Diesel,184 CV,automática secuencial,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-en-madrid.htm?id=8128227,13990
27,Bmw,Serie 5,520d,2013,,104.000 km,Diesel,184 CV,automática,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520d-en-valencia.htm?id=8125238,19500
28,Bmw,Serie 5,520da,2011,,137.250 km,Diesel,184 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-en-alicante.htm?id=8114019,15900
29,Bmw,Serie 5,530d,2003,,300.000 km,Diesel,193 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-530d-en-vizcaya.htm?id=8104710,4500
30,Bmw,Serie 5,520da,2017,01,36.608 km,Diesel,190 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-en-toledo.htm?id=8100853,24799
31,Bmw,Serie 5,535da Touring Xdrive,2013,,137.526 km,Diesel,313 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-535da-touring-xdrive-en-jaen.htm?id=8098113,25900
32,Bmw,Serie 5,530da Xdrive,2020,12,6.000 km,Diesel,265 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-530da-xdrive-en-lugo.htm?id=8091124,66900
33,Bmw,Serie 5,520da,2012,04,138.329 km,Diesel,184 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-en-toledo.htm?id=8085570,15499
