,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Bmw,Z4,Sdrive 20ia,2019,,17.400 km,Gasolina,197 CV,automática secuencial,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-lugo.htm?id=7890508,42900
1,Bmw,Z4,M40i,2019,09,29.987 km,Gasolina,340 CV,automática secuencial,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-m40i-en-murcia.htm?id=7921693,59900
2,Bmw,Z4,2.2i,2006,,210.000 km,Gasolina,170 CV,manual,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-22i-en-malaga.htm?id=8001916,8500
3,Bmw,Z4,Sdrive 30i,2021,,19.000 km,Gasolina,258 CV,automática secuencial,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-30i-en-madrid.htm?id=8015807,51500
4,Bmw,Z4,Sdrive 30i,2022,,38.338 km,Gasolina,258 CV,automática secuencial,2 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-30i-en-malaga.htm?id=8122261,54999
5,Bmw,Z4,Sdrive 20ia,2021,06,41.791 km,Gasolina,197 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-sevilla.htm?id=8089621,39890
6,Bmw,Z4,Sdrive 20ia,2021,06,41.791 km,Gasolina,197 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-malaga.htm?id=8089613,39890
7,Bmw,Z4,Sdrive 20ia,2021,07,34.402 km,Gasolina,197 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-sevilla.htm?id=8080061,41890
8,Bmw,Z4,Sdrive 20ia,2021,06,41.791 km,Gasolina,197 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-madrid.htm?id=8080056,39890
9,Bmw,Z4,Sdrive 20ia,2021,07,34.402 km,Gasolina,197 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-madrid.htm?id=8079866,41890
10,Bmw,Z4,Sdrive 20ia,2021,07,34.402 km,Gasolina,197 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-malaga.htm?id=8079220,41890
11,Bmw,Z4,Sdrive20ia,2016,,57.000 km,Gasolina,184 CV,automática secuencial,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive20ia-en-sevilla.htm?id=8038232,29990
12,Bmw,Z4,Sdrive20i,2012,12,92.212 km,Gasolina,184 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive20i-en-vizcaya.htm?id=8036138,26900
13,Bmw,Z4,2.0i,2008,,61.835 km,Gasolina,150 CV,manual,2 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-20i-en-tarragona.htm?id=8107150,16990
14,Bmw,Z4,2.5i,2003,07,178.476 km,Gasolina,192 CV,manual,2 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-25i-en-rioja+la.htm?id=8051632,10500
15,Bmw,Z4,Sdrive 20ia,2023,03,12.867 km,Gasolina,197 CV,automática secuencial,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-granada.htm?id=8045383,49900
16,Bmw,Z4,Sdrive 20ia,2019,,48.000 km,Gasolina,197 CV,automática secuencial,2 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-valencia.htm?id=8003473,43900
17,Bmw,Z4,Sdrive 20ia,2020,,49.000 km,Gasolina,197 CV,automática secuencial,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-valencia.htm?id=7976466,43900
18,Bmw,Z4,Sdrive28i,2012,06,112.032 km,Gasolina,245 CV,manual,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive28i-en-valladolid.htm?id=7969151,23900
19,Bmw,Z4,Sdrive23i,2011,04,60.788 km,Gasolina,204 CV,manual,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive23i-en-alicante.htm?id=7938058,24990
20,Bmw,Z4,Sdrive 20ia,2021,07,41.211 km,Gasolina,197 CV,automática secuencial,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-malaga.htm?id=8074269,41890
21,Bmw,Z4,Sdrive 20ia,2021,07,41.211 km,Gasolina,197 CV,automática secuencial,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-sevilla.htm?id=8074261,41890
22,Bmw,Z4,Sdrive 20ia,2021,07,41.211 km,Gasolina,197 CV,automática secuencial,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-madrid.htm?id=8074258,41890
23,Bmw,Z4,M Coupé,2007,,90.000 km,Gasolina,343 CV,manual,2 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-m-coupe-en-barcelona.htm?id=7994378,42995
24,Bmw,Z4,Sdrive 20i,2022,09,0 km,Gasolina,197 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-bmw-z4-sdrive-20i-en-cadiz.htm?id=7711181,47200
25,Bmw,Z4,Sdrive 20i,2022,09,0 km,Gasolina,197 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-bmw-z4-sdrive-20i-en-cadiz.htm?id=7711091,47200
26,Bmw,Z4,Sdrive 20i,2022,09,0 km,Gasolina,197 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-bmw-z4-sdrive-20i-en-sevilla.htm?id=7710721,47200
27,Bmw,Z4,Sdrive 20i,2022,09,0 km,Gasolina,197 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-bmw-z4-sdrive-20i-en-sevilla.htm?id=7183093,47200
28,Bmw,Z4,2.5i,2004,,150.000 km,Gasolina,192 CV,manual,2 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-25i-en-valencia.htm?id=7502277,9400
29,Bmw,Z4,2.5i,2003,,170.000 km,Gasolina,192 CV,manual,2 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-25i-en-barcelona.htm?id=8109136,12000
30,Bmw,Z4,2.5i,2008,,280.000 km,Gasolina,177 CV,manual,2 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-25i-en-madrid.htm?id=7782098,10750
31,Bmw,Z4,2.0i,2008,,112.000 km,Gasolina,150 CV,manual,2 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-20i-en-tenerife.htm?id=8113956,13500
32,Bmw,Z4,2.5i Aut.,2008,,140.000 km,Gasolina,177 CV,automática secuencial,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-25i-aut-en-madrid.htm?id=8059818,13500
33,Bmw,Z4,Sdrive23i,2009,,187.000 km,Gasolina,204 CV,manual,2 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive23i-en-granada.htm?id=8034960,16800
34,Bmw,Z4,Coupé 3.0i,2006,,230.000 km,Gasolina,265 CV,manual,2 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-coupe-30i-en-madrid.htm?id=8020390,15000
35,Bmw,Z4,2.0i,2008,,51.000 km,Gasolina,150 CV,manual,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-20i-en-illes+balears.htm?id=7699725,20000
36,Bmw,Z4,2.5i,2003,06,180.000 km,Gasolina,192 CV,manual,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-25i-en-madrid.htm?id=8113513,10990
37,Bmw,Z4,Sdrive 20ia,2023,05,9.196 km,Gasolina,197 CV,automática secuencial,2 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-bmw-z4-sdrive-20ia-en-illes+balears.htm?id=8108969,56950
38,Bmw,Z4,Sdrive 20ia,2023,05,3.500 km,Gasolina,197 CV,automática secuencial,2 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-bmw-z4-sdrive-20ia-en-illes+balears.htm?id=8107431,57450
39,Bmw,Z4,M40i,2021,06,43.143 km,Gasolina,340 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-m40i-en-madrid.htm?id=8092629,56990
40,Bmw,Z4,M40i,2021,06,51.200 km,Gasolina,340 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-m40i-en-madrid.htm?id=8084544,54990
41,Bmw,Z4,M40i,2021,06,55.520 km,Gasolina,340 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-m40i-en-madrid.htm?id=8080659,54990
42,Bmw,Z4,2.5i Aut.,2007,05,130.000 km,Gasolina,177 CV,automática secuencial,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-25i-aut-en-alicante.htm?id=8077313,15999
43,Bmw,Z4,2.0i,2006,09,47.000 km,Gasolina,150 CV,manual,2 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-20i-en-alicante.htm?id=8077302,15999
44,Bmw,Z4,3.0i,2003,07,208.000 km,Gasolina,231 CV,manual,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-30i-en-alicante.htm?id=8074777,12999
45,Bmw,Z4,2.5i,2005,06,112.000 km,Gasolina,192 CV,manual,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-25i-en-alicante.htm?id=8074714,15999
46,Bmw,Z4,Sdrive 20ia,2023,03,19.800 km,Gasolina,197 CV,automática secuencial,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-granada.htm?id=8067483,49900
47,Bmw,Z4,Sdrive 20ia,2020,07,70.642 km,Gasolina,197 CV,automática secuencial,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-madrid.htm?id=8044869,37890
48,Bmw,Z4,Sdrive 20ia,2022,09,5.980 km,Gasolina,197 CV,automática secuencial,2 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-bmw-z4-sdrive-20ia-en-madrid.htm?id=8044843,50990
49,Bmw,Z4,M40i,2019,03,63.500 km,Gasolina,340 CV,automática secuencial,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-m40i-en-alicante.htm?id=8000575,52900
50,Bmw,Z4,Sdrive 20ia,2021,07,48.295 km,Gasolina,197 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-madrid.htm?id=7992170,40990
51,Bmw,Z4,Sdrive 20ia,2020,02,35.953 km,Gasolina,197 CV,automática secuencial,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-alicante.htm?id=7971910,44990
52,Bmw,Z4,3.0i,2003,12,44.632 km,Gasolina,231 CV,manual,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-30i-en-madrid.htm?id=7691919,19890
53,Bmw,Z4,Sdrive 30i,2021,04,3.000 km,Gasolina,258 CV,automática secuencial,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-30i-en-alicante.htm?id=7617297,52499
54,Bmw,Z4,Sdrive23i,2009,09,146.049 km,Gasolina,204 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive23i-en-madrid.htm?id=7189213,17150
55,Bmw,Z4,2.0i,2007,09,150.000 km,Gasolina,150 CV,manual,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-20i-en-alicante.htm?id=6195925,11999
56,Bmw,Z4,Sdrive 20ia,2019,,17.400 km,Gasolina,197 CV,automática secuencial,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-lugo.htm?id=7890508,42900
57,Bmw,Z4,M40i,2019,09,29.987 km,Gasolina,340 CV,automática secuencial,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-m40i-en-murcia.htm?id=7921693,59900
58,Bmw,Z4,2.2i,2006,,210.000 km,Gasolina,170 CV,manual,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-22i-en-malaga.htm?id=8001916,8500
59,Bmw,Z4,Sdrive 30i,2021,,19.000 km,Gasolina,258 CV,automática secuencial,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-30i-en-madrid.htm?id=8015807,51500
60,Bmw,Z4,Sdrive 30i,2022,,38.338 km,Gasolina,258 CV,automática secuencial,2 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-30i-en-malaga.htm?id=8122261,54999
61,Bmw,Z4,Sdrive 20ia,2021,06,41.791 km,Gasolina,197 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-sevilla.htm?id=8089621,39890
62,Bmw,Z4,Sdrive 20ia,2021,06,41.791 km,Gasolina,197 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-malaga.htm?id=8089613,39890
63,Bmw,Z4,Sdrive 20ia,2021,07,34.402 km,Gasolina,197 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-sevilla.htm?id=8080061,41890
64,Bmw,Z4,Sdrive 20ia,2021,06,41.791 km,Gasolina,197 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-madrid.htm?id=8080056,39890
65,Bmw,Z4,Sdrive 20ia,2021,07,34.402 km,Gasolina,197 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-madrid.htm?id=8079866,41890
66,Bmw,Z4,Sdrive 20ia,2021,07,34.402 km,Gasolina,197 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-malaga.htm?id=8079220,41890
67,Bmw,Z4,Sdrive20ia,2016,,57.000 km,Gasolina,184 CV,automática secuencial,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive20ia-en-sevilla.htm?id=8038232,29990
68,Bmw,Z4,Sdrive20i,2012,12,92.212 km,Gasolina,184 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive20i-en-vizcaya.htm?id=8036138,26900
69,Bmw,Z4,2.0i,2008,,61.835 km,Gasolina,150 CV,manual,2 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-20i-en-tarragona.htm?id=8107150,16990
70,Bmw,Z4,2.5i,2003,07,178.476 km,Gasolina,192 CV,manual,2 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-25i-en-rioja+la.htm?id=8051632,10500
71,Bmw,Z4,Sdrive 20ia,2023,03,12.867 km,Gasolina,197 CV,automática secuencial,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-sdrive-20ia-en-granada.htm?id=8045383,49900
