,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Citroen,C-Elysée,1.6 Vti Seduction 115,2015,,120.000 km,Gasolina,115 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c-elysee-16-vti-seduction-115-en-ciudad+real.htm?id=7802126,6490
1,Citroen,C-Elysée,1.6bluehdi Exclusive 100,2016,,180.000 km,Diesel,99 CV,manual,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c-elysee-16bluehdi-exclusive-100-en-sevilla.htm?id=8084621,6500
2,Citroen,C-Elysée,1.6bluehdi Seduction 100,2016,,65.000 km,Diesel,99 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c-elysee-16bluehdi-seduction-100-en-cadiz.htm?id=8051651,8900
3,Citroen,C-Elysée,1.2 Puretech Shine 82,2018,,140.000 km,Gasolina,82 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c-elysee-12-puretech-shine-82-en-caceres.htm?id=8040746,6800
4,Citroen,C-Elysée,1.2 Puretech Exclusive 82,2017,,69.000 km,Gasolina,82 CV,manual,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c-elysee-12-puretech-exclusive-82-en-cadiz.htm?id=8111030,8000
5,Citroen,C-Elysée,1.2 Puretech Shine 82,2018,11,36.353 km,Gasolina,82 CV,manual,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c-elysee-12-puretech-shine-82-en-toledo.htm?id=8070183,10299
6,Citroen,C-Elysée,1.6 Vti Seduction 115,2015,,120.000 km,Gasolina,115 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c-elysee-16-vti-seduction-115-en-ciudad+real.htm?id=8046691,7490
7,Citroen,C-Elysée,1.6bluehdi Seduction 100,2017,,115.000 km,Diesel,99 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c-elysee-16bluehdi-seduction-100-en-malaga.htm?id=8108490,8990
8,Citroen,C-Elysée,1.6hdi Seduction 92,2015,07,139.000 km,Diesel,92 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c-elysee-16hdi-seduction-92-en-palmas+las.htm?id=8086237,6990
9,Citroen,C-Elysée,1.2 Puretech Shine 82,2017,09,48.578 km,Gasolina,82 CV,manual,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c-elysee-12-puretech-shine-82-en-toledo.htm?id=8082525,10199
