,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Citroen,C4 Spacetourer,1.2 Puretech S&s Shine 130,2019,,107.000 km,Gasolina,130 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+spacetourer-12-puretech-s_s-shine-130-en-sevilla.htm?id=8115510,14490
1,Citroen,C4 Spacetourer,1.5bluehdi S&s Feel 130,2019,,77.239 km,Diesel,130 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+spacetourer-15bluehdi-s_s-feel-130-en-navarra.htm?id=8057827,15500
2,Citroen,C4 Spacetourer,1.5bluehdi S&s Feel 130,2019,,199.000 km,Diesel,130 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+spacetourer-15bluehdi-s_s-feel-130-en-madrid.htm?id=8033648,10500
3,Citroen,C4 Spacetourer,1.5bluehdi S&s Feel 130,2019,,199.800 km,Diesel,130 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+spacetourer-15bluehdi-s_s-feel-130-en-madrid.htm?id=8006022,10500
4,Citroen,C4 Spacetourer,1.2 Puretech S&s Feel 130,2018,10,90.134 km,Gasolina,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+spacetourer-12-puretech-s_s-feel-130-en-toledo.htm?id=8067579,14899
5,Citroen,C4 Spacetourer,1.2 Puretech S&s Live 110,2018,,132.000 km,Gasolina,110 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+spacetourer-12-puretech-s_s-live-110-en-madrid.htm?id=7998925,12900
6,Citroen,C4 Spacetourer,1.5bluehdi S&s Live 130,2018,,145.000 km,Diesel,130 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+spacetourer-15bluehdi-s_s-live-130-en-navarra.htm?id=7859101,13300
7,Citroen,C4 Spacetourer,1.2 Puretech Eat8 Origins 130,2020,,105.000 km,Gasolina,130 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+spacetourer-12-puretech-eat8-origins-130-en-tarragona.htm?id=8091700,18500
8,Citroen,C4 Spacetourer,1.5bluehdi Shine Eat8 130,2019,09,129.866 km,Diesel,130 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+spacetourer-15bluehdi-shine-eat8-130-en-madrid.htm?id=8084748,15990
9,Citroen,C4 Spacetourer,1.2 Puretech Eat8 Feel 130,2020,,55.912 km,Gasolina,130 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+spacetourer-12-puretech-eat8-feel-130-en-jaen.htm?id=8079010,18900
10,Citroen,C4 Spacetourer,1.6bluehdi S&s Shine 120,2018,,184.000 km,Diesel,120 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+spacetourer-16bluehdi-s_s-shine-120-en-malaga.htm?id=8066999,13900
11,Citroen,C4 Spacetourer,1.5bluehdi Feel Eat8 130,2020,,197.483 km,Diesel,130 CV,automática secuencial,5 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+spacetourer-15bluehdi-feel-eat8-130-en-navarra.htm?id=8057817,12990
