,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Citroen,C4 X,1.2 Puretech Plus S&s Eat8 130,2023,,NUEVO,Gasolina,130 CV,automática,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-citroen-c4+x-12-puretech-plus-s_s-eat8-130-en-toledo.htm?id=8111047,25300
1,Citroen,C4 X,1.2 Puretech Feel Pack S&s Eat8 130,2023,,30 km,Gasolina,130 CV,automática,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-citroen-c4+x-12-puretech-feel-pack-s_s-eat8-130-en-malaga.htm?id=8115420,24900
2,Citroen,C4 X,1.2 Puretech Max S&s Eat8 130,2023,01,2.539 km,Gasolina,130 CV,automática,4 puertas,GRIS PLATINO,Profesional,https://www.coches.com/km0/seminuevo-citroen-c4+x-12-puretech-max-s_s-eat8-130-en-vizcaya.htm?id=8083211,26500
3,Citroen,C4 X,1.5 Bluehdi S&s Feel Pack Eat8 130,2023,,1.220 km,Diesel,130 CV,automática,4 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-citroen-c4+x-15-bluehdi-s_s-feel-pack-eat8-130-en-zaragoza.htm?id=8064701,27200
4,Citroen,C4 X,1.2 Puretech Feel S&s 100,2023,,NUEVO,Gasolina,100 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-citroen-c4+x-12-puretech-feel-s_s-100-en-toledo.htm?id=8111049,21500
5,Citroen,C4 X,1.2 Puretech Shine S&s Eat8 130,2023,,30.000 km,Gasolina,130 CV,automática,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+x-12-puretech-shine-s_s-eat8-130-en-toledo.htm?id=8111043,25900
6,Citroen,C4 X,1.5 Bluehdi S&s Feel Pack Eat8 130,2023,01,16.361 km,Diesel,130 CV,automática,4 puertas,NEGRO PERLA NAC,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+x-15-bluehdi-s_s-feel-pack-eat8-130-en-vizcaya.htm?id=8104456,28493
7,Citroen,C4 X,1.2 Puretech Feel S&s 100,2023,,NUEVO,Gasolina,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-citroen-c4+x-12-puretech-feel-s_s-100-en-toledo.htm?id=8111052,21600
8,Citroen,C4 X,1.2 Puretech Feel S&s 100,2023,,NUEVO,Gasolina,100 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-citroen-c4+x-12-puretech-feel-s_s-100-en-toledo.htm?id=8111051,21800
9,Citroen,C4 X,1.2 Puretech Feel S&s 100,2023,11,NUEVO,Gasolina,100 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-citroen-c4+x-12-puretech-feel-s_s-100-en-cadiz.htm?id=8052387,20450
10,Citroen,C4 X,1.2 Puretech Feel S&s 100,2023,11,NUEVO,Gasolina,100 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-citroen-c4+x-12-puretech-feel-s_s-100-en-cadiz.htm?id=8052357,20450
11,Citroen,C4 X,1.2 Puretech Feel S&s 100,2023,11,NUEVO,Gasolina,100 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-citroen-c4+x-12-puretech-feel-s_s-100-en-sevilla.htm?id=8052329,20450
12,Citroen,C4 X,1.2 Puretech Feel S&s 100,2023,11,NUEVO,Gasolina,100 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-citroen-c4+x-12-puretech-feel-s_s-100-en-sevilla.htm?id=8052307,20450
