,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Citroen,C4,X Eléctrico Feel Pack 100kw,2023,01,4.461 km,Eléctrico,136 CV,"directo, sin caja de cambios",4 puertas,BLANCO BANQUISE,Profesional,https://www.coches.com/km0/seminuevo-citroen-c4-x-electrico-feel-pack-100kw-en-cadiz.htm?id=8042812,32000
1,Citroen,C4,1.2 Puretech Feel Pack S&s 130,2021,08,35.167 km,Gasolina,130 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-12-puretech-feel-pack-s_s-130-en-barcelona.htm?id=7983767,18500
2,Citroen,C4,Picasso 2.0hdi Millenium 150,2011,10,279.756 km,Diesel,150 CV,manual,5 puertas,AZUL,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-picasso-20hdi-millenium-150-en-zamora.htm?id=6962033,7000
3,Citroen,C4,Grand Picasso 2.0hdi Millenium Cmp,2010,12,171.345 km,Diesel,136 CV,manual automatizada,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-grand-picasso-20hdi-millenium-cmp-en-girona.htm?id=8048372,5900
4,Citroen,C4,1.2 Puretech S&s Shine 130,2017,,106.252 km,Gasolina,130 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-12-puretech-s_s-shine-130-en-ciudad+real.htm?id=8120910,11850
5,Citroen,C4,Picasso 1.2 Puretech S&s Attraction,2015,,113.200 km,Gasolina,130 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-picasso-12-puretech-s_s-attraction-en-albacete.htm?id=8014486,11950
6,Citroen,C4,1.2 Puretech Live Edition 110,2015,,156.000 km,Gasolina,110 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-12-puretech-live-edition-110-en-madrid.htm?id=8125632,6995
7,Citroen,C4,1.6hdi Business 110,2010,,135.000 km,Diesel,112 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-16hdi-business-110-en-alicante.htm?id=8118718,5499
8,Citroen,C4,X Eléctrico Shine 100kw,2023,01,31 km,Eléctrico,136 CV,"directo, sin caja de cambios",4 puertas,NEGRO PERLA,Profesional,https://www.coches.com/km0/seminuevo-citroen-c4-x-electrico-shine-100kw-en-madrid.htm?id=8116906,28999
9,Citroen,C4,X Eléctrico Shine 100kw,2023,01,1 km,Eléctrico,136 CV,"directo, sin caja de cambios",4 puertas,NEGRO PERLA,Profesional,https://www.coches.com/km0/seminuevo-citroen-c4-x-electrico-shine-100kw-en-madrid.htm?id=8112835,29500
10,Citroen,C4,X Eléctrico Feel Pack 100kw,2023,01,1 km,Eléctrico,136 CV,"directo, sin caja de cambios",4 puertas,BLANCO BANQUISE,Profesional,https://www.coches.com/km0/seminuevo-citroen-c4-x-electrico-feel-pack-100kw-en-madrid.htm?id=8112831,28500
11,Citroen,C4,X Eléctrico Shine 100kw,2023,01,1 km,Eléctrico,136 CV,"directo, sin caja de cambios",4 puertas,GRIS PLATINO,Profesional,https://www.coches.com/km0/seminuevo-citroen-c4-x-electrico-shine-100kw-en-madrid.htm?id=8112828,28499
12,Citroen,C4,X Eléctrico Shine 100kw,2023,,NUEVO,Eléctrico,136 CV,automática,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-citroen-c4-x-electrico-shine-100kw-en-toledo.htm?id=8111090,29800
13,Citroen,C4,X Eléctrico Shine 100kw,2023,01,1 km,Eléctrico,136 CV,"directo, sin caja de cambios",4 puertas,BLANCO BANQUISE,Profesional,https://www.coches.com/km0/seminuevo-citroen-c4-x-electrico-shine-100kw-en-madrid.htm?id=8097176,29099
14,Citroen,C4,1.5 Bluehdi S&s Feel Pack Eat8 130,2021,06,33.000 km,Diesel,130 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-15-bluehdi-s_s-feel-pack-eat8-130-en-sevilla.htm?id=8073243,19500
