,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Citroen,C5 Aircross,Bluehdi S&s C-series 130,2022,06,34.570 km,Diesel,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-bluehdi-s_s-c-series-130-en-almeria.htm?id=7896886,25600
1,Citroen,C5 Aircross,Bluehdi S&s Shine 130,2021,,39.000 km,Diesel,130 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-bluehdi-s_s-shine-130-en-sevilla.htm?id=7401965,29900
2,Citroen,C5 Aircross,Hybrid Feel Pack Eat8 180,2023,,NUEVO,Híbrido,180 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-citroen-c5+aircross-hybrid-feel-pack-eat8-180-en-toledo.htm?id=8111072,34650
3,Citroen,C5 Aircross,Bluehdi S&s Feel 130,2019,01,22.738 km,Diesel,130 CV,manual,5 puertas,GRIS PLATINO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-bluehdi-s_s-feel-130-en-cadiz.htm?id=8049333,18700
4,Citroen,C5 Aircross,Bluehdi S&s Live 130,2020,11,70.892 km,Diesel,130 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-bluehdi-s_s-live-130-en-toledo.htm?id=8048662,18299
5,Citroen,C5 Aircross,Hybrid Feel Pack Eat8 225,2022,07,14.862 km,Híbrido,225 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-hybrid-feel-pack-eat8-225-en-madrid.htm?id=8125068,29990
6,Citroen,C5 Aircross,Bluehdi S&s Shine 130,2021,,22.000 km,Diesel,130 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-bluehdi-s_s-shine-130-en-malaga.htm?id=8117745,20999
7,Citroen,C5 Aircross,Hybrid Feel Eat8,2021,03,35.316 km,Híbrido,225 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-hybrid-feel-eat8-en-toledo.htm?id=8065379,26799
8,Citroen,C5 Aircross,Hybrid Shine Eat8,2020,09,41.751 km,Híbrido,225 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-hybrid-shine-eat8-en-toledo.htm?id=8065375,24899
9,Citroen,C5 Aircross,Hybrid Shine Pack Eat8 225,2023,,NUEVO,Híbrido,225 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-citroen-c5+aircross-hybrid-shine-pack-eat8-225-en-toledo.htm?id=8111066,37700
10,Citroen,C5 Aircross,Bluehdi S&s C-series 130,2022,06,11.834 km,Diesel,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-bluehdi-s_s-c-series-130-en-barcelona.htm?id=8085133,25990
11,Citroen,C5 Aircross,Bluehdi S&s C-series 130,2022,06,20 km,Diesel,130 CV,manual,5 puertas,BLEU ECLIPSE,Profesional,https://www.coches.com/km0/seminuevo-citroen-c5+aircross-bluehdi-s_s-c-series-130-en-barcelona.htm?id=8083393,27900
12,Citroen,C5 Aircross,Bluehdi S&s C-series 130,2022,05,13.013 km,Diesel,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-bluehdi-s_s-c-series-130-en-barcelona.htm?id=8079964,25990
13,Citroen,C5 Aircross,Puretech S&s Feel 130,2019,,38.000 km,Gasolina,130 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-puretech-s_s-feel-130-en-malaga.htm?id=8077741,19400
14,Citroen,C5 Aircross,Bluehdi S&s C-series 130,2022,05,15.617 km,Diesel,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-bluehdi-s_s-c-series-130-en-barcelona.htm?id=8074642,25990
15,Citroen,C5 Aircross,Hybrid Feel Pack Eat8 180,2023,01,10 km,Híbrido,180 CV,automática secuencial,5 puertas,GRIS PLATINO,Profesional,https://www.coches.com/km0/seminuevo-citroen-c5+aircross-hybrid-feel-pack-eat8-180-en-madrid.htm?id=8052143,34900
16,Citroen,C5 Aircross,Bluehdi S&s C-series 130,2022,08,13.500 km,Diesel,130 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-bluehdi-s_s-c-series-130-en-barcelona.htm?id=8033788,25500
17,Citroen,C5 Aircross,Puretech S&s Feel 130,2022,01,2 km,Gasolina,130 CV,manual,5 puertas,GRIS PLATINUM,Profesional,https://www.coches.com/km0/seminuevo-citroen-c5+aircross-puretech-s_s-feel-130-en-barcelona.htm?id=8023656,25900
18,Citroen,C5 Aircross,Bluehdi S&s C-series 130,2022,01,10 km,Diesel,130 CV,manual,5 puertas,GRIS PLATINO,Profesional,https://www.coches.com/km0/seminuevo-citroen-c5+aircross-bluehdi-s_s-c-series-130-en-barcelona.htm?id=8000782,27900
19,Citroen,C5 Aircross,Bluehdi S&s C-series 130,2022,06,15.203 km,Diesel,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-bluehdi-s_s-c-series-130-en-barcelona.htm?id=7993312,25500
20,Citroen,C5 Aircross,Hybrid Shine Eat8,2021,04,44.478 km,Híbrido,225 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-hybrid-shine-eat8-en-madrid.htm?id=7983022,26990
21,Citroen,C5 Aircross,Hybrid C-series Eat8 180,2023,07,468 km,Híbrido,180 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-citroen-c5+aircross-hybrid-c-series-eat8-180-en-barcelona.htm?id=7948098,34850
22,Citroen,C5 Aircross,Hybrid Feel Pack Eat8 180,2023,,NUEVO,Híbrido,180 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-citroen-c5+aircross-hybrid-feel-pack-eat8-180-en-toledo.htm?id=8111063,34250
23,Citroen,C5 Aircross,Bluehdi S&s C-series 130,2021,,73.000 km,Diesel,130 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-bluehdi-s_s-c-series-130-en-madrid.htm?id=8104703,20990
24,Citroen,C5 Aircross,Bluehdi S&s Feel 130,2019,11,78.308 km,Diesel,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-bluehdi-s_s-feel-130-en-toledo.htm?id=8095046,19599
