,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ds,Ds5,Hybrid4 Airdream Style Cmp,2014,,108.000 km,Híbrido,200 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds5-hybrid4-airdream-style-cmp-en-vizcaya.htm?id=7868347,15990
1,Ds,Ds5,2.0bluehdi S&s Style Eat6 180,2018,06,45.118 km,Diesel,180 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds5-20bluehdi-s_s-style-eat6-180-en-vizcaya.htm?id=8082907,23900
2,Ds,Ds5,2.0bluehdi S&s Style 150,2016,,86.000 km,Diesel,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds5-20bluehdi-s_s-style-150-en-zaragoza.htm?id=8077617,17900
3,Ds,Ds5,1.6bluehdi S&s Desire 120,2017,12,56.482 km,Diesel,120 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds5-16bluehdi-s_s-desire-120-en-vizcaya.htm?id=8000143,17900
4,Ds,Ds5,2.0bluehdi S&s Sport Eat6 180,2018,,80.000 km,Diesel,180 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds5-20bluehdi-s_s-sport-eat6-180-en-ciudad+real.htm?id=7801819,18490
5,Ds,Ds5,2.0bluehdi S&s Performance Line 150,2018,,124.000 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds5-20bluehdi-s_s-performance-line-150-en-badajoz.htm?id=8049521,17600
6,Ds,Ds5,2.0bluehdi S&s Performance Line 150,2018,,124.000 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds5-20bluehdi-s_s-performance-line-150-en-badajoz.htm?id=8019767,17600
7,Ds,Ds5,2.0hdi Desire 160,2015,08,113.296 km,Diesel,163 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds5-20hdi-desire-160-en-madrid.htm?id=7982877,15850
8,Ds,Ds5,2.0bluehdi S&s Performance Line 150,2018,,124.000 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds5-20bluehdi-s_s-performance-line-150-en-badajoz.htm?id=7964357,17600
9,Ds,Ds5,2.0bluehdi Style Eat6 180,2015,,50.000 km,Diesel,180 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds5-20bluehdi-style-eat6-180-en-pontevedra.htm?id=7833372,19500
10,Ds,Ds5,1.6bluehdi S&s Design 120,2017,,122.000 km,Diesel,120 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds5-16bluehdi-s_s-design-120-en-pontevedra.htm?id=7828390,14700
