,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Dacia,Spring,Electric Comfort 45 33kw,2021,,32.000 km,Eléctrico,45 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-spring-electric-comfort-45-33kw-en-toledo.htm?id=8086477,12900
1,Dacia,Spring,Electric Essential 45 33kw,2023,,8.980 km,Eléctrico,45 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-dacia-spring-electric-essential-45-33kw-en-alicante.htm?id=8114013,16900
2,Dacia,Spring,Electric Essential 45 33kw,2023,,6.005 km,Eléctrico,45 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-dacia-spring-electric-essential-45-33kw-en-alicante.htm?id=8114005,16900
3,Dacia,Spring,Electric Comfort Plus 45 33kw,2021,,12.800 km,Eléctrico,45 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-spring-electric-comfort-plus-45-33kw-en-alicante.htm?id=8068540,15590
4,Dacia,Spring,Electric Expression 45 33kw,2022,,150 km,Eléctrico,45 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-dacia-spring-electric-expression-45-33kw-en-toledo.htm?id=8062789,22900
5,Dacia,Spring,Electric Extreme 65 48kw,2023,,1.000 km,Eléctrico,65 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-dacia-spring-electric-extreme-65-48kw-en-madrid.htm?id=8092868,22050
6,Dacia,Spring,Electric Comfort Plus 45 33kw,2022,,7.415 km,Eléctrico,45 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-dacia-spring-electric-comfort-plus-45-33kw-en-alicante.htm?id=8017623,15590
7,Dacia,Spring,Electric Expression 45 33kw,2023,01,5.000 km,Eléctrico,45 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-dacia-spring-electric-expression-45-33kw-en-barcelona.htm?id=7998967,18900
8,Dacia,Spring,Electric Business 45 33kw,2022,03,3.300 km,Eléctrico,45 CV,"directo, sin caja de cambios",5 puertas,Plata,Profesional,https://www.coches.com/km0/seminuevo-dacia-spring-electric-business-45-33kw-en-madrid.htm?id=7967072,17500
9,Dacia,Spring,Electric Essential 45 33kw,2023,,400 km,Eléctrico,45 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-dacia-spring-electric-essential-45-33kw-en-barcelona.htm?id=7909509,21950
10,Dacia,Spring,Electric Comfort Plus 45 33kw,2021,,35.000 km,Eléctrico,45 CV,"directo, sin caja de cambios",5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-dacia-spring-electric-comfort-plus-45-33kw-en-murcia.htm?id=7942939,15000
11,Dacia,Spring,Electric Essential 45 33kw,2023,04,4.050 km,Eléctrico,45 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-dacia-spring-electric-essential-45-33kw-en-asturias.htm?id=8095211,19900
12,Dacia,Spring,Electric Extreme 65 48kw,2023,02,1.300 km,Eléctrico,65 CV,"directo, sin caja de cambios",5 puertas,VERDE,Profesional,https://www.coches.com/km0/seminuevo-dacia-spring-electric-extreme-65-48kw-en-asturias.htm?id=8092689,24500
13,Dacia,Spring,Electric Extreme 65 48kw,2023,06,27 km,Eléctrico,65 CV,"directo, sin caja de cambios",5 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-dacia-spring-electric-extreme-65-48kw-en-pontevedra.htm?id=8084793,24450
14,Dacia,Spring,Electric Expression 45 33kw,2023,02,1.000 km,Eléctrico,45 CV,"directo, sin caja de cambios",5 puertas,Gris Rayo (metalizado),Profesional,https://www.coches.com/km0/seminuevo-dacia-spring-electric-expression-45-33kw-en-pontevedra.htm?id=8080389,20100
15,Dacia,Spring,Electric Expression 45 33kw,2023,01,2.181 km,Eléctrico,45 CV,"directo, sin caja de cambios",5 puertas,Gris Rayo,Profesional,https://www.coches.com/km0/seminuevo-dacia-spring-electric-expression-45-33kw-en-alicante.htm?id=8077531,21910
16,Dacia,Spring,Electric Expression 45 33kw,2023,01,1.686 km,Eléctrico,45 CV,"directo, sin caja de cambios",5 puertas,Gris Rayo,Profesional,https://www.coches.com/km0/seminuevo-dacia-spring-electric-expression-45-33kw-en-alicante.htm?id=8077530,21910
17,Dacia,Spring,Electric Expression 45 33kw,2022,12,7.000 km,Eléctrico,45 CV,"directo, sin caja de cambios",5 puertas,Liquen Caqui (metalizado),Profesional,https://www.coches.com/km0/seminuevo-dacia-spring-electric-expression-45-33kw-en-pontevedra.htm?id=8071575,20100
18,Dacia,Spring,Electric Essential 45 33kw,2023,02,0 km,Eléctrico,45 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-dacia-spring-electric-essential-45-33kw-en-palmas+las.htm?id=8055831,16930
19,Dacia,Spring,Electric Expression 45 33kw,2023,05,223 km,Eléctrico,45 CV,"directo, sin caja de cambios",5 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-dacia-spring-electric-expression-45-33kw-en-barcelona.htm?id=8054936,20900
20,Dacia,Spring,Electric Expression 45 33kw,2023,04,44 km,Eléctrico,45 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-dacia-spring-electric-expression-45-33kw-en-barcelona.htm?id=8054935,19900
