,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Dfsk,500,Luxury 4x2 Aut,2023,05,28 km,Gasolina,116 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-dfsk-500-luxury-4x2-aut-en-alava.htm?id=8001038,20500
1,Dfsk,500,Intelligent 4x2 Aut,2023,05,21 km,Gasolina,116 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-dfsk-500-intelligent-4x2-aut-en-alava.htm?id=7998597,22500
2,Dfsk,500,Luxury 4x2 Aut,2023,05,NUEVO,Gasolina,116 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-dfsk-500-luxury-4x2-aut-en-burgos.htm?id=7988798,22500
3,Dfsk,500,Luxury Eco 4x2 Aut,2023,09,NUEVO,Gasolina,116 CV,automática secuencial,5 puertas,Marrón,Profesional,https://www.coches.com/km0/seminuevo-dfsk-500-luxury-eco-4x2-aut-en-burgos.htm?id=7985693,25900
4,Dfsk,500,Luxury 4x2 Aut,2023,,1 km,Gasolina,116 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-dfsk-500-luxury-4x2-aut-en-alava.htm?id=7749855,21990
5,Dfsk,500,Luxury 4x2 Aut,2023,,4.000 km,Gasolina,116 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-dfsk-500-luxury-4x2-aut-en-sevilla.htm?id=7704226,21500
6,Dfsk,500,Luxury Eco 4x2 Aut,2023,,1 km,Gasolina,116 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-dfsk-500-luxury-eco-4x2-aut-en-alava.htm?id=7686929,23775
7,Dfsk,500,Intelligent 4x2 Aut,2023,11,10 km,Gasolina,116 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-dfsk-500-intelligent-4x2-aut-en-granada.htm?id=8051098,23600
8,Dfsk,500,Intelligent 4x2 Aut,2023,,9.000 km,Gasolina,116 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-dfsk-500-intelligent-4x2-aut-en-guadalajara.htm?id=8034862,20950
9,Dfsk,500,Intelligent Eco 4x2 Aut,2023,01,10.900 km,Gasolina,116 CV,automática secuencial,5 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dfsk-500-intelligent-eco-4x2-aut-en-burgos.htm?id=7760325,25900
10,Dfsk,500,Intelligent 4x2 Aut,2023,,11.000 km,Gasolina,116 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dfsk-500-intelligent-4x2-aut-en-guadalajara.htm?id=7639669,19500
11,Dfsk,500,Luxury 4x2 Aut,2023,06,1.000 km,Gasolina,116 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-dfsk-500-luxury-4x2-aut-en-malaga.htm?id=8109986,20000
12,Dfsk,500,Intelligent 4x2 Aut,2023,02,18.000 km,Gasolina,116 CV,automática secuencial,5 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dfsk-500-intelligent-4x2-aut-en-malaga.htm?id=8093534,21800
13,Dfsk,500,Intelligent 4x2 Aut,2023,05,11.161 km,Gasolina,116 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dfsk-500-intelligent-4x2-aut-en-barcelona.htm?id=8086422,19900
14,Dfsk,500,Intelligent 4x2 Aut,2023,02,100 km,Gasolina,116 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-dfsk-500-intelligent-4x2-aut-en-albacete.htm?id=8072417,24990
15,Dfsk,500,Luxury 4x2 Aut,2023,06,10 km,Gasolina,116 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-dfsk-500-luxury-4x2-aut-en-toledo.htm?id=7835792,21790
