,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Dfsk,Glory 580,580 1.5t Intelligent 4x2 Aut,2023,08,27 km,Gasolina,149 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-dfsk-glory+580-580-15t-intelligent-4x2-aut-en-alava.htm?id=7998027,25600
1,Dfsk,Glory 580,580 1.5t Intelligent 4x2 Aut,2023,09,NUEVO,Gasolina,149 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-dfsk-glory+580-580-15t-intelligent-4x2-aut-en-burgos.htm?id=7988803,29990
2,Dfsk,Glory 580,580 1.5t Luxury 4x2 Aut,2023,09,NUEVO,Gasolina,149 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-dfsk-glory+580-580-15t-luxury-4x2-aut-en-burgos.htm?id=7988801,28690
3,Dfsk,Glory 580,580 1.5t Luxury 4x2 Aut,2023,09,NUEVO,Gasolina,149 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-dfsk-glory+580-580-15t-luxury-4x2-aut-en-burgos.htm?id=7988796,28690
4,Dfsk,Glory 580,580 1.5t Intelligent 4x2 Aut,2023,09,NUEVO,Gasolina,149 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-dfsk-glory+580-580-15t-intelligent-4x2-aut-en-burgos.htm?id=7988794,29990
5,Dfsk,Glory 580,580 1.5t Intelligent 4x2 Aut,2023,02,NUEVO,Gasolina,149 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-dfsk-glory+580-580-15t-intelligent-4x2-aut-en-burgos.htm?id=7627207,30500
6,Dfsk,Glory 580,580 1.5t Luxury 4x2 Aut,2020,09,13.700 km,Gasolina,136 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dfsk-glory+580-580-15t-luxury-4x2-aut-en-almeria.htm?id=7218216,25900
7,Dfsk,Glory 580,580 1.5t Luxury 4x2 Aut,2019,,130.000 km,Gasolina,149 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dfsk-glory+580-580-15t-luxury-4x2-aut-en-lleida.htm?id=8117074,16900
8,Dfsk,Glory 580,580 1.5t Intelligent 4x2 Aut,2023,01,0 km,Gasolina,149 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-dfsk-glory+580-580-15t-intelligent-4x2-aut-en-almeria.htm?id=8021483,23800
9,Dfsk,Glory 580,580 1.5t Intelligent 4x2 Aut,2023,10,0 km,Gasolina,149 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-dfsk-glory+580-580-15t-intelligent-4x2-aut-en-almeria.htm?id=8021481,23800
