,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Dfsk,Seres 3,Advanced,2023,,1 km,Eléctrico,163 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-dfsk-seres+3-advanced-en-alava.htm?id=7813955,36990
1,Dfsk,Seres 3,Advanced,2023,,0 km,Eléctrico,163 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-dfsk-seres+3-advanced-en-guadalajara.htm?id=8055898,34800
2,Dfsk,Seres 3,Advanced,2023,,1 km,Eléctrico,163 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-dfsk-seres+3-advanced-en-alava.htm?id=8020399,36990
3,Dfsk,Seres 3,S2,2022,07,7 km,Eléctrico,163 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-dfsk-seres+3-s2-en-almeria.htm?id=7211442,38200
4,Dfsk,Seres 3,S2,2022,10,7 km,Eléctrico,163 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-dfsk-seres+3-s2-en-almeria.htm?id=7373461,37200
5,Dfsk,Seres 3,S2,2021,,40.000 km,Eléctrico,163 CV,automática secuencial,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-dfsk-seres+3-s2-en-madrid.htm?id=8097529,22900
6,Dfsk,Seres 3,S2,2022,08,17.350 km,Eléctrico,163 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dfsk-seres+3-s2-en-valencia.htm?id=8114937,23995
7,Dfsk,Seres 3,S2,2023,08,1 km,Eléctrico,163 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-dfsk-seres+3-s2-en-barcelona.htm?id=8086412,26900
8,Dfsk,Seres 3,Advanced,2023,11,10 km,Eléctrico,163 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-dfsk-seres+3-advanced-en-granada.htm?id=8082671,39600
9,Dfsk,Seres 3,S2,2022,03,5.500 km,Eléctrico,163 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-dfsk-seres+3-s2-en-albacete.htm?id=8072485,31990
10,Dfsk,Seres 3,S2,2023,06,100 km,Eléctrico,163 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-dfsk-seres+3-s2-en-toledo.htm?id=7887520,37490
11,Dfsk,Seres 3,S2,2021,10,9.900 km,Eléctrico,163 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dfsk-seres+3-s2-en-burgos.htm?id=7057000,36500
