,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Fiat,500X,1.6mjt S&s Dolcevita Connect 97kw,2021,03,40.847 km,Diesel,130 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-500x-16mjt-s_s-dolcevita-connect-97kw-en-madrid.htm?id=8123654,16990
1,Fiat,500X,1.6mjt S&s Red 97kw,2022,02,5.708 km,Diesel,130 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-fiat-500x-16mjt-s_s-red-97kw-en-barcelona.htm?id=7826826,21950
2,Fiat,500X,1.6mjt S&s Dolcevita Connect 97kw,2021,03,47.271 km,Diesel,130 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-500x-16mjt-s_s-dolcevita-connect-97kw-en-madrid.htm?id=8070365,16490
3,Fiat,500X,1.0 Firefly S&s Dolcevita Sport,2023,09,1 km,Gasolina,120 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-fiat-500x-10-firefly-s_s-dolcevita-sport-en-valencia.htm?id=8010900,24490
4,Fiat,500X,1.6mjt S&s Red 97kw,2022,02,4.600 km,Diesel,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-fiat-500x-16mjt-s_s-red-97kw-en-barcelona.htm?id=8022389,19900
5,Fiat,500X,1.6mjt S&s Dolcevita Connect 97kw,2021,,36.000 km,Diesel,130 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-500x-16mjt-s_s-dolcevita-connect-97kw-en-malaga.htm?id=8101180,18900
6,Fiat,500X,1.0 Firefly S&s Dolcevita Launch Edition,2022,05,6.467 km,Gasolina,120 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-fiat-500x-10-firefly-s_s-dolcevita-launch-edition-en-valencia.htm?id=8038982,22000
7,Fiat,500X,1.6mjt S&s Red 97kw,2022,02,5.500 km,Diesel,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-fiat-500x-16mjt-s_s-red-97kw-en-barcelona.htm?id=7826420,19900
8,Fiat,500X,1.5 Hybrid Red Ddct,2023,,NUEVO,Gasolina,130 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-fiat-500x-15-hybrid-red-ddct-en-toledo.htm?id=8061594,30500
9,Fiat,500X,1.0 Firefly S&s Monotrim,2023,,NUEVO,Gasolina,120 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-fiat-500x-10-firefly-s_s-monotrim-en-toledo.htm?id=8061586,21900
