,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Fiat,Grande Punto,1.9mjt Sport 130,2007,,60.000 km,Diesel,130 CV,manual,3 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-grande+punto-19mjt-sport-130-en-malaga.htm?id=8002186,4590
1,Fiat,Grande Punto,1.3mjt Racing 90,2009,12,140.000 km,Diesel,90 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-grande+punto-13mjt-racing-90-en-coruna+a.htm?id=8061130,5990
2,Fiat,Grande Punto,1.3mjt Sport 90,2007,,212.000 km,Diesel,90 CV,manual,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-grande+punto-13mjt-sport-90-en-avila.htm?id=8094143,3490
3,Fiat,Grande Punto,1.9mjt Emotion 120,2006,,195.884 km,Diesel,120 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-fiat-grande+punto-19mjt-emotion-120-en-madrid.htm?id=7963028,3000
4,Fiat,Grande Punto,1.9mjt Sport 130,2007,,177.000 km,Diesel,130 CV,manual,3 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-fiat-grande+punto-19mjt-sport-130-en-almeria.htm?id=7933515,3800
5,Fiat,Grande Punto,1.9mjt Sport 130,2007,,238.000 km,Diesel,130 CV,manual,3 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-fiat-grande+punto-19mjt-sport-130-en-madrid.htm?id=8003890,2000
6,Fiat,Grande Punto,1.3mjt Active,2007,,150.000 km,Diesel,75 CV,manual,3 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-fiat-grande+punto-13mjt-active-en-barcelona.htm?id=7722302,3000
7,Fiat,Grande Punto,1.4 T-jet Sport,2008,,187.000 km,Gasolina,120 CV,manual,3 puertas,naranja,Particular,https://www.coches.com/coches-segunda-mano/ocasion-fiat-grande+punto-14-t-jet-sport-en-asturias.htm?id=7623269,2999
8,Fiat,Grande Punto,1.2 Active,2009,04,149.000 km,Gasolina,65 CV,manual,3 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-grande+punto-12-active-en-barcelona.htm?id=8128922,4295
9,Fiat,Grande Punto,1.4 Dynamic 95,2008,09,84.000 km,Gasolina,95 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-grande+punto-14-dynamic-95-en-barcelona.htm?id=8126321,4499
10,Fiat,Grande Punto,1.2 Active Serie 5 S&s,2016,09,75.204 km,Gasolina,69 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-grande+punto-12-active-serie-5-s_s-en-madrid.htm?id=7994919,8390
