,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Fiat,Panda,1.2 Lounge,2019,04,18.481 km,Gasolina,69 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-murcia.htm?id=8032899,12375
1,Fiat,Panda,1.0 Gse Hybrid,2021,,32.000 km,Gasolina,70 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-10-gse-hybrid-en-barcelona.htm?id=8083624,10950
2,Fiat,Panda,1.3 Lounge 70kw,2015,,140.000 km,Diesel,95 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-13-lounge-70kw-en-lleida.htm?id=8061418,7750
3,Fiat,Panda,1.2 City Cross 4x2,2020,,84.804 km,Gasolina,69 CV,manual,5 puertas,naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-city-cross-4x2-en-tenerife.htm?id=8123831,9340
4,Fiat,Panda,1.2 Lounge,2019,,66.000 km,Gasolina,69 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-tenerife.htm?id=8080909,8990
5,Fiat,Panda,1.3 Mjt Lounge E5+,2015,,133.800 km,Diesel,75 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-13-mjt-lounge-e5+-en-tarragona.htm?id=8079104,7900
6,Fiat,Panda,1.2 Lounge,2020,,86.596 km,Gasolina,69 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-malaga.htm?id=8062819,9300
7,Fiat,Panda,1.2 Dynamic,2006,,147.000 km,Gasolina,60 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-dynamic-en-granada.htm?id=8062503,5499
8,Fiat,Panda,1.0 Gse Hybrid,2023,,NUEVO,Gasolina,70 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-fiat-panda-10-gse-hybrid-en-toledo.htm?id=8061592,13900
9,Fiat,Panda,1.2 Lounge,2020,,84.723 km,Gasolina,69 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-malaga.htm?id=8059326,9300
