,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Fiat,Talento,Combi 2.0 Ecojet 1.2 Corto Lx 120,2021,01,92.290 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-talento-combi-20-ecojet-12-corto-lx-120-en-ourense.htm?id=7997728,14500
1,Fiat,Talento,Combi 2.0 Ecojet 1.2 Corto Lx 120,2021,01,56.785 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-talento-combi-20-ecojet-12-corto-lx-120-en-pontevedra.htm?id=7997962,15950
2,Fiat,Talento,Combi 2.0 Ecojet 1.2 Corto Lx 120,2021,01,92.290 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-talento-combi-20-ecojet-12-corto-lx-120-en-pontevedra.htm?id=7997959,14500
3,Fiat,Talento,Combi 2.0 Ecojet 1.2 Corto Lx 120,2021,01,46.095 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-talento-combi-20-ecojet-12-corto-lx-120-en-pontevedra.htm?id=7997950,16500
4,Fiat,Talento,Combi 2.0 Ecojet 1.2 Corto Lx 120,2021,01,45.435 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-talento-combi-20-ecojet-12-corto-lx-120-en-pontevedra.htm?id=7997949,16500
5,Fiat,Talento,Combi 2.0 Ecojet 1.2 Corto Lx 120,2021,01,56.785 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-talento-combi-20-ecojet-12-corto-lx-120-en-lugo.htm?id=7997747,15950
6,Fiat,Talento,Combi 2.0 Ecojet 1.2 Corto Lx 120,2021,01,92.290 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-talento-combi-20-ecojet-12-corto-lx-120-en-lugo.htm?id=7997744,14500
7,Fiat,Talento,Combi 2.0 Ecojet 1.2 Corto Lx 120,2021,01,46.095 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-talento-combi-20-ecojet-12-corto-lx-120-en-lugo.htm?id=7997735,16500
8,Fiat,Talento,Combi 2.0 Ecojet 1.2 Corto Lx 120,2021,01,45.435 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-talento-combi-20-ecojet-12-corto-lx-120-en-lugo.htm?id=7997734,16500
9,Fiat,Talento,Combi 2.0 Ecojet 1.2 Corto Lx 120,2021,01,56.785 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-talento-combi-20-ecojet-12-corto-lx-120-en-ourense.htm?id=7997731,15950
10,Fiat,Talento,Combi 2.0 Ecojet 1.2 Corto Lx 120,2021,01,46.095 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-talento-combi-20-ecojet-12-corto-lx-120-en-ourense.htm?id=7997719,16500
11,Fiat,Talento,Combi 2.0 Ecojet 1.2 Corto Lx 120,2021,01,45.435 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-talento-combi-20-ecojet-12-corto-lx-120-en-ourense.htm?id=7997718,16500
