,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ford,Mondeo,2.0tdci Trend 150,2018,08,179.000 km,Diesel,150 CV,manual,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-trend-150-en-sevilla.htm?id=8048004,12499
1,Ford,Mondeo,2.0tdci Trend 150,2019,,178.532 km,Diesel,150 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-trend-150-en-ciudad+real.htm?id=8067019,11990
2,Ford,Mondeo,2.0tdci Titanium,2007,,119.000 km,Diesel,140 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-titanium-en-madrid.htm?id=8075610,5999
3,Ford,Mondeo,2.0tdci Trend 150,2018,,100.000 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-trend-150-en-malaga.htm?id=8035040,14999
4,Ford,Mondeo,2.0tdci Trend 150,2018,,100.000 km,Diesel,150 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-trend-150-en-ciudad+real.htm?id=8018427,14990
5,Ford,Mondeo,Sedán 2.0 Hev Titanium,2019,,70.000 km,Híbrido,187 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-sedan-20-hev-titanium-en-ciudad+real.htm?id=7807300,17990
6,Ford,Mondeo,2.0tdci Trend 150,2017,,57.000 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-trend-150-en-palmas+las.htm?id=7162129,16500
7,Ford,Mondeo,1.6tdci Trend 115,2015,,178.000 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-16tdci-trend-115-en-sevilla.htm?id=8098376,9800
8,Ford,Mondeo,2.0tdci Trend 140,2012,11,408.374 km,Diesel,140 CV,manual,5 puertas,Negro Grafito (metalizado),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-trend-140-en-badajoz.htm?id=8058694,6499
9,Ford,Mondeo,2.0tdci Trend Powershift 150,2019,12,109.486 km,Diesel,150 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-trend-powershift-150-en-madrid.htm?id=8023341,15990
10,Ford,Mondeo,2.0tdci Ghia X Aut. 140,2008,,95.900 km,Diesel,140 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-ghia-x-aut-140-en-huelva.htm?id=7722209,7950
11,Ford,Mondeo,Sedán 2.0 Hev Titanium,2020,08,53.134 km,Híbrido,187 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-sedan-20-hev-titanium-en-madrid.htm?id=8126091,23990
12,Ford,Mondeo,2.0tdci Titanium 150,2018,,132.000 km,Diesel,150 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-titanium-150-en-madrid.htm?id=8120795,16950
13,Ford,Mondeo,2.0tdci Titanium Aut. 150,2019,,114.000 km,Diesel,150 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-titanium-aut-150-en-madrid.htm?id=8120794,18950
14,Ford,Mondeo,2.0tdci St-line Powershift 150,2016,,157.000 km,Diesel,150 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-st-line-powershift-150-en-madrid.htm?id=8120790,15950
15,Ford,Mondeo,2.0tdci Trend 150,2016,,119.000 km,Diesel,150 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-trend-150-en-madrid.htm?id=8120789,14950
16,Ford,Mondeo,Vignale  2.0tdci Powershift 150,2018,,129.000 km,Diesel,150 CV,automática secuencial,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-vignale--20tdci-powershift-150-en-madrid.htm?id=8120787,18950
17,Ford,Mondeo,Sedán 2.0 Hev Titanium,2019,10,67.279 km,Híbrido,187 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-sedan-20-hev-titanium-en-madrid.htm?id=8120595,21190
18,Ford,Mondeo,Sedán 2.0 Hev Titanium,2020,09,51.000 km,Híbrido,187 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-sedan-20-hev-titanium-en-malaga.htm?id=8119718,24400
19,Ford,Mondeo,2.0tdci Trend Powershift 150,2018,10,124.498 km,Diesel,150 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-trend-powershift-150-en-toledo.htm?id=8100858,15999
20,Ford,Mondeo,2.0tdci Titanium 150,2015,01,118.990 km,Diesel,150 CV,manual,5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-titanium-150-en-vizcaya.htm?id=8080974,19960
21,Ford,Mondeo,2.0tdci Titanium Powershift 150,2019,01,113.351 km,Diesel,150 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-titanium-powershift-150-en-madrid.htm?id=8080849,17490
22,Ford,Mondeo,1.8tdci Trend,2008,05,260.000 km,Diesel,125 CV,manual,5 puertas,Gris claro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-18tdci-trend-en-tarragona.htm?id=8078307,5499
23,Ford,Mondeo,Sedán 2.0 Hev Titanium,2019,07,60.000 km,Híbrido,187 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-sedan-20-hev-titanium-en-malaga.htm?id=8063637,23400
24,Ford,Mondeo,Sedán 2.0 Hev Titanium,2020,12,27.000 km,Híbrido,187 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-sedan-20-hev-titanium-en-malaga.htm?id=8063616,26400
25,Ford,Mondeo,Sedán 2.0 Hev Titanium,2020,12,25.000 km,Híbrido,187 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-sedan-20-hev-titanium-en-malaga.htm?id=8063603,26400
26,Ford,Mondeo,2.0tdci Titanium,2008,,182.000 km,Diesel,140 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-titanium-en-pontevedra.htm?id=8061664,7900
27,Ford,Mondeo,1.5tdci Business 120,2019,02,76.715 km,Diesel,120 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-15tdci-business-120-en-valencia.htm?id=8038993,16900
28,Ford,Mondeo,2.0 Tdci Ambiente 115,2005,,200.000 km,Diesel,115 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20-tdci-ambiente-115-en-vizcaya.htm?id=8031987,3500
29,Ford,Mondeo,2.0tdci Trend 120,2019,05,126.587 km,Diesel,120 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-trend-120-en-madrid.htm?id=8026760,14990
30,Ford,Mondeo,Sportbreak 2.0 Hev Titanium,2019,10,123.077 km,Híbrido,187 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-sportbreak-20-hev-titanium-en-madrid.htm?id=7962751,19990
31,Ford,Mondeo,2.0tdci Limited Edition 140,2014,01,252.500 km,Diesel,140 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-limited-edition-140-en-badajoz.htm?id=7947728,7800
32,Ford,Mondeo,2.0tdci Futura X,2006,,248.000 km,Diesel,130 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-futura-x-en-madrid.htm?id=8122764,3200
33,Ford,Mondeo,2.0tdci Titanium 150,2018,,161.000 km,Diesel,150 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-titanium-150-en-badajoz.htm?id=8050405,17900
34,Ford,Mondeo,Vignale  Sedán 2.0 Hev,2019,,99.000 km,Híbrido,187 CV,automática secuencial,4 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-vignale--sedan-20-hev-en-badajoz.htm?id=8049520,19800
35,Ford,Mondeo,2.0tdci Titanium 150,2018,,189.000 km,Diesel,150 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-titanium-150-en-cadiz.htm?id=8048692,14900
36,Ford,Mondeo,2.0tdci Business 150,2018,,143.000 km,Diesel,150 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-business-150-en-badajoz.htm?id=8045210,17900
37,Ford,Mondeo,2.0tdci Titanium X,2007,,168.000 km,Diesel,140 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-titanium-x-en-vizcaya.htm?id=8045111,6999
38,Ford,Mondeo,2.0 Tddi Ambiente,2001,06,302.153 km,Diesel,90 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20-tddi-ambiente-en-madrid.htm?id=8044927,2890
39,Ford,Mondeo,2.0 Tddi Ambiente,2001,06,302.153 km,Diesel,90 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20-tddi-ambiente-en-madrid.htm?id=8043797,2890
40,Ford,Mondeo,2.0tdci Titanium 150,2018,07,209.000 km,Diesel,150 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-titanium-150-en-sevilla.htm?id=8032840,12499
41,Ford,Mondeo,Vignale  Sedán 2.0 Hev,2019,,99.000 km,Híbrido,187 CV,automática secuencial,4 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-vignale--sedan-20-hev-en-badajoz.htm?id=8017130,19800
42,Ford,Mondeo,Sedán 2.0 Hev Titanium,2018,10,117.000 km,Híbrido,187 CV,automática secuencial,4 puertas,Granate,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-sedan-20-hev-titanium-en-vizcaya.htm?id=8008584,15990
43,Ford,Mondeo,1.6tdci Trend 115,2015,03,18.346 km,Diesel,115 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-16tdci-trend-115-en-guipuzcoa.htm?id=7991542,23900
44,Ford,Mondeo,2.0tdci Titanium Powershift 150,2019,,130.809 km,Diesel,150 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-titanium-powershift-150-en-sevilla.htm?id=7984333,18500
45,Ford,Mondeo,2.0tdci Trend Powershift 150,2018,07,40.900 km,Diesel,150 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-trend-powershift-150-en-madrid.htm?id=7980662,17850
46,Ford,Mondeo,2.0tdci Trend 150,2020,,67.573 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-trend-150-en-sevilla.htm?id=7969168,18999
47,Ford,Mondeo,2.0 Tdci Ambiente 115,2002,,187.000 km,Diesel,115 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20-tdci-ambiente-115-en-vizcaya.htm?id=7965809,3500
48,Ford,Mondeo,2.0tdci Trend 150,2019,,25.000 km,Diesel,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-trend-150-en-vizcaya.htm?id=7965749,21500
49,Ford,Mondeo,2.0tdci Trend Powershift 150,2019,01,117.756 km,Diesel,150 CV,automática secuencial,5 puertas,NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-trend-powershift-150-en-pontevedra.htm?id=7961061,16900
50,Ford,Mondeo,2.0tdci Trend Powershift 150,2019,01,117.756 km,Diesel,150 CV,automática secuencial,5 puertas,NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-trend-powershift-150-en-coruna+a.htm?id=7961038,16900
51,Ford,Mondeo,2.0tdci Trend 150,2018,04,107.800 km,Diesel,150 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-trend-150-en-cordoba.htm?id=7900493,17900
52,Ford,Mondeo,Sedán 2.0 Hev Titanium,2018,12,105.754 km,Híbrido,187 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-sedan-20-hev-titanium-en-madrid.htm?id=7898496,18500
53,Ford,Mondeo,2.0tdci Titanium 180,2015,,230.000 km,Diesel,180 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-titanium-180-en-madrid.htm?id=7884316,12900
54,Ford,Mondeo,1.8tdci Ambiente,2010,03,135.389 km,Diesel,125 CV,manual,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-18tdci-ambiente-en-zaragoza.htm?id=7870559,6900
55,Ford,Mondeo,2.0tdci Titanium Aut. 140,2011,12,359.000 km,Diesel,140 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-titanium-aut-140-en-girona.htm?id=7759407,6000
