,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ford,Focus,Wagon 1.6 Trend,2006,,73.000 km,Gasolina,100 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-wagon-16-trend-en-alicante.htm?id=8062533,6990
1,Ford,Focus,1.0 Ecoboost Mhev Active X 125,2020,,31.500 km,Gasolina,125 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-10-ecoboost-mhev-active-x-125-en-tenerife.htm?id=8014139,20490
2,Ford,Focus,Sportbreak 1.0 Ecoboost Active Aut.,2019,05,65.648 km,Gasolina,125 CV,automática secuencial,5 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-sportbreak-10-ecoboost-active-aut-en-toledo.htm?id=8064688,15199
3,Ford,Focus,1.0 Ecoboost Active 125,2019,12,61.177 km,Gasolina,124 CV,manual,5 puertas,Blanco (sólido),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-10-ecoboost-active-125-en-madrid.htm?id=8060139,17490
4,Ford,Kuga,2.5 Duratec Phev St-line 4x2,2021,05,15.000 km,Híbrido,225 CV,automática secuencial,5 puertas,Rojo Lucid (metalizada),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-25-duratec-phev-st-line-4x2-en-barcelona.htm?id=7845889,32500
5,Ford,Focus,1.0 Ecoboost Mhev Active X 155,2022,01,12.631 km,Gasolina,155 CV,manual,5 puertas,Azul Chrome,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-10-ecoboost-mhev-active-x-155-en-vizcaya.htm?id=8118708,27801
6,Ford,Focus,Vignale  1.5 Ecoboost Aut. 150,2018,11,109.733 km,Gasolina,150 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-vignale--15-ecoboost-aut-150-en-toledo.htm?id=8113614,18299
7,Ford,Focus,1.0 Ecoboost Mhev St-line X 125,2023,01,25 km,Gasolina,125 CV,manual,5 puertas,GRIS PLATA,Profesional,https://www.coches.com/km0/seminuevo-ford-focus-10-ecoboost-mhev-st-line-x-125-en-vizcaya.htm?id=8108642,32900
8,Ford,Focus,Sportbreak 1.5ecoblue St Line Aut.,2018,12,57.976 km,Diesel,120 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-sportbreak-15ecoblue-st-line-aut-en-toledo.htm?id=8105280,19999
9,Ford,Focus,1.0 Ecoboost St Line 125,2019,12,34.118 km,Gasolina,124 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-10-ecoboost-st-line-125-en-toledo.htm?id=8081289,18499
10,Ford,Kuga,1.5 Ecoblue St-line Fwd 120,2021,,37.350 km,Diesel,120 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-15-ecoblue-st-line-fwd-120-en-sevilla.htm?id=8075903,29000
