,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ford,Ranger,2.0 Ecoblue S&s Dcb. Xlt 4x4 170,2019,,101.536 km,Diesel,170 CV,manual,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ranger-20-ecoblue-s_s-dcb-xlt-4x4-170-en-navarra.htm?id=8120773,21500
1,Ford,Ranger,3.2tdci Dcb. Wildtrak 4x4 Aut. 200,2018,,134.000 km,Diesel,200 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ranger-32tdci-dcb-wildtrak-4x4-aut-200-en-segovia.htm?id=8099410,33000
2,Ford,Ranger,2.0 Ecoblue Dcb. Wildtrak 4x4 Aut. 213,2022,,8.000 km,Diesel,213 CV,automática secuencial,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-ford-ranger-20-ecoblue-dcb-wildtrak-4x4-aut-213-en-cordoba.htm?id=7888043,42990
3,Ford,Ranger,2.0 Ecoblue S&s Dcb. Xl 4x4 170,2020,,88.652 km,Diesel,170 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ranger-20-ecoblue-s_s-dcb-xl-4x4-170-en-ciudad+real.htm?id=8113816,22990
4,Ford,Ranger,2.0 Ecoblue S&s Super Cab Xl 4x4 170,2019,,89.542 km,Diesel,170 CV,manual,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ranger-20-ecoblue-s_s-super-cab-xl-4x4-170-en-ciudad+real.htm?id=8068767,21990
5,Ford,Ranger,2.0 Ecoblue S&s Dcb. Xl 4x4 170,2019,,100.000 km,Diesel,170 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ranger-20-ecoblue-s_s-dcb-xl-4x4-170-en-tarragona.htm?id=8066475,19490
6,Ford,Ranger,Doble Cabina 3.0 Ecoboost V6 S&s Raptor Aut E-awd 288,2022,10,1 km,Gasolina,290 CV,automática,4 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-ford-ranger-doble-cabina-30-ecoboost-v6-s_s-raptor-aut-e-awd-288-en-toledo.htm?id=7594819,61790
7,Ford,Ranger,2.2tdci Dcb. Xlt Limited 4x4 Aut.,2018,,100.515 km,Diesel,160 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ranger-22tdci-dcb-xlt-limited-4x4-aut-en-navarra.htm?id=8120778,20990
8,Ford,Ranger,2.2tdci S&s Dcb. Xl 4x4 160,2018,,72.445 km,Diesel,160 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ranger-22tdci-s_s-dcb-xl-4x4-160-en-ciudad+real.htm?id=8076948,22700
9,Ford,Ranger,2.2tdci S&s Dcb. Xl 4x4 160,2018,09,67.000 km,Diesel,160 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ranger-22tdci-s_s-dcb-xl-4x4-160-en-lugo.htm?id=8074232,21900
10,Ford,Ranger,Doble Cabina 2.0 Ecoblue S&s Xlt 4x4 170,2023,,0 km,Diesel,170 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-ford-ranger-doble-cabina-20-ecoblue-s_s-xlt-4x4-170-en-sevilla.htm?id=8128761,39500
11,Ford,Ranger,2.2tdci S&s Dcb. Xl 4x4 160,2017,,41.200 km,Diesel,160 CV,manual,4 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ranger-22tdci-s_s-dcb-xl-4x4-160-en-barcelona.htm?id=8128262,19800
