,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ford,Tourneo Connect,1.6tdci Trend 95,2013,,210.000 km,Diesel,95 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+connect-16tdci-trend-95-en-rioja+la.htm?id=8054073,5350
1,Ford,Tourneo Connect,Grand  1.5tdci Auto-s&s Trend 100,2019,,46.000 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+connect-grand--15tdci-auto-s_s-trend-100-en-navarra.htm?id=8120751,14400
2,Ford,Tourneo Connect,1.5tdci Trend 100,2015,,174.000 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+connect-15tdci-trend-100-en-palmas+las.htm?id=8030800,9995
3,Ford,Tourneo Connect,1.6tdci Titanium 95,2014,,156.000 km,Diesel,95 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+connect-16tdci-titanium-95-en-madrid.htm?id=8125743,10495
4,Ford,Tourneo Connect,1.6tdci Titanium 95,2015,,195.925 km,Diesel,95 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+connect-16tdci-titanium-95-en-asturias.htm?id=8068573,9890
5,Ford,Tourneo Connect,Grand  1.6tdci Trend 115,2015,,94.500 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+connect-grand--16tdci-trend-115-en-huelva.htm?id=6500997,16950
6,Ford,Tourneo Connect,1.5tdci Trend 100,2016,,94.000 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+connect-15tdci-trend-100-en-tenerife.htm?id=8104741,15990
7,Ford,Tourneo Connect,2.0 Ecoblue Swb L1 Titanium 122,2023,11,NUEVO,Diesel,122 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/km0/seminuevo-ford-tourneo+connect-20-ecoblue-swb-l1-titanium-122-en-guipuzcoa.htm?id=8053792,32800
8,Ford,Tourneo Connect,2.0 Ecoblue Swb L1 Titanium 122,2023,11,NUEVO,Diesel,122 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-ford-tourneo+connect-20-ecoblue-swb-l1-titanium-122-en-guipuzcoa.htm?id=8053791,33500
9,Ford,Tourneo Connect,2.0 Ecoblue Swb L1 Sport 122 Aut.,2023,02,NUEVO,Diesel,122 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-ford-tourneo+connect-20-ecoblue-swb-l1-sport-122-aut-en-guipuzcoa.htm?id=8053787,36900
10,Ford,Tourneo Connect,2.0 Ecoblue Swb L1 Titanium 122,2023,10,NUEVO,Diesel,122 CV,manual,5 puertas,Rojo Maple,Profesional,https://www.coches.com/km0/seminuevo-ford-tourneo+connect-20-ecoblue-swb-l1-titanium-122-en-madrid.htm?id=8049067,32490
11,Ford,Tourneo Connect,Grand  1.5tdci Auto-s&s Titanium 100,2019,,19.000 km,Diesel,100 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+connect-grand--15tdci-auto-s_s-titanium-100-en-tenerife.htm?id=8037197,20990
12,Ford,Tourneo Connect,1.0 Ecoboost Auto-s&s Trend,2019,,170.000 km,Gasolina,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+connect-10-ecoboost-auto-s_s-trend-en-malaga.htm?id=8035277,9999
13,Ford,Tourneo Connect,2.0 Ecoblue Swb L1 Titanium 122,2023,10,NUEVO,Diesel,122 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-ford-tourneo+connect-20-ecoblue-swb-l1-titanium-122-en-guipuzcoa.htm?id=8019533,32400
14,Ford,Tourneo Connect,1.5 Ecoboost Swb L1 Sport Aut.,2023,10,NUEVO,Gasolina,114 CV,automática secuencial,5 puertas,Blanco Frozen sólido,Profesional,https://www.coches.com/km0/seminuevo-ford-tourneo+connect-15-ecoboost-swb-l1-sport-aut-en-barcelona.htm?id=8016112,35500
15,Ford,Tourneo Connect,2.0 Ecoblue Swb L1 Active 122,2022,01,13.328 km,Diesel,122 CV,manual,5 puertas,AZUL BOUNDLESS,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+connect-20-ecoblue-swb-l1-active-122-en-pontevedra.htm?id=7961076,30700
16,Ford,Tourneo Connect,2.0 Ecoblue Swb L1 Active 122,2022,01,13.328 km,Diesel,122 CV,manual,5 puertas,AZUL BOUNDLESS,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+connect-20-ecoblue-swb-l1-active-122-en-coruna+a.htm?id=7961053,30700
17,Ford,Tourneo Connect,2.0 Ecoblue Swb L1 Titanium 122,2023,04,20 km,Diesel,122 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-ford-tourneo+connect-20-ecoblue-swb-l1-titanium-122-en-lugo.htm?id=7938081,30900
18,Ford,Tourneo Connect,Grand  1.6tdci Titanium 115,2015,02,141.006 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+connect-grand--16tdci-titanium-115-en-madrid.htm?id=7898568,16600
