,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ford,Tourneo Courier,1.5tdci Trend 100,2019,,69.000 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+courier-15tdci-trend-100-en-tenerife.htm?id=8104348,12995
1,Ford,Tourneo Courier,1.0 Ecoboost Ambiente,2016,10,60.286 km,Gasolina,100 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+courier-10-ecoboost-ambiente-en-toledo.htm?id=8085544,11499
2,Ford,Tourneo Courier,1.5tdci Sport 100,2020,08,80.230 km,Diesel,100 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+courier-15tdci-sport-100-en-barcelona.htm?id=8116101,17990
3,Ford,Tourneo Courier,1.0 Ecoboost Sport,2018,10,58.571 km,Gasolina,100 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+courier-10-ecoboost-sport-en-toledo.htm?id=8113605,13999
4,Ford,Tourneo Courier,1.0 Ecoboost Titanium,2015,10,44.832 km,Gasolina,100 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+courier-10-ecoboost-titanium-en-toledo.htm?id=8113596,12899
5,Ford,Tourneo Courier,1.0 Ecoboost Titanium,2019,07,41.000 km,Gasolina,100 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+courier-10-ecoboost-titanium-en-barcelona.htm?id=8065809,15990
6,Ford,Tourneo Courier,1.0 Ecoboost Ambiente,2015,,80.000 km,Gasolina,100 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+courier-10-ecoboost-ambiente-en-zaragoza.htm?id=8015571,11950
7,Ford,Tourneo Courier,1.0 Ecoboost Sport,2018,09,83.000 km,Gasolina,100 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+courier-10-ecoboost-sport-en-palmas+las.htm?id=7975849,14990
8,Ford,Tourneo Courier,1.5tdci Trend 100,2019,,37.749 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+courier-15tdci-trend-100-en-madrid.htm?id=7790244,15490
9,Ford,Tourneo Courier,1.5tdci Ambiente 75,2020,,55.110 km,Diesel,75 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-tourneo+courier-15tdci-ambiente-75-en-tarragona.htm?id=8050445,15500
