,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ford,Transit Connect,Ft 240 Van L2 S&s Trend 120 (carga Aumentada),2018,,149.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-240-van-l2-s_s-trend-120-carga-aumentada-en-madrid.htm?id=8120875,14950
1,Ford,Transit Connect,Ft Van 1.5 Tdci Ecoblue S&s L1 200 Trend 100,2019,,130.000 km,Diesel,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-van-15-tdci-ecoblue-s_s-l1-200-trend-100-en-madrid.htm?id=8120864,16950
2,Ford,Transit Connect,Ft 220 Kombi S&s B. Corta L1 Trend 100,2022,05,20.400 km,Diesel,100 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-220-kombi-s_s-b-corta-l1-trend-100-en-valladolid.htm?id=8053024,19900
3,Ford,Transit Connect,Ft 220 Kombi S&s B. Corta L1 Ambiente 100,2019,,125.000 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-220-kombi-s_s-b-corta-l1-ambiente-100-en-lleida.htm?id=8108521,12500
4,Ford,Transit Connect,Ft 240 Van L2 S&s Trend 100 (carga Aumentada),2018,,149.000 km,Diesel,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-240-van-l2-s_s-trend-100-carga-aumentada-en-madrid.htm?id=8126935,7851
5,Ford,Transit Connect,Ft 200 Van L1 S&s Ambiente 75,2018,04,117.384 km,Diesel,75 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-200-van-l1-s_s-ambiente-75-en-pontevedra.htm?id=7801567,8900
6,Ford,Transit Connect,Ft Tourneo 200 S Connect 75,2006,,247.000 km,Diesel,75 CV,"directo, sin caja de cambios",4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-tourneo-200-s-connect-75-en-avila.htm?id=8117076,3990
7,Ford,Transit Connect,Ft 200 Van L1 S&s Ambiente 75,2018,09,101.409 km,Diesel,75 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-200-van-l1-s_s-ambiente-75-en-pontevedra.htm?id=7801554,9900
8,Ford,Transit Connect,Ft Van 1.5 Tdci Ecoblue S&s L1 200 Trend 100,2018,,124.000 km,Diesel,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-van-15-tdci-ecoblue-s_s-l1-200-trend-100-en-madrid.htm?id=8120876,11950
9,Ford,Transit Connect,Connect Ft 200 S Tdci 90,2006,,84.300 km,Diesel,90 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-connect-ft-200-s-tdci-90-en-sevilla.htm?id=8108588,6000
10,Ford,Transit Connect,Ft 200 Van L1 S&s Ambiente 75,2019,,136.000 km,Diesel,75 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-200-van-l1-s_s-ambiente-75-en-palmas+las.htm?id=7959420,10500
11,Ford,Transit Connect,Ft Van 1.5 Tdci Ecoblue S&s L1 200 Trend 100,2018,,130.000 km,Diesel,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-van-15-tdci-ecoblue-s_s-l1-200-trend-100-en-madrid.htm?id=8120802,11950
12,Ford,Transit Connect,Ft 200 Van L1 S&s Trend 100,2019,,97.000 km,Gasolina,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-200-van-l1-s_s-trend-100-en-tenerife.htm?id=8062290,11495
13,Ford,Transit Connect,Ft 200 Van L1 S&s Ambiente 75,2018,,151.000 km,Diesel,75 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-200-van-l1-s_s-ambiente-75-en-alicante.htm?id=7994563,9900
14,Ford,Transit Connect,Ft Van 1.5 Tdci Ecoblue S&s L1 200 Trend Aut. 100,2019,,134.000 km,Diesel,100 CV,automática secuencial,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-van-15-tdci-ecoblue-s_s-l1-200-trend-aut-100-en-madrid.htm?id=8120870,13950
15,Ford,Transit Connect,Ft 230 Kombi S&s B. Larga L2 Trend 120,2018,,138.000 km,Diesel,120 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-230-kombi-s_s-b-larga-l2-trend-120-en-madrid.htm?id=8120862,17950
16,Ford,Transit Connect,Ft Van 1.5 Tdci Ecoblue S&s L2 210 Trend 100,2019,,119.000 km,Diesel,100 CV,manual,4 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-van-15-tdci-ecoblue-s_s-l2-210-trend-100-en-madrid.htm?id=8120861,16950
17,Ford,Transit Connect,Ft Van 1.5 Tdci Ecoblue S&s L2 210 Trend 100,2019,,130.000 km,Diesel,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-van-15-tdci-ecoblue-s_s-l2-210-trend-100-en-madrid.htm?id=8120858,16950
18,Ford,Transit Connect,Ft 220 Kombi S&s B. Corta L1 Trend Aut. 100,2018,,147.000 km,Diesel,100 CV,automática secuencial,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-220-kombi-s_s-b-corta-l1-trend-aut-100-en-madrid.htm?id=8120805,16950
19,Ford,Transit Connect,Ft Van 1.5 Tdci Ecoblue S&s L1 200 Trend 100,2019,,74.000 km,Diesel,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-van-15-tdci-ecoblue-s_s-l1-200-trend-100-en-madrid.htm?id=8120803,17950
20,Ford,Transit Connect,Ft 220 Kombi S&s B. Corta L1 Trend 100,2019,,99.000 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-220-kombi-s_s-b-corta-l1-trend-100-en-tenerife.htm?id=8113745,15995
21,Ford,Transit Connect,Ft Van 1.5 Tdci Ecoblue S&s L1 200 Trend 100,2021,11,60.531 km,Diesel,100 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+connect-ft-van-15-tdci-ecoblue-s_s-l1-200-trend-100-en-vizcaya.htm?id=8109414,17900
