,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Honda,Hr-V,1.6 I-dtec Elegance,2016,05,106.393 km,Diesel,120 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-16-i-dtec-elegance-en-toledo.htm?id=8064771,14699
1,Honda,Hr-V,1.5 I-vtec Elegance Navi,2018,12,59.397 km,Gasolina,130 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-elegance-navi-en-madrid.htm?id=8106354,16890
2,Honda,Hr-V,1.5 I-vtec Elegance Navi,2018,12,59.397 km,Gasolina,130 CV,manual,5 puertas,ROJO MILANO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-elegance-navi-en-barcelona.htm?id=8089872,16900
3,Honda,Hr-V,1.5 I-vtec Elegance Navi,2018,,97.500 km,Gasolina,130 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-elegance-navi-en-madrid.htm?id=8066301,16900
4,Honda,Hr-V,1.5 I-vtec Elegance Navi Cvt,2018,11,57.801 km,Gasolina,130 CV,automática continua,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-elegance-navi-cvt-en-madrid.htm?id=8106353,17890
5,Honda,Hr-V,1.5 I-vtec Elegance Navi Cvt,2018,01,57.801 km,Gasolina,130 CV,automática continua,5 puertas,MIDNIGHT BLUE DREAM,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-elegance-navi-cvt-en-barcelona.htm?id=8089875,17900
6,Honda,Hr-V,1.6i,2002,,206.000 km,Gasolina,105 CV,manual,3 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-16i-en-lleida.htm?id=7984304,4000
7,Honda,Hr-V,1.6 I-dtec Executive,2017,06,121.178 km,Diesel,120 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-16-i-dtec-executive-en-toledo.htm?id=8128898,16099
8,Honda,Hr-V,1.5 I-vtec Elegance Navi,2019,04,39.186 km,Gasolina,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-elegance-navi-en-madrid.htm?id=8106351,19890
9,Honda,Hr-V,1.5 I-vtec Elegance Navi,2019,01,65.500 km,Gasolina,130 CV,manual,5 puertas,PLATA LUNAR METALIZADO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-elegance-navi-en-barcelona.htm?id=8089878,19990
10,Honda,Hr-V,1.5 I-vtec Elegance Navi,2020,02,66.000 km,Gasolina,130 CV,manual,5 puertas,MIDNIGHT BLUE DREAM,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-elegance-navi-en-barcelona.htm?id=8089864,20900
11,Honda,Hr-V,1.5 I-mmd Advance,2022,01,14.193 km,Híbrido,131 CV,automática continua,5 puertas,METEORID GRAY BITONO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-mmd-advance-en-barcelona.htm?id=8089863,31990
12,Honda,Hr-V,1.5 I-vtec Executive,2019,10,61.500 km,Gasolina,130 CV,manual,5 puertas,ROJO MILANO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-executive-en-barcelona.htm?id=8089852,20900
13,Honda,Hr-V,1.6 I-dtec Comfort,2016,03,299.000 km,Diesel,120 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-16-i-dtec-comfort-en-lugo.htm?id=8074168,12900
14,Honda,Hr-V,1.5 I-vtec Executive,2019,04,49.164 km,Gasolina,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-executive-en-madrid.htm?id=8022357,22100
15,Honda,Hr-V,1.5 I-vtec Comfort,2019,01,27.500 km,Gasolina,130 CV,manual,5 puertas,GRIS MAGNETICO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-comfort-en-barcelona.htm?id=8014255,26900
16,Honda,Hr-V,1.5 I-vtec Executive,2019,11,53.633 km,Gasolina,130 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-executive-en-madrid.htm?id=7976523,22900
17,Honda,Hr-V,1.5 I-mmd Advance,2022,,27.000 km,Híbrido,131 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-mmd-advance-en-barcelona.htm?id=8111056,33475
18,Honda,Hr-V,1.6i Vtec 4wd,2000,,299.000 km,Gasolina,125 CV,manual,3 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-16i-vtec-4wd-en-lleida.htm?id=8078331,2790
19,Honda,Hr-V,1.6 I-dtec Executive,2016,,128.957 km,Diesel,120 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-16-i-dtec-executive-en-madrid.htm?id=8067094,17500
20,Honda,Hr-V,1.5 I-mmd Advance,2023,,100 km,Híbrido,131 CV,automática continua,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-honda-hr-v-15-i-mmd-advance-en-burgos.htm?id=8051385,35200
21,Honda,Hr-V,1.5 I-mmd Elegance,2023,,NUEVO,Híbrido,131 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-honda-hr-v-15-i-mmd-elegance-en-burgos.htm?id=7964608,32100
22,Honda,Hr-V,1.5 I-vtec Executive Cvt,2016,04,173.500 km,Gasolina,130 CV,automática continua,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-executive-cvt-en-coruna+a.htm?id=7926324,18850
23,Honda,Hr-V,1.6i,1999,,178.000 km,Gasolina,105 CV,manual,3 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-16i-en-castellon.htm?id=7647549,4900
24,Honda,Hr-V,1.6 I-dtec Elegance,2017,,114.092 km,Diesel,120 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-16-i-dtec-elegance-en-madrid.htm?id=7703547,18500
25,Honda,Hr-V,1.5 I-vtec Elegance Cvt,2018,11,18.766 km,Gasolina,130 CV,automática continua,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-elegance-cvt-en-burgos.htm?id=8046117,21900
26,Honda,Hr-V,1.6 I-dtec Executive,2018,,107.000 km,Diesel,120 CV,manual,5 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-16-i-dtec-executive-en-cordoba.htm?id=8003780,19000
27,Honda,Hr-V,1.6 Vtec 4wd Top,2004,,180.000 km,Gasolina,125 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-16-vtec-4wd-top-en-barcelona.htm?id=7813605,3900
28,Honda,Hr-V,1.6 I-dtec Elegance Navi,2016,,115.000 km,Diesel,120 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-16-i-dtec-elegance-navi-en-jaen.htm?id=7738514,19999
29,Honda,Hr-V,1.6 Vtec 4wd Top,2003,,250.000 km,Gasolina,125 CV,manual,3 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-16-vtec-4wd-top-en-sevilla.htm?id=7760744,2500
30,Honda,Hr-V,1.5 I-vtec Executive,2019,04,49.164 km,Gasolina,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-executive-en-madrid.htm?id=8129249,22800
31,Honda,Hr-V,1.5 I-vtec Executive Cvt,2018,01,47.224 km,Gasolina,130 CV,automática continua,5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-executive-cvt-en-barcelona.htm?id=8128125,19700
32,Honda,Hr-V,1.5 I-vtec Executive,2019,01,35.339 km,Gasolina,130 CV,manual,5 puertas,ROJO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-executive-en-illes+balears.htm?id=8125554,23900
33,Honda,Hr-V,1.5 I-vtec Executive Cvt,2019,05,86.152 km,Gasolina,130 CV,automática continua,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-executive-cvt-en-madrid.htm?id=8123441,20990
34,Honda,Hr-V,1.5 I-vtec Executive Cvt,2018,01,62.400 km,Gasolina,130 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-executive-cvt-en-madrid.htm?id=8121439,21990
35,Honda,Hr-V,1.5 I-mmd Advance,2023,11,1 km,Híbrido,131 CV,automática continua,5 puertas,NEGRO,Profesional,https://www.coches.com/km0/seminuevo-honda-hr-v-15-i-mmd-advance-en-coruna+a.htm?id=8118559,36990
36,Honda,Hr-V,1.5 I-vtec Elegance Navi,2019,03,79.024 km,Gasolina,130 CV,manual,5 puertas,Negro Ruse (met),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-elegance-navi-en-madrid.htm?id=8118028,19990
37,Honda,Hr-V,1.5 I-vtec Executive,2020,09,9.587 km,Gasolina,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-executive-en-madrid.htm?id=8117872,26800
38,Honda,Hr-V,1.5 I-vtec Executive,2019,05,36.434 km,Gasolina,130 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-executive-en-madrid.htm?id=8117853,24300
39,Honda,Hr-V,1.5 I-vtec Executive,2019,12,52.093 km,Gasolina,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-executive-en-madrid.htm?id=8117843,23000
40,Honda,Hr-V,1.5 I-vtec Elegance Navi,2019,04,32.993 km,Gasolina,130 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-elegance-navi-en-madrid.htm?id=8117809,21400
41,Honda,Hr-V,1.5 I-vtec Executive,2018,07,41.145 km,Gasolina,130 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-hr-v-15-i-vtec-executive-en-madrid.htm?id=8117805,22300
