,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Hyundai,Kona,Ev Tecno 100kw,2020,06,29.255 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-ev-tecno-100kw-en-madrid.htm?id=7428393,21890
1,Hyundai,Kona,1.6 Crdi Klass 4x2 115,2019,05,167.000 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-16-crdi-klass-4x2-115-en-sevilla.htm?id=8026283,14499
2,Hyundai,Kona,1.0 Tgdi Klass 4x2,2019,,39.315 km,Gasolina,120 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-10-tgdi-klass-4x2-en-cadiz.htm?id=8100019,16900
3,Hyundai,Kona,Ev Tecno 100kw,2020,01,23.751 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-ev-tecno-100kw-en-sevilla.htm?id=7432065,20890
4,Hyundai,Kona,Ev Tecno 100kw,2020,01,23.751 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-ev-tecno-100kw-en-madrid.htm?id=7428367,20890
5,Hyundai,Kona,Ev Tecno 100kw,2020,01,23.751 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-ev-tecno-100kw-en-malaga.htm?id=7247536,20890
6,Hyundai,Kona,1.0 Tgdi Klass 4x2,2020,12,17.229 km,Gasolina,120 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-10-tgdi-klass-4x2-en-palmas+las.htm?id=8107556,15990
7,Hyundai,Kona,Hev 1.6 Gdi Dt Klass,2019,,59.469 km,Híbrido,141 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-hev-16-gdi-dt-klass-en-guadalajara.htm?id=8104391,18000
8,Hyundai,Kona,Ev Tecno 150kw,2020,07,44.950 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-ev-tecno-150kw-en-valencia.htm?id=7821510,26500
9,Hyundai,Kona,Ev Tecno 100kw,2020,06,29.255 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-ev-tecno-100kw-en-sevilla.htm?id=7432133,21890
10,Hyundai,Kona,1.0 Tgdi Flexx 4x2 Dt,2023,,NUEVO,Gasolina,120 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-hyundai-kona-10-tgdi-flexx-4x2-dt-en-cuenca.htm?id=8129306,24900
11,Hyundai,Kona,1.0 Tgdi Maxx 4x2,2024,,NUEVO,Gasolina,120 CV,manual,5 puertas,verde,Profesional,https://www.coches.com/km0/seminuevo-hyundai-kona-10-tgdi-maxx-4x2-en-valladolid.htm?id=8128207,24350
12,Hyundai,Kona,1.0 Tgdi Maxx 4x2,2024,,NUEVO,Gasolina,120 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-hyundai-kona-10-tgdi-maxx-4x2-en-valladolid.htm?id=8128201,24590
13,Hyundai,Kona,Ev Klass 150kw,2019,03,80.081 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-ev-klass-150kw-en-palmas+las.htm?id=8109153,22990
14,Hyundai,Kona,1.0 Tgdi Essence 4x2,2020,,32.000 km,Gasolina,120 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-10-tgdi-essence-4x2-en-granada.htm?id=8101126,15850
15,Hyundai,Kona,1.6 Crdi Klass 4x2 115,2019,,100.000 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-16-crdi-klass-4x2-115-en-malaga.htm?id=8042219,14999
16,Hyundai,Kona,1.6 Crdi Klass 4x2 115,2019,05,170.000 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-16-crdi-klass-4x2-115-en-sevilla.htm?id=8036100,13900
17,Hyundai,Kona,Ev Tecno 150kw,2020,07,58.621 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-ev-tecno-150kw-en-valencia.htm?id=7939311,26500
18,Hyundai,Kona,1.0 Tgdi Maxx 4x2,2024,,NUEVO,Gasolina,120 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-hyundai-kona-10-tgdi-maxx-4x2-en-valladolid.htm?id=8128204,24890
19,Hyundai,Kona,1.0 Tgdi Style Sky 4x2,2019,,39.000 km,Gasolina,120 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-10-tgdi-style-sky-4x2-en-valencia.htm?id=8122831,15900
20,Hyundai,Kona,1.0 Tgdi Klass 4x2,2021,01,41.768 km,Gasolina,120 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-10-tgdi-klass-4x2-en-madrid.htm?id=8116752,15990
21,Hyundai,Kona,1.0 Tgdi Klass 4x2,2019,,44.720 km,Gasolina,120 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-10-tgdi-klass-4x2-en-guadalajara.htm?id=8098158,15500
22,Hyundai,Kona,1.0 Tgdi Maxx 4x2,2023,,800 km,Gasolina,120 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-hyundai-kona-10-tgdi-maxx-4x2-en-cuenca.htm?id=8070619,24990
23,Hyundai,Kona,1.0 Tgdi Klass 4x2,2022,06,7.835 km,Gasolina,120 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-hyundai-kona-10-tgdi-klass-4x2-en-toledo.htm?id=8049013,18499
