,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Hyundai,Ix35,2.0crdi Gls Tecno 4x2,2012,,199.675 km,Diesel,136 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-20crdi-gls-tecno-4x2-en-asturias.htm?id=8114048,7890
1,Hyundai,Ix35,1.7crdi Klass 4x2,2014,06,186.000 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-17crdi-klass-4x2-en-barcelona.htm?id=8032516,8999
2,Hyundai,Ix35,1.7crdi Comfort 4x2,2011,,227.000 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-17crdi-comfort-4x2-en-madrid.htm?id=8104685,7950
3,Hyundai,Ix35,1.6 Gdi Bd Tecno 4x2,2014,10,155.230 km,Gasolina,135 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-16-gdi-bd-tecno-4x2-en-toledo.htm?id=8087361,10399
4,Hyundai,Ix35,1.7crdi Comfort 4x2,2012,05,147.179 km,Diesel,115 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-17crdi-comfort-4x2-en-toledo.htm?id=8044567,9699
5,Hyundai,Ix35,1.6 Gdi Bd Tecno 4x2,2014,,180.000 km,Gasolina,135 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-16-gdi-bd-tecno-4x2-en-barcelona.htm?id=8114202,9950
6,Hyundai,Ix35,1.7crdi Comfort 4x2,2012,,181.000 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-17crdi-comfort-4x2-en-malaga.htm?id=8101053,9450
7,Hyundai,Ix35,2.0crdi Go Plus 4x4 Aut. 184,2014,,69.000 km,Diesel,184 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-20crdi-go-plus-4x4-aut-184-en-valencia.htm?id=8125256,16500
8,Hyundai,Ix35,1.6 Gdi Klass 4x2,2015,,185.000 km,Gasolina,135 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-16-gdi-klass-4x2-en-sevilla.htm?id=8104401,10500
9,Hyundai,Ix35,1.7crdi Comfort 4x2,2012,02,85.937 km,Diesel,115 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-17crdi-comfort-4x2-en-toledo.htm?id=8067586,11899
10,Hyundai,Ix35,1.6 Gdi Bd Essence 4x2,2015,04,56.683 km,Gasolina,135 CV,manual,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-16-gdi-bd-essence-4x2-en-madrid.htm?id=8016361,13990
11,Hyundai,Ix35,1.7crdi Tecno Star 4x2,2015,,144.000 km,Diesel,115 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-17crdi-tecno-star-4x2-en-sevilla.htm?id=8115505,13490
12,Hyundai,Ix35,1.7crdi Classic 4x2,2012,06,120.000 km,Diesel,115 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-17crdi-classic-4x2-en-tarragona.htm?id=8115215,11999
13,Hyundai,Ix35,1.7crdi Klass 4x2,2014,06,150.666 km,Diesel,115 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-17crdi-klass-4x2-en-sevilla.htm?id=8113125,11890
14,Hyundai,Ix35,1.7crdi Klass 4x2,2014,06,150.666 km,Diesel,115 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-17crdi-klass-4x2-en-madrid.htm?id=8113076,11890
15,Hyundai,Ix35,1.7crdi Klass 4x2,2014,06,150.666 km,Diesel,115 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-17crdi-klass-4x2-en-malaga.htm?id=8111771,11890
16,Hyundai,Ix35,1.7crdi Essence 4x2,2015,01,47.000 km,Diesel,115 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-17crdi-essence-4x2-en-barcelona.htm?id=8061780,15190
