,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Infiniti,Q50,2.2d Gt Aut.,2017,02,142.000 km,Diesel,170 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-q50-22d-gt-aut-en-badajoz.htm?id=8061240,16900
1,Infiniti,Q50,2.2d,2015,01,193.525 km,Diesel,170 CV,manual,4 puertas,MARRON,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-q50-22d-en-vizcaya.htm?id=8079321,13900
2,Infiniti,Q50,3.5 Hybrid Gt Sport Awd Aut.,2015,02,138.085 km,Híbrido,364 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-q50-35-hybrid-gt-sport-awd-aut-en-madrid.htm?id=8065534,20500
3,Infiniti,Q50,2.2d Premium Aut.,2018,07,82.161 km,Diesel,170 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-q50-22d-premium-aut-en-madrid.htm?id=7995519,23490
4,Infiniti,Q50,2.2d Gt Premium Aut.,2017,,52.937 km,Diesel,170 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-q50-22d-gt-premium-aut-en-granada.htm?id=7244744,21900
5,Infiniti,Q50,2.2d Premium Aut.,2018,,90.500 km,Diesel,170 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-q50-22d-premium-aut-en-cordoba.htm?id=7960721,22900
6,Infiniti,Q50,2.2d Aut.,2017,,140.000 km,Diesel,170 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-q50-22d-aut-en-badajoz.htm?id=6759045,19900
7,Infiniti,Q50,2.2d Premium Aut.,2018,,100.000 km,Diesel,170 CV,automática secuencial,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-q50-22d-premium-aut-en-guadalajara.htm?id=7697202,16500
8,Infiniti,Q50,3.5 Hybrid Sport Aut.,2019,01,92.253 km,Híbrido,364 CV,automática secuencial,4 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-q50-35-hybrid-sport-aut-en-granada.htm?id=8128699,26750
9,Infiniti,Q50,2.2d Aut.,2015,11,100.000 km,Diesel,170 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-q50-22d-aut-en-sevilla.htm?id=8123956,15000
10,Infiniti,Q50,2.2d Gt Premium Aut.,2017,03,107.993 km,Diesel,170 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-q50-22d-gt-premium-aut-en-madrid.htm?id=8087347,17990
11,Infiniti,Q50,2.2d Gt Premium Aut.,2017,03,107.993 km,Diesel,170 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-q50-22d-gt-premium-aut-en-madrid.htm?id=8086909,17990
12,Infiniti,Q50,3.5 Hybrid Sport Aut.,2019,01,122.500 km,Híbrido,364 CV,automática secuencial,4 puertas,GRAPHITE SHADOW,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-q50-35-hybrid-sport-aut-en-asturias.htm?id=7996062,30900
13,Infiniti,Q50,2.2d Gt Premium Aut.,2014,11,95.830 km,Diesel,170 CV,automática secuencial,4 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-q50-22d-gt-premium-aut-en-madrid.htm?id=7969207,15500
14,Infiniti,Q50,2.2d Aut.,2017,06,110.000 km,Diesel,170 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-q50-22d-aut-en-coruna+a.htm?id=7845453,17490
