,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Isuzu,D-Max,1.9 Crew Satellite 4x4,2018,,122.100 km,Diesel,164 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-isuzu-d-max-19-crew-satellite-4x4-en-burgos.htm?id=8047182,21500
1,Isuzu,D-Max,Crew 1.9 N60 Bb 4x4,2023,,0 km,Diesel,163 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-isuzu-d-max-crew-19-n60-bb-4x4-en-guadalajara.htm?id=8114154,38575
2,Isuzu,D-Max,Crew 1.9 N60 Bb 4x4 Aut.,2023,,0 km,Diesel,163 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-isuzu-d-max-crew-19-n60-bb-4x4-aut-en-guadalajara.htm?id=8112654,39995
3,Isuzu,D-Max,Crew 1.9 N60 Bb 4x4 Aut.,2023,,0 km,Diesel,163 CV,automática secuencial,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-isuzu-d-max-crew-19-n60-bb-4x4-aut-en-guadalajara.htm?id=8112651,39995
4,Isuzu,D-Max,Crew 1.9 N60 B 4x4,2023,11,NUEVO,Diesel,163 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-isuzu-d-max-crew-19-n60-b-4x4-en-burgos.htm?id=8060400,37900
5,Isuzu,D-Max,Crew 1.9 N60 B 4x4,2023,08,0 km,Diesel,163 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-isuzu-d-max-crew-19-n60-b-4x4-en-pontevedra.htm?id=8002218,38000
6,Isuzu,D-Max,Crew 1.9 N60 F 4x4 Aut.,2023,01,0 km,Diesel,163 CV,automática secuencial,4 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-isuzu-d-max-crew-19-n60-f-4x4-aut-en-pontevedra.htm?id=8002217,44500
7,Isuzu,D-Max,1.9 Space Solar 4x4 Aut.,2019,10,54.654 km,Diesel,164 CV,automática,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-isuzu-d-max-19-space-solar-4x4-aut-en-madrid.htm?id=7980665,26850
8,Isuzu,D-Max,Crew 1.9 N60 Bb 4x4,2023,01,0 km,Diesel,163 CV,manual,4 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-isuzu-d-max-crew-19-n60-bb-4x4-en-pontevedra.htm?id=7977823,39600
9,Isuzu,D-Max,Single 1.9 N57 4x2,2023,09,NUEVO,Diesel,164 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-isuzu-d-max-single-19-n57-4x2-en-burgos.htm?id=8041558,31900
10,Isuzu,D-Max,Space 1.9 N57 4x4,2023,04,0 km,Diesel,164 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-isuzu-d-max-space-19-n57-4x4-en-almeria.htm?id=7993575,41900
11,Isuzu,D-Max,Crew 1.9 N60 B 4x4,2023,06,NUEVO,Diesel,163 CV,manual,4 puertas,Naranja,Profesional,https://www.coches.com/km0/seminuevo-isuzu-d-max-crew-19-n60-b-4x4-en-burgos.htm?id=7880032,47680
12,Isuzu,D-Max,2.5 Crew Planet 4x4,2016,,132.000 km,Diesel,163 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-isuzu-d-max-25-crew-planet-4x4-en-lugo.htm?id=8070999,16000
