,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Jaguar,E-Pace,2.0d I4 R-dynamic Se Awd Aut. 180,2019,,92.000 km,Diesel,180 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-r-dynamic-se-awd-aut-180-en-malaga.htm?id=8127211,25999
1,Jaguar,E-Pace,2.0d I4 Se Fwd 150,2019,,20.953 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-se-fwd-150-en-madrid.htm?id=8125039,24890
2,Jaguar,E-Pace,2.0d I4 S Fwd 150,2019,,55.061 km,Diesel,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-s-fwd-150-en-sevilla.htm?id=8035135,24500
3,Jaguar,E-Pace,2.0d I4 R-dynamic Base Fwd 150,2019,04,85.000 km,Diesel,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-r-dynamic-base-fwd-150-en-barcelona.htm?id=8023211,22499
4,Jaguar,E-Pace,2.0d I4 Se Awd 150,2020,,43.576 km,Diesel,150 CV,automática,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-se-awd-150-en-madrid.htm?id=7959172,26890
5,Jaguar,E-Pace,2.0d I4 S Awd Aut. 150,2019,07,63.000 km,Diesel,150 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-s-awd-aut-150-en-madrid.htm?id=8078847,24995
6,Jaguar,E-Pace,2.0 I4 S Awd Aut. 200,2019,03,76.246 km,Gasolina,200 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20-i4-s-awd-aut-200-en-toledo.htm?id=8071261,27999
7,Jaguar,E-Pace,2.0d I4 R-dynamic S Awd Aut. 163,2021,08,19.499 km,Diesel,163 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-r-dynamic-s-awd-aut-163-en-madrid.htm?id=8070790,37290
8,Jaguar,E-Pace,2.0d I4 R-dynamic Base Awd Aut. 150,2019,,48.985 km,Diesel,150 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-r-dynamic-base-awd-aut-150-en-madrid.htm?id=8046719,25890
9,Jaguar,E-Pace,2.0d I4 S Awd Aut. 150,2019,,49.899 km,Diesel,150 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-s-awd-aut-150-en-madrid.htm?id=8042065,27490
10,Jaguar,E-Pace,2.0d I4 R-dynamic S Awd Aut. 163,2023,,14.900 km,Diesel,163 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-r-dynamic-s-awd-aut-163-en-madrid.htm?id=8005691,45900
11,Jaguar,E-Pace,2.0d I4 S Awd Aut. 180,2018,04,32.000 km,Diesel,180 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-s-awd-aut-180-en-madrid.htm?id=7896338,28990
12,Jaguar,E-Pace,2.0d I4 R-dynamic Base Awd Aut. 180,2018,,100.000 km,Diesel,180 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-r-dynamic-base-awd-aut-180-en-madrid.htm?id=8082432,27500
13,Jaguar,E-Pace,2.0d I4 S Awd Aut. 150,2018,07,79.396 km,Diesel,150 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-s-awd-aut-150-en-madrid.htm?id=8060650,27950
14,Jaguar,E-Pace,2.0d I4 R-dynamic Hse Awd Aut. 163,2021,04,70.535 km,Diesel,163 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-r-dynamic-hse-awd-aut-163-en-madrid.htm?id=7910576,33490
15,Jaguar,E-Pace,2.0d I4 S Awd 150,2019,,65.000 km,Diesel,150 CV,automática,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-s-awd-150-en-ciudad+real.htm?id=7903105,28990
16,Jaguar,E-Pace,2.0d I4 Standard Fwd 150,2020,,52.000 km,Diesel,150 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-standard-fwd-150-en-sevilla.htm?id=8068315,31990
17,Jaguar,E-Pace,2.0d I4 S Awd Aut. 150,2018,07,79.396 km,Diesel,150 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-s-awd-aut-150-en-madrid.htm?id=8056770,27950
18,Jaguar,E-Pace,2.0d I4 S Awd Aut. 150,2018,05,75.605 km,Diesel,150 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-s-awd-aut-150-en-rioja+la.htm?id=8056164,26500
19,Jaguar,E-Pace,2.0d I4 R-dynamic S Awd Aut. 150,2019,07,48.668 km,Diesel,150 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-r-dynamic-s-awd-aut-150-en-madrid.htm?id=8029621,30490
20,Jaguar,E-Pace,2.0d I4 R-dynamic S Awd Aut. 150,2019,04,41.500 km,Diesel,150 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-r-dynamic-s-awd-aut-150-en-sevilla.htm?id=8026367,29900
21,Jaguar,E-Pace,2.0d I4 R-dynamic Se Awd Aut. 150,2020,,68.000 km,Diesel,150 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-r-dynamic-se-awd-aut-150-en-sevilla.htm?id=8012654,29990
22,Jaguar,E-Pace,2.0d I4 R-dynamic Se Awd Aut. 163,2022,08,14.175 km,Diesel,163 CV,automática secuencial,5 puertas,Hakuba Silver,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-r-dynamic-se-awd-aut-163-en-barcelona.htm?id=7943062,49900
23,Jaguar,E-Pace,2.0d I4 R-dynamic S Awd Aut. 163,2022,09,12.927 km,Diesel,163 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-r-dynamic-s-awd-aut-163-en-sevilla.htm?id=7883525,49900
24,Jaguar,E-Pace,2.0 I4 R-dynamic Hse Awd Aut. 200,2020,,62.000 km,Gasolina,200 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20-i4-r-dynamic-hse-awd-aut-200-en-valencia.htm?id=7835578,34900
25,Jaguar,E-Pace,2.0d I4 S Awd Aut. 150,2020,,37.000 km,Diesel,150 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-s-awd-aut-150-en-madrid.htm?id=6890300,32990
26,Jaguar,E-Pace,2.0 I4 Hse Awd Aut. 200,2018,,54.000 km,Gasolina,200 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20-i4-hse-awd-aut-200-en-palmas+las.htm?id=8091687,34990
27,Jaguar,E-Pace,2.0d I4 R-dynamic Se Awd Aut. 163,2022,07,5.950 km,Diesel,163 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-jaguar-e-pace-20d-i4-r-dynamic-se-awd-aut-163-en-alava.htm?id=8055322,54850
28,Jaguar,E-Pace,2.0d I4 R-dynamic S Awd Aut. 180,2018,12,9.203 km,Diesel,180 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-r-dynamic-s-awd-aut-180-en-alava.htm?id=8055306,49750
29,Jaguar,E-Pace,2.0d I4 R-dynamic S Awd Aut. 150,2019,04,50.038 km,Diesel,150 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-r-dynamic-s-awd-aut-150-en-rioja+la.htm?id=8051618,27500
30,Jaguar,E-Pace,2.0d I4 S Awd Aut. 180,2018,05,73.937 km,Diesel,180 CV,automática secuencial,5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-s-awd-aut-180-en-madrid.htm?id=8048006,27990
31,Jaguar,E-Pace,2.0d I4 Hse Awd Aut. 180,2018,03,110.178 km,Diesel,180 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-hse-awd-aut-180-en-valencia.htm?id=8046523,30238
32,Jaguar,E-Pace,2.0d I4 S Awd Aut. 163,2022,02,12.662 km,Diesel,163 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-s-awd-aut-163-en-madrid.htm?id=8041374,47990
33,Jaguar,E-Pace,2.0d I4 S Awd 150,2019,11,81.283 km,Diesel,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-s-awd-150-en-madrid.htm?id=8041355,26990
34,Jaguar,E-Pace,2.0d I4 R-dynamic S Fwd 150,2019,07,48.669 km,Diesel,150 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-r-dynamic-s-fwd-150-en-alicante.htm?id=8039266,30500
35,Jaguar,E-Pace,2.0d I4 S Fwd 150,2019,10,56.624 km,Diesel,150 CV,manual,5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-s-fwd-150-en-cadiz.htm?id=8038693,27500
36,Jaguar,E-Pace,2.0d I4 S Awd Aut. 163,2021,01,40.665 km,Diesel,163 CV,automática secuencial,5 puertas,EIGER GREY,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-s-awd-aut-163-en-tarragona.htm?id=8012064,37490
37,Jaguar,E-Pace,2.0 I4 R-dynamic Hse Awd Aut. 200,2019,07,49.000 km,Gasolina,200 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20-i4-r-dynamic-hse-awd-aut-200-en-barcelona.htm?id=8009036,29990
38,Jaguar,E-Pace,2.0d I4 R-dynamic Se Awd Aut. 163,2022,12,33 km,Diesel,163 CV,automática secuencial,5 puertas,FUJI WHITE,Profesional,https://www.coches.com/km0/seminuevo-jaguar-e-pace-20d-i4-r-dynamic-se-awd-aut-163-en-alicante.htm?id=7999669,54900
39,Jaguar,E-Pace,2.0d I4 S Awd Aut. 163,2021,12,14.336 km,Diesel,163 CV,automática secuencial,5 puertas,FUJI WHITE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-s-awd-aut-163-en-alicante.htm?id=7997049,45900
40,Jaguar,E-Pace,2.0d I4 S Awd Aut. 150,2018,05,160.000 km,Diesel,150 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-s-awd-aut-150-en-madrid.htm?id=7980805,23390
