,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Jaguar,I-Pace,Hse,2018,10,14.821 km,Eléctrico,400 CV,"directo, sin caja de cambios",5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-i-pace-hse-en-madrid.htm?id=7916624,45990
1,Jaguar,I-Pace,Se,2022,03,14.432 km,Eléctrico,400 CV,"directo, sin caja de cambios",5 puertas,Eiger Grey,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-i-pace-se-en-barcelona.htm?id=7601405,59900
2,Jaguar,I-Pace,Se,2022,,16.590 km,Eléctrico,400 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-i-pace-se-en-madrid.htm?id=7783830,55900
3,Jaguar,I-Pace,S,2020,12,3.800 km,Eléctrico,400 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-i-pace-s-en-alava.htm?id=8055313,65600
4,Jaguar,I-Pace,Se,2019,02,49.995 km,Eléctrico,400 CV,"directo, sin caja de cambios",5 puertas,NEGRO ,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-i-pace-se-en-madrid.htm?id=8048013,44990
5,Jaguar,I-Pace,S,2021,01,11.172 km,Eléctrico,400 CV,"directo, sin caja de cambios",5 puertas,ROJO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-i-pace-s-en-tarragona.htm?id=8012087,69950
6,Jaguar,I-Pace,Se,2021,01,22.200 km,Eléctrico,400 CV,"directo, sin caja de cambios",5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-i-pace-se-en-ciudad+real.htm?id=8046036,57900
7,Jaguar,I-Pace,Hse,2021,,1.804 km,Eléctrico,400 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-i-pace-hse-en-madrid.htm?id=7090758,64900
8,Jaguar,I-Pace,Hse,2020,,30.000 km,Eléctrico,400 CV,"directo, sin caja de cambios",5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-i-pace-hse-en-tarragona.htm?id=8079190,48900
9,Jaguar,I-Pace,Se,2021,02,13.364 km,Eléctrico,400 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-i-pace-se-en-granada.htm?id=8116220,63100
10,Jaguar,I-Pace,Hse,2021,01,1 km,Eléctrico,400 CV,"directo, sin caja de cambios",5 puertas,GRIS,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-i-pace-hse-en-tarragona.htm?id=8106850,78950
11,Jaguar,I-Pace,Se,2019,08,48.037 km,Eléctrico,400 CV,"directo, sin caja de cambios",5 puertas,GRIS,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-i-pace-se-en-madrid.htm?id=8100622,37950
12,Jaguar,I-Pace,S,2021,12,6.100 km,Eléctrico,400 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-i-pace-s-en-tenerife.htm?id=8070167,49800
13,Jaguar,I-Pace,S,2019,07,119.000 km,Eléctrico,400 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-i-pace-s-en-madrid.htm?id=7984111,32990
14,Jaguar,I-Pace,S,2018,07,138.000 km,Eléctrico,400 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-i-pace-s-en-madrid.htm?id=7984110,31990
15,Jaguar,I-Pace,Hse,2020,07,64.002 km,Eléctrico,400 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-i-pace-hse-en-pontevedra.htm?id=7982651,43700
16,Jaguar,I-Pace,S,2022,01,5.385 km,Eléctrico,400 CV,"directo, sin caja de cambios",5 puertas,AZUL PORTOFINO BLUE,Profesional,https://www.coches.com/km0/seminuevo-jaguar-i-pace-s-en-cadiz.htm?id=7971088,58900
17,Jaguar,I-Pace,S,2022,01,5.385 km,Eléctrico,400 CV,"directo, sin caja de cambios",5 puertas,AZUL PORTOFINO BLUE,Profesional,https://www.coches.com/km0/seminuevo-jaguar-i-pace-s-en-cordoba.htm?id=7971083,58900
18,Jaguar,I-Pace,S,2022,01,5.385 km,Eléctrico,400 CV,"directo, sin caja de cambios",5 puertas,AZUL PORTOFINO BLUE,Profesional,https://www.coches.com/km0/seminuevo-jaguar-i-pace-s-en-cadiz.htm?id=7971068,58900
