,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Jaguar,S-Type,3.0 V6 Executive,2006,07,89.997 km,Gasolina,240 CV,automática,4 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-s-type-30-v6-executive-en-barcelona.htm?id=8103783,7999
1,Jaguar,S-Type,3.0 V6,2001,,110.000 km,Gasolina,240 CV,manual,4 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-s-type-30-v6-en-vizcaya.htm?id=7885527,4990
2,Jaguar,S-Type,4.0 V8,2000,,250.000 km,Gasolina,276 CV,automática,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-s-type-40-v8-en-malaga.htm?id=8125568,1500
3,Jaguar,S-Type,V6 2.5,2003,,204.000 km,Gasolina,204 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-s-type-v6-25-en-barcelona.htm?id=7645443,4900
4,Jaguar,S-Type,2.7d V6 Executive,2007,,185.000 km,Diesel,207 CV,automática,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-s-type-27d-v6-executive-en-malaga.htm?id=7965833,7500
5,Jaguar,S-Type,V8 4.2 R,2002,,162.000 km,Gasolina,400 CV,automática,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-s-type-v8-42-r-en-malaga.htm?id=7741072,7900
6,Jaguar,S-Type,3.0 V6 Classic,2006,,135.000 km,Gasolina,240 CV,manual,4 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-s-type-30-v6-classic-en-madrid.htm?id=7739340,3000
7,Jaguar,S-Type,3.0 V6 Executive,2000,,117.600 km,Gasolina,240 CV,automática,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-s-type-30-v6-executive-en-barcelona.htm?id=7681219,8000
8,Jaguar,S-Type,3.0 V6,2000,,204.000 km,Gasolina,240 CV,manual,4 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-s-type-30-v6-en-vizcaya.htm?id=8029954,4000
9,Jaguar,S-Type,3.0 V6,1999,,120.000 km,Gasolina,240 CV,manual,4 puertas,champan,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-s-type-30-v6-en-palmas+las.htm?id=7740988,3500
10,Jaguar,S-Type,3.0 V6,1999,,92.000 km,Gasolina,240 CV,manual,4 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-s-type-30-v6-en-caceres.htm?id=8005673,10000
11,Jaguar,S-Type,2.7d V6 Classic,2004,10,248.474 km,Diesel,207 CV,manual,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-s-type-27d-v6-classic-en-madrid.htm?id=8119163,3950
12,Jaguar,S-Type,2.7d V6 Classic,2004,10,248.474 km,Diesel,207 CV,manual,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-s-type-27d-v6-classic-en-madrid.htm?id=8119086,3950
