,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Jaguar,X-Type,2.0d Executive,2004,05,262.000 km,Diesel,130 CV,manual,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-x-type-20d-executive-en-alava.htm?id=7636458,6500
1,Jaguar,X-Type,2.0d Executive,2005,10,196.000 km,Diesel,130 CV,manual,4 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-x-type-20d-executive-en-vizcaya.htm?id=6325609,6800
2,Jaguar,X-Type,2.0d Executive,2004,,105.000 km,Diesel,130 CV,manual,4 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-x-type-20d-executive-en-castellon.htm?id=7803261,4500
3,Jaguar,X-Type,2.2d Executive,2006,,246.962 km,Diesel,155 CV,manual,4 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-x-type-22d-executive-en-murcia.htm?id=7748877,3900
4,Jaguar,X-Type,2.5 V6 Executive,2004,,283.000 km,Gasolina,196 CV,manual,4 puertas,verde oscuro con cristales tin,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-x-type-25-v6-executive-en-murcia.htm?id=7742815,4300
5,Jaguar,X-Type,2.0d Sport,2005,,280.000 km,Diesel,130 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-x-type-20d-sport-en-rioja+la.htm?id=7968881,2600
6,Jaguar,X-Type,2.0 V6 Classic,2002,,140.000 km,Gasolina,157 CV,manual,4 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-x-type-20-v6-classic-en-madrid.htm?id=7959406,4300
7,Jaguar,X-Type,2.5 V6 Executive,2002,,103.000 km,Gasolina,196 CV,manual,4 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-x-type-25-v6-executive-en-cuenca.htm?id=6396731,5000
8,Jaguar,X-Type,2.0d Executive,2004,,124.000 km,Diesel,130 CV,manual,4 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-x-type-20d-executive-en-malaga.htm?id=8001121,5500
9,Jaguar,X-Type,2.5 V6 Executive,2003,,240.000 km,Gasolina,196 CV,manual,4 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-x-type-25-v6-executive-en-albacete.htm?id=7966294,3750
10,Jaguar,X-Type,3.0 V6 Executive,2001,,212.000 km,Gasolina,231 CV,automática,4 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-x-type-30-v6-executive-en-malaga.htm?id=5085649,4500
