,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Jaguar,Xe,2.0 Diesel Portfolio Aut. 180,2018,,50.200 km,Diesel,180 CV,automática secuencial,4 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-portfolio-aut-180-en-madrid.htm?id=8125765,20995
1,Jaguar,Xe,2.0 I4 R-dyn Se Awd Aut. 300,2019,,16.854 km,Gasolina,300 CV,automática secuencial,4 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-i4-r-dyn-se-awd-aut-300-en-madrid.htm?id=8115291,33990
2,Jaguar,Xe,2.0 Diesel Pure 180,2015,11,100.347 km,Diesel,180 CV,manual,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-pure-180-en-madrid.htm?id=8119475,16490
3,Jaguar,Xe,2.0 Diesel R-sport Awd Aut. 180,2019,,90.000 km,Diesel,180 CV,automática secuencial,4 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-r-sport-awd-aut-180-en-sevilla.htm?id=8063948,23990
4,Jaguar,Xe,2.0 Diesel Pure Aut. 180,2019,,157.000 km,Diesel,180 CV,automática secuencial,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-pure-aut-180-en-sevilla.htm?id=8037144,22990
5,Jaguar,Xe,2.0 Diesel Prestige Aut. 180,2016,06,161.001 km,Diesel,180 CV,automática secuencial,4 puertas,NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-prestige-aut-180-en-coruna+a.htm?id=7487002,17990
6,Jaguar,Xe,2.0 I4 Prestige Awd Aut. 250,2018,02,113.524 km,Gasolina,250 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-i4-prestige-awd-aut-250-en-madrid.htm?id=8082763,23990
7,Jaguar,Xe,2.0 Diesel R-sport Aut. 180,2018,08,90.376 km,Diesel,180 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-r-sport-aut-180-en-alicante.htm?id=8061865,22995
8,Jaguar,Xe,2.0 Diesel Pure 180,2017,05,126.701 km,Diesel,180 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-pure-180-en-madrid.htm?id=8004430,17690
9,Jaguar,Xe,2.0 I4 Se Rwd Aut. 250,2019,07,56.000 km,Gasolina,250 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-i4-se-rwd-aut-250-en-madrid.htm?id=7967832,29990
10,Jaguar,Xe,2.0i4d R-dyn S Awd Aut. 180,2020,,71.933 km,Diesel,180 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20i4d-r-dyn-s-awd-aut-180-en-murcia.htm?id=7836335,27999
11,Jaguar,Xe,2.0 Diesel Pure Aut. 180,2015,,65.000 km,Diesel,180 CV,automática secuencial,4 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-pure-aut-180-en-madrid.htm?id=7943307,17895
12,Jaguar,Xe,2.0 Diesel R-sport Aut. 180,2015,,104.099 km,Diesel,180 CV,automática secuencial,4 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-r-sport-aut-180-en-alicante.htm?id=7698905,16800
13,Jaguar,Xe,2.0 Gtdi Prestige Aut. 240,2017,,33.000 km,Gasolina,240 CV,automática secuencial,4 puertas,verde obscuro metalizado ,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-gtdi-prestige-aut-240-en-madrid.htm?id=7903786,29000
14,Jaguar,Xe,2.0 Diesel R-sport Aut. 180,2016,,85.000 km,Diesel,180 CV,automática secuencial,4 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-r-sport-aut-180-en-granada.htm?id=7761338,22500
15,Jaguar,Xe,2.0 Diesel Prestige Aut. 180,2015,,127.000 km,Diesel,180 CV,automática secuencial,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-prestige-aut-180-en-barcelona.htm?id=7903785,17900
16,Jaguar,Xe,2.0 Diesel Pure 180,2016,,64.546 km,Diesel,180 CV,manual,4 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-pure-180-en-barcelona.htm?id=7762126,21800
17,Jaguar,Xe,2.0 Diesel R-sport 180,2015,,41.000 km,Diesel,180 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-r-sport-180-en-jaen.htm?id=7983463,16900
18,Jaguar,Xe,2.0 Diesel Pure Awd Aut. 180,2016,,108.000 km,Diesel,180 CV,automática secuencial,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-pure-awd-aut-180-en-murcia.htm?id=7974829,19000
19,Jaguar,Xe,2.0 Diesel Pure 180,2016,,71.000 km,Diesel,180 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-pure-180-en-granada.htm?id=7717299,18500
20,Jaguar,Xe,2.0 Diesel Prestige Aut. 180,2018,05,45.000 km,Diesel,180 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-prestige-aut-180-en-alava.htm?id=8124748,22900
21,Jaguar,Xe,2.0 Diesel Portfolio 180,2016,08,132.947 km,Diesel,180 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-portfolio-180-en-madrid.htm?id=8102136,15980
22,Jaguar,Xe,2.0 Diesel Prestige Awd Aut. 180,2015,08,130.000 km,Diesel,180 CV,automática secuencial,4 puertas,Granate,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-prestige-awd-aut-180-en-sevilla.htm?id=8097469,14800
23,Jaguar,Xe,2.0 Diesel Pure Awd Aut. 180,2019,02,160.732 km,Diesel,180 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-pure-awd-aut-180-en-madrid.htm?id=8093298,17500
24,Jaguar,Xe,2.0 Diesel Prestige Aut. 180,2018,05,170.000 km,Diesel,180 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-prestige-aut-180-en-sevilla.htm?id=8043659,18500
25,Jaguar,Xe,2.0 I4 R-dynamic Se Rwd Aut. 250,2019,12,49.693 km,Gasolina,250 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-i4-r-dynamic-se-rwd-aut-250-en-valladolid.htm?id=8032520,34900
26,Jaguar,Xe,2.0 Diesel Prestige Awd Aut. 180,2019,08,64.287 km,Diesel,180 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xe-20-diesel-prestige-awd-aut-180-en-granada.htm?id=8028235,23990
