,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Jaguar,Xj,3.0d Lwb Premium Luxury Aut.,2010,09,120.000 km,Diesel,275 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xj-30d-lwb-premium-luxury-aut-en-sevilla.htm?id=7918178,17000
1,Jaguar,Xj,3.0d Swb Premium Luxury Aut.,2018,05,121.000 km,Diesel,300 CV,automática secuencial,4 puertas,Rojo oscuro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xj-30d-swb-premium-luxury-aut-en-lugo.htm?id=8073069,39900
2,Jaguar,Xj,6 2.7d V6 Executive Aut.,2006,04,165.000 km,Diesel,207 CV,automática secuencial,4 puertas,Gris / Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xj-6-27d-v6-executive-aut-en-alava.htm?id=7636414,15500
3,Jaguar,Xj,8 3.2 Executive,2002,,159.000 km,Gasolina,240 CV,automática,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xj-8-32-executive-en-murcia.htm?id=8072729,8901
4,Jaguar,Xj,6 3.2 Executive,1995,,199.000 km,Gasolina,216 CV,automática,4 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xj-6-32-executive-en-sevilla.htm?id=7634166,6000
5,Jaguar,Xj,6 2.7d V6 Executive Aut.,2007,01,209.795 km,Diesel,207 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xj-6-27d-v6-executive-aut-en-jaen.htm?id=7949870,9800
6,Jaguar,Xj,6 4.2 Sovereign,1982,,89.345 km,Gasolina,204 CV,automática,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xj-6-42-sovereign-en-madrid.htm?id=7936769,12800
7,Jaguar,Xj,3.0d Lwb Premium Luxury Aut.,2012,05,164.032 km,Diesel,275 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xj-30d-lwb-premium-luxury-aut-en-madrid.htm?id=7901089,19900
8,Jaguar,Xj,3.0d Swb Luxury Aut.,2010,,178.000 km,Diesel,275 CV,automática secuencial,4 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xj-30d-swb-luxury-aut-en-madrid.htm?id=7833487,20500
9,Jaguar,Xj,6 3.2 Sport,1996,01,200.000 km,Gasolina,216 CV,automática,4 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xj-6-32-sport-en-valencia.htm?id=7790894,7900
10,Jaguar,Xj,8 3.2 Executive,1998,,275.700 km,Gasolina,240 CV,automática,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xj-8-32-executive-en-alicante.htm?id=7753830,4500
11,Jaguar,Xj,3.0d Swb Portfolio Aut.,2011,,112.000 km,Diesel,275 CV,automática secuencial,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xj-30d-swb-portfolio-aut-en-madrid.htm?id=7491658,25900
