,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Jaguar,Xk,Coupé 4.2l V8 Aut.,2008,,80.000 km,Gasolina,298 CV,automática secuencial,3 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xk-coupe-42l-v8-aut-en-alava.htm?id=8093876,28990
1,Jaguar,Xk,R Coupé Aut.,2006,11,95.000 km,Gasolina,420 CV,automática secuencial,3 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xk-r-coupe-aut-en-malaga.htm?id=8020471,19990
2,Jaguar,Xk,Convertible 4.2l V8 Aut.,2007,09,19.000 km,Gasolina,298 CV,automática secuencial,2 puertas,Gris / Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xk-convertible-42l-v8-aut-en-alava.htm?id=7741998,44900
3,Jaguar,Xk,R-s Coupé 5.0 V8 Aut.,2011,05,67.621 km,Gasolina,550 CV,automática secuencial,3 puertas,BLANCO ,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xk-r-s-coupe-50-v8-aut-en-madrid.htm?id=8049953,58500
4,Jaguar,Xk,R-s Coupé 5.0 V8 Aut.,2011,01,35.000 km,Gasolina,550 CV,automática secuencial,3 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xk-r-s-coupe-50-v8-aut-en-madrid.htm?id=8049951,46990
5,Jaguar,Xk,R-s Coupé 5.0 V8 Aut.,2011,05,67.621 km,Gasolina,550 CV,automática secuencial,3 puertas,BLANCO ,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xk-r-s-coupe-50-v8-aut-en-madrid.htm?id=8049939,58500
6,Jaguar,Xk,R-s Coupé 5.0 V8 Aut.,2011,01,35.000 km,Gasolina,550 CV,automática secuencial,3 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xk-r-s-coupe-50-v8-aut-en-madrid.htm?id=8049933,46990
7,Jaguar,Xk,8 Coupé 4.0 Aut.,1997,,89.450 km,Gasolina,290 CV,automática,3 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xk-8-coupe-40-aut-en-ciudad+real.htm?id=7808602,16990
8,Jaguar,Xk,8 Coupé 4.0 Aut.,1998,10,154.700 km,Gasolina,290 CV,automática,3 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xk-8-coupe-40-aut-en-vizcaya.htm?id=6328051,16000
9,Jaguar,Xk,8 Coupé 4.0 Aut.,1997,,217.000 km,Gasolina,290 CV,automática,3 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xk-8-coupe-40-aut-en-almeria.htm?id=8033375,15000
10,Jaguar,Xk,8 Coupé 4.0 Aut.,1998,,165.000 km,Gasolina,290 CV,automática,3 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xk-8-coupe-40-aut-en-cadiz.htm?id=8047290,13500
11,Jaguar,Xk,8 Coupé 4.2 Aut.,2007,01,175.000 km,Gasolina,300 CV,automática,3 puertas,Gris claro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xk-8-coupe-42-aut-en-alicante.htm?id=8074724,22999
