,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Jeep,Cherokee,2.2 Multijet Limited 4x4 Adii Aut. 147kw,2017,06,207.000 km,Diesel,200 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-cherokee-22-multijet-limited-4x4-adii-aut-147kw-en-barcelona.htm?id=8081316,15699
1,Jeep,Cherokee,2.2 Limited Fwd 9at,2019,,68.125 km,Diesel,195 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-cherokee-22-limited-fwd-9at-en-guadalajara.htm?id=7165269,25500
2,Jeep,Cherokee,3.7l V6 Limited,2005,01,180.000 km,Gasolina,210 CV,automática,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-cherokee-37l-v6-limited-en-barcelona.htm?id=8095061,7999
3,Jeep,Cherokee,2.0d Limited 4x4 Adi Aut. 125kw,2015,01,84.000 km,Diesel,170 CV,automática secuencial,5 puertas,NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-cherokee-20d-limited-4x4-adi-aut-125kw-en-girona.htm?id=8058088,20300
4,Jeep,Cherokee,2.2d Limited 4x4 Adii Aut. 147kw,2015,08,113.000 km,Diesel,200 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-cherokee-22d-limited-4x4-adii-aut-147kw-en-madrid.htm?id=8043256,20390
5,Jeep,Cherokee,2.0d Limited 4x4 Adi Aut. 125kw,2015,01,260.000 km,Diesel,170 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-cherokee-20d-limited-4x4-adi-aut-125kw-en-sevilla.htm?id=8004199,13500
6,Jeep,Cherokee,2.8crd Limited Aut.,2008,01,156.006 km,Diesel,177 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-cherokee-28crd-limited-aut-en-madrid.htm?id=7915744,12490
7,Jeep,Cherokee,2.8crd Limited Aut.,2008,01,156.006 km,Diesel,177 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-cherokee-28crd-limited-aut-en-sevilla.htm?id=7889112,12490
8,Jeep,Cherokee,2.8crd Limited,2008,01,156.006 km,Diesel,163 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-cherokee-28crd-limited-en-malaga.htm?id=7774348,12490
9,Jeep,Cherokee,2.0d Limited 4x4 Adi Aut. 125kw,2014,09,92.008 km,Diesel,170 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-cherokee-20d-limited-4x4-adi-aut-125kw-en-madrid.htm?id=7898599,20750
10,Jeep,Cherokee,2.2 Overland 4wd 9at,2019,,134.500 km,Diesel,195 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-cherokee-22-overland-4wd-9at-en-alicante.htm?id=7671593,27990
