,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Kia,Picanto,1.0 Dpi Concept,2023,04,261 km,Gasolina,67 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-kia-picanto-10-dpi-concept-en-sevilla.htm?id=7803006,13600
1,Kia,Picanto,1.0 Concept,2015,,79.482 km,Gasolina,66 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-picanto-10-concept-en-malaga.htm?id=8003442,6900
2,Kia,Picanto,1.0 Cvvt Eco-dynamics Concept Pack Comfort,2017,,41.277 km,Gasolina,67 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-picanto-10-cvvt-eco-dynamics-concept-pack-comfort-en-sevilla.htm?id=8098357,8900
3,Kia,Picanto,1.0 Dpi Concept,2021,03,75.947 km,Gasolina,67 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-picanto-10-dpi-concept-en-madrid.htm?id=8086354,10190
4,Kia,Picanto,1.0 Concept,2015,12,40.469 km,Gasolina,66 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-picanto-10-concept-en-toledo.htm?id=8116641,8099
5,Kia,Picanto,1.0 Dpi Gt-line,2020,02,69.283 km,Gasolina,67 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-picanto-10-dpi-gt-line-en-toledo.htm?id=8115241,10399
6,Kia,Picanto,1.0 Cvvteco-dynamics Concept,2018,10,21.129 km,Gasolina,67 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-picanto-10-cvvteco-dynamics-concept-en-toledo.htm?id=8084141,9599
7,Kia,Picanto,1.0 Dpi Concept,2020,01,35.620 km,Gasolina,67 CV,manual,5 puertas,SIN ESPECIFICAR,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-picanto-10-dpi-concept-en-cadiz.htm?id=8047079,10500
8,Kia,Picanto,1.0 Cvvt Eco-dynamics Concept Pack Comfort,2019,,19.900 km,Gasolina,67 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-picanto-10-cvvt-eco-dynamics-concept-pack-comfort-en-barcelona.htm?id=8115777,9499
9,Kia,Picanto,1.2 Dpi Gt-line,2020,07,9.377 km,Gasolina,84 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-picanto-12-dpi-gt-line-en-toledo.htm?id=8113625,12999
10,Kia,Picanto,1.0 Eco-dynamics X-tech,2015,,100.724 km,Gasolina,66 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-picanto-10-eco-dynamics-x-tech-en-palmas+las.htm?id=8092835,7490
11,Kia,Picanto,1.1 Concept,2008,,100.000 km,Gasolina,65 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-picanto-11-concept-en-palmas+las.htm?id=8086704,4990
12,Kia,Picanto,1.0 Cvvteco-dynamics Concept,2019,10,15.033 km,Gasolina,67 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-picanto-10-cvvteco-dynamics-concept-en-toledo.htm?id=8081306,10299
13,Kia,Picanto,1.0 Cvvteco-dynamics Concept,2019,10,41.817 km,Gasolina,67 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-picanto-10-cvvteco-dynamics-concept-en-toledo.htm?id=8081286,9799
