,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Kia,Rio,1.4crdi Wgt Eco-dynamics Drive 90,2017,07,85.816 km,Diesel,90 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-14crdi-wgt-eco-dynamics-drive-90-en-malaga.htm?id=8031249,12790
1,Kia,Rio,1.2 Cvvt Eco-dynamics Concept,2018,08,58.183 km,Gasolina,84 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-12-cvvt-eco-dynamics-concept-en-sevilla.htm?id=7345495,12900
2,Kia,Rio,1.4 Drive Eco-dynamics,2012,,113.000 km,Gasolina,109 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-14-drive-eco-dynamics-en-alicante.htm?id=8104729,6999
3,Kia,Rio,1.2 Cvvt Concept,2017,03,61.049 km,Gasolina,84 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-12-cvvt-concept-en-sevilla.htm?id=8123755,8750
4,Kia,Rio,1.2 Dpi Concept 84,2023,,4.000 km,Gasolina,84 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-kia-rio-12-dpi-concept-84-en-palmas+las.htm?id=8128940,13900
5,Kia,Rio,1.2 Cvvt Concept,2016,03,88.736 km,Gasolina,84 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-12-cvvt-concept-en-toledo.htm?id=8064687,8599
6,Kia,Rio,1.2 Cvvt Concept,2016,04,47.950 km,Gasolina,84 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-12-cvvt-concept-en-toledo.htm?id=8081294,9599
7,Kia,Rio,1.2 Concept,2014,03,114.728 km,Gasolina,85 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-12-concept-en-toledo.htm?id=8115225,7699
8,Kia,Rio,1.2 Cvvt Eco-dynamics Concept,2019,05,41.485 km,Gasolina,84 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-12-cvvt-eco-dynamics-concept-en-toledo.htm?id=8108413,11799
9,Kia,Rio,1.0 T-gdi Mhev Imt Drive 100,2021,01,26.416 km,Gasolina,100 CV,manual,5 puertas,CLEAR WHITE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-10-t-gdi-mhev-imt-drive-100-en-navarra.htm?id=8060973,18300
10,Kia,Rio,1.0 T-gdi Eco-dynamics Drive 100,2019,01,40.498 km,Gasolina,100 CV,manual,5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-10-t-gdi-eco-dynamics-drive-100-en-tarragona.htm?id=8060730,15500
11,Kia,Rio,1.2 Cvvt Eco-dynamics Drive,2017,,119.000 km,Gasolina,84 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-12-cvvt-eco-dynamics-drive-en-malaga.htm?id=7995784,8900
12,Kia,Rio,1.2 Cvvt Eco-dynamics Concept,2019,,36.340 km,Gasolina,84 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-12-cvvt-eco-dynamics-concept-en-zaragoza.htm?id=8128220,15950
13,Kia,Rio,1.2 Dpi Drive 84,2023,01,9.000 km,Gasolina,84 CV,manual,5 puertas,BLANCO CLEAR WHITE S,Profesional,https://www.coches.com/km0/seminuevo-kia-rio-12-dpi-drive-84-en-vizcaya.htm?id=8120796,21000
14,Kia,Rio,1.2 Cvvt Concept,2015,01,127.000 km,Gasolina,84 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-12-cvvt-concept-en-palmas+las.htm?id=8111309,8990
15,Kia,Rio,1.2 Dpi Concept 84,2023,01,5 km,Gasolina,84 CV,manual,5 puertas,SIGNAL RED CBEGE,Profesional,https://www.coches.com/km0/seminuevo-kia-rio-12-dpi-concept-84-en-cadiz.htm?id=8109888,16500
16,Kia,Rio,1.2 Concept,2014,,118.650 km,Gasolina,85 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-12-concept-en-malaga.htm?id=8098148,7990
17,Kia,Rio,1.0 T-gdi Mhev Imt Drive 100,2023,01,240 km,Gasolina,100 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-kia-rio-10-t-gdi-mhev-imt-drive-100-en-madrid.htm?id=8093824,22890
18,Kia,Rio,1.2 Dpi Drive 84,2021,01,21.092 km,Gasolina,84 CV,manual,5 puertas,PERENNIAL GREY M,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-12-dpi-drive-84-en-vizcaya.htm?id=8091504,17900
19,Kia,Rio,1.2 Dpi Drive 84,2021,03,21.092 km,Gasolina,84 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-12-dpi-drive-84-en-madrid.htm?id=8080818,17890
20,Kia,Rio,1.2 Concept,2013,05,19.117 km,Gasolina,85 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-12-concept-en-sevilla.htm?id=8067621,9950
21,Kia,Rio,1.2 Cvvt Eco-dynamics Drive,2017,,24.942 km,Gasolina,84 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-rio-12-cvvt-eco-dynamics-drive-en-vizcaya.htm?id=8066851,12400
