,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Lamborghini,Urus,4.0 V8 Aut.,2020,03,59.900 km,Gasolina,650 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lamborghini-urus-40-v8-aut-en-valencia.htm?id=8127031,344199
1,Lamborghini,Urus,4.0 V8 Aut.,2020,03,59.900 km,Gasolina,650 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lamborghini-urus-40-v8-aut-en-valencia.htm?id=8127030,350430
2,Lamborghini,Urus,4.0 V8 Aut.,2020,03,59.128 km,Gasolina,650 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lamborghini-urus-40-v8-aut-en-valencia.htm?id=8127029,395293
3,Lamborghini,Urus,4.0 V8 Aut.,2021,03,80 km,Gasolina,650 CV,automática secuencial,5 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lamborghini-urus-40-v8-aut-en-valencia.htm?id=8127028,679421
4,Lamborghini,Urus,4.0 V8 Aut.,2021,03,80 km,Gasolina,650 CV,automática secuencial,5 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lamborghini-urus-40-v8-aut-en-valencia.htm?id=8127027,714314
5,Lamborghini,Urus,4.0 V8 Aut.,2021,03,10.000 km,Gasolina,650 CV,automática secuencial,5 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lamborghini-urus-40-v8-aut-en-valencia.htm?id=8117704,306814
6,Lamborghini,Urus,4.0 V8 Aut.,2021,03,41.100 km,Gasolina,650 CV,automática secuencial,5 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lamborghini-urus-40-v8-aut-en-valencia.htm?id=8117702,285629
7,Lamborghini,Urus,4.0 V8 Aut.,2022,03,12.900 km,Gasolina,650 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lamborghini-urus-40-v8-aut-en-valencia.htm?id=8117701,421462
8,Lamborghini,Urus,4.0 V8 Aut.,2023,03,6.540 km,Gasolina,650 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-lamborghini-urus-40-v8-aut-en-valencia.htm?id=8117699,411493
9,Lamborghini,Urus,4.0 V8 Aut.,2019,05,64.000 km,Gasolina,650 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lamborghini-urus-40-v8-aut-en-madrid.htm?id=8099023,259999
