,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Lancia,Ypsilon,1.4 Lx,1997,,154.000 km,Gasolina,80 CV,manual,3 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lancia-ypsilon-14-lx-en-vizcaya.htm?id=8064214,1800
1,Lancia,Ypsilon,1.2 Evo Ii Gold,2014,,101.000 km,Gasolina,69 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lancia-ypsilon-12-evo-ii-gold-en-malaga.htm?id=8068151,8995
2,Lancia,Ypsilon,1.2 Evo Ii Gold,2015,,115.700 km,Gasolina,69 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lancia-ypsilon-12-evo-ii-gold-en-barcelona.htm?id=8021232,8500
3,Lancia,Ypsilon,1.2 Ls,2020,02,10.793 km,Gasolina,60 CV,manual,3 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lancia-ypsilon-12-ls-en-burgos.htm?id=7237154,14900
4,Lancia,Ypsilon,1.2 8v Oro 69,2020,01,19.631 km,Gasolina,69 CV,manual,3 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lancia-ypsilon-12-8v-oro-69-en-burgos.htm?id=7237148,14900
5,Lancia,Ypsilon,1.2 8v Oro 69,2020,01,21.730 km,Gasolina,69 CV,manual,3 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lancia-ypsilon-12-8v-oro-69-en-burgos.htm?id=7237144,13900
6,Lancia,Ypsilon,1.2 Evo Ii Black&red,2012,,93.787 km,Gasolina,69 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lancia-ypsilon-12-evo-ii-black_red-en-toledo.htm?id=7716552,6500
7,Lancia,Ypsilon,1.2 Evo Ii Silver,2014,,66.000 km,Gasolina,69 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-lancia-ypsilon-12-evo-ii-silver-en-valencia.htm?id=8082207,7000
8,Lancia,Ypsilon,1.2 Evo Ii Silver,2012,,85.000 km,Gasolina,69 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-lancia-ypsilon-12-evo-ii-silver-en-navarra.htm?id=7716374,7000
9,Lancia,Ypsilon,1.2 8v Gold,2011,,135.000 km,Gasolina,69 CV,manual,3 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-lancia-ypsilon-12-8v-gold-en-barcelona.htm?id=7921161,4495
10,Lancia,Ypsilon,1.2 16v Argento,2003,,120.000 km,Gasolina,80 CV,manual,3 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-lancia-ypsilon-12-16v-argento-en-valencia.htm?id=7694686,2500
11,Lancia,Ypsilon,0.9 Twinair Gold Mta,2012,05,149.000 km,Gasolina,85 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lancia-ypsilon-09-twinair-gold-mta-en-madrid.htm?id=8116528,6590
12,Lancia,Ypsilon,1.2 Evo Ii S&s Gold,2012,01,161.400 km,Gasolina,69 CV,manual,5 puertas,Amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lancia-ypsilon-12-evo-ii-s_s-gold-en-murcia.htm?id=8086325,6000
13,Lancia,Ypsilon,1.2 8v Oro 69,2020,01,22.856 km,Gasolina,69 CV,manual,3 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lancia-ypsilon-12-8v-oro-69-en-burgos.htm?id=8067893,14900
14,Lancia,Ypsilon,1.2 Evo Ii Elle,2015,08,107.003 km,Gasolina,69 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lancia-ypsilon-12-evo-ii-elle-en-madrid.htm?id=8063761,9990
15,Lancia,Ypsilon,0.9 Gold Stop&start,2012,05,121.792 km,Gasolina,85 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lancia-ypsilon-09-gold-stop_start-en-madrid.htm?id=8007319,7390
16,Lancia,Ypsilon,0.9 Gold Stop&start,2012,05,121.792 km,Gasolina,85 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lancia-ypsilon-09-gold-stop_start-en-madrid.htm?id=8006940,7390
