,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Land Rover,Defender,90 3.0d L6 Mhev Se Awd Aut. 250,2023,,11.948 km,Diesel,250 CV,automática secuencial,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-90-30d-l6-mhev-se-awd-aut-250-en-sevilla.htm?id=7955302,74900
1,Land Rover,Defender,90 3.0 I6 Mhev First Edition Awd Aut. 400,2021,05,42.018 km,Gasolina,400 CV,automática secuencial,3 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-90-30-i6-mhev-first-edition-awd-aut-400-en-madrid.htm?id=8099379,79490
2,Land Rover,Defender,110 2.0 Si4 Phev 75th Limited Edition Awd Aut. 404,2023,,1.100 km,Híbrido,404 CV,automática secuencial,5 puertas,verde,Profesional,https://www.coches.com/km0/seminuevo-land+rover-defender-110-20-si4-phev-75th-limited-edition-awd-aut-404-en-barcelona.htm?id=8068269,126900
3,Land Rover,Defender,110 3.0 I6 Mhev First Edition Awd Aut.,2020,,19.900 km,Gasolina,400 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-30-i6-mhev-first-edition-awd-aut-en-madrid.htm?id=7989897,90900
4,Land Rover,Defender,110 3.0d L6 Mhev Se Awd Aut. 250,2023,,NUEVO,Diesel,250 CV,automática secuencial,5 puertas,marrón,Profesional,https://www.coches.com/km0/seminuevo-land+rover-defender-110-30d-l6-mhev-se-awd-aut-250-en-madrid.htm?id=8056335,95990
5,Land Rover,Defender,110 3.0d L6 Mhev Se Awd Aut. 200,2022,07,33.839 km,Diesel,200 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-30d-l6-mhev-se-awd-aut-200-en-sevilla.htm?id=8002731,79900
6,Land Rover,Defender,90 Sw Se,2015,08,142.000 km,Diesel,122 CV,manual,3 puertas,,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-90-sw-se-en-madrid.htm?id=8053290,29990
7,Land Rover,Defender,110 3.0d L6 Mhev Se Awd Aut. 250,2023,,NUEVO,Diesel,250 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-land+rover-defender-110-30d-l6-mhev-se-awd-aut-250-en-madrid.htm?id=8025263,96290
8,Land Rover,Defender,110 3.0d L6 Mhev Se Awd Aut. 250,2022,09,16.620 km,Diesel,250 CV,automática secuencial,5 puertas,Verde claro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-30d-l6-mhev-se-awd-aut-250-en-alicante.htm?id=7938571,81900
9,Land Rover,Defender,90 Sw Se,2010,,92.000 km,Diesel,122 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-90-sw-se-en-alicante.htm?id=7847379,54900
10,Land Rover,Defender,110 3.0d L6 Mhev S Awd Aut. 250,2023,04,16.000 km,Diesel,250 CV,automática secuencial,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-30d-l6-mhev-s-awd-aut-250-en-ciudad+real.htm?id=7957400,79900
11,Land Rover,Defender,90 3.0 I6 Mhev Xs Edition Awd Aut.400,2022,09,9.400 km,Gasolina,400 CV,automática secuencial,3 puertas,Beige,Profesional,https://www.coches.com/km0/seminuevo-land+rover-defender-90-30-i6-mhev-xs-edition-awd-aut400-en-ciudad+real.htm?id=7957402,92900
12,Land Rover,Defender,110 2.0 Si4 Phev S Awd Aut. 404,2023,,NUEVO,Híbrido,404 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-land+rover-defender-110-20-si4-phev-s-awd-aut-404-en-cadiz.htm?id=7864376,93050
13,Land Rover,Defender,110 Sw E,2013,08,57.999 km,Diesel,122 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6381555,37500
14,Land Rover,Defender,110 Sw E,2013,08,62.299 km,Diesel,122 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6202891,39500
15,Land Rover,Defender,110 Sw E,2013,08,65.000 km,Diesel,122 CV,manual,5 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6202783,41000
16,Land Rover,Defender,90 Sw E,2014,08,65.000 km,Diesel,122 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-90-sw-e-en-cordoba.htm?id=6202773,44500
17,Land Rover,Defender,110 Sw S,2011,08,115.000 km,Diesel,122 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-s-en-cordoba.htm?id=6202769,46000
18,Land Rover,Defender,110 Sw E,2013,08,62.000 km,Diesel,122 CV,manual,5 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6202761,38500
19,Land Rover,Defender,110 Sw S,2012,08,86.000 km,Diesel,122 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-s-en-cordoba.htm?id=6202719,39200
20,Land Rover,Defender,110 Sw E,2013,08,101.000 km,Diesel,122 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6202717,38000
21,Land Rover,Defender,110 Sw Se,2015,08,81.000 km,Diesel,122 CV,manual,5 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-se-en-cordoba.htm?id=6202707,38000
22,Land Rover,Defender,110 Sw E,2013,08,78.000 km,Diesel,122 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6202705,49950
23,Land Rover,Defender,110 Sw E,2013,08,72.000 km,Diesel,122 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6202703,36800
24,Land Rover,Defender,110 Sw E,2014,08,91.000 km,Diesel,122 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6202701,42000
25,Land Rover,Defender,110 Sw E,2013,08,97.000 km,Diesel,122 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6202699,40500
26,Land Rover,Defender,110 Sw E,2012,08,84.000 km,Diesel,122 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6202691,39600
27,Land Rover,Defender,110 3.0d L6 Mhev Se Awd Aut. 250,2023,,NUEVO,Diesel,250 CV,automática secuencial,5 puertas,beige,Profesional,https://www.coches.com/km0/seminuevo-land+rover-defender-110-30d-l6-mhev-se-awd-aut-250-en-cadiz.htm?id=7864327,94960
28,Land Rover,Defender,90 Sw E,2014,12,108.000 km,Diesel,122 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-90-sw-e-en-cordoba.htm?id=6206517,36500
29,Land Rover,Defender,110 Sw E,2012,08,78.000 km,Diesel,122 CV,manual,5 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6202893,39500
30,Land Rover,Defender,110 Sw Se,2014,08,52.000 km,Diesel,122 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-se-en-cordoba.htm?id=6202851,42600
31,Land Rover,Defender,110 Sw E,2012,08,29.500 km,Diesel,122 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6202849,39500
32,Land Rover,Defender,110 Sw E,2013,08,59.000 km,Diesel,122 CV,manual,5 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6202771,42500
33,Land Rover,Defender,110 Sw E,2013,08,79.000 km,Diesel,122 CV,manual,5 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6202753,39900
34,Land Rover,Defender,110 Sw E,2014,08,72.000 km,Diesel,122 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6202751,36500
35,Land Rover,Defender,110 Sw E,2013,08,65.001 km,Diesel,122 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6202743,39900
36,Land Rover,Defender,110 Sw E,2016,08,150.000 km,Diesel,122 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6202737,39900
37,Land Rover,Defender,110 Sw S,2012,08,111.000 km,Diesel,122 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-s-en-cordoba.htm?id=6202735,38600
38,Land Rover,Defender,110 Sw E,2014,08,82.000 km,Diesel,122 CV,manual,5 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6202733,38500
39,Land Rover,Defender,110 Sw E,2011,08,115.000 km,Diesel,122 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-defender-110-sw-e-en-cordoba.htm?id=6202727,39699
