,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Land Rover,Range Rover,R.r. 3.0d I6 Mhev Autobiography Lwb 7 Plazas Awd Aut. 350,2023,,1.980 km,Diesel,350 CV,automática secuencial,5 puertas,beige,Profesional,https://www.coches.com/km0/seminuevo-land+rover-range+rover-rr-30d-i6-mhev-autobiography-lwb-7-plazas-awd-aut-350-en-barcelona.htm?id=8068281,209900
1,Land Rover,Range Rover,4.6 Hse Aut.,1998,,224.000 km,Gasolina,224 CV,automática,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover-46-hse-aut-en-madrid.htm?id=8083588,12999
2,Land Rover,Range Rover,4.4 V8 Mhev Autobiography Swb Awd Aut. 530,2023,,1.350 km,Gasolina,530 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-land+rover-range+rover-44-v8-mhev-autobiography-swb-awd-aut-530-en-barcelona.htm?id=8068274,209900
3,Land Rover,Range Rover,3.0d I6 Mhev First Edition Swb Awd Aut. 350,2022,07,20.814 km,Diesel,350 CV,automática secuencial,5 puertas,Gris-negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover-30d-i6-mhev-first-edition-swb-awd-aut-350-en-malaga.htm?id=8061879,189900
4,Land Rover,Range Rover,4.4 V8 Sv Lwb Awd Aut. 530,2023,,1.900 km,Gasolina,530 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-land+rover-range+rover-44-v8-sv-lwb-awd-aut-530-en-barcelona.htm?id=8023909,259900
5,Land Rover,Range Rover,5.0 V8 Autobiography Lwb Aut.,2015,,75.000 km,Gasolina,510 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover-50-v8-autobiography-lwb-aut-en-lleida.htm?id=7898114,65000
6,Land Rover,Range Rover,4.4d Sdv8 Vogue 4wd Aut.,2019,04,120.718 km,Diesel,339 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover-44d-sdv8-vogue-4wd-aut-en-sevilla.htm?id=7883488,75900
7,Land Rover,Range Rover,2.0 I4 Phev Vogue 4wd Aut.,2019,12,76.874 km,Híbrido,404 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover-20-i4-phev-vogue-4wd-aut-en-madrid.htm?id=7789968,72990
8,Land Rover,Range Rover,5.0 V8 Autobiography Lwb Aut.,2017,04,82.000 km,Gasolina,510 CV,automática secuencial,5 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover-50-v8-autobiography-lwb-aut-en-malaga.htm?id=8065214,79990
9,Land Rover,Range Rover,4.4tdv8 Vogue Silver Pack Aut.,2011,,231.000 km,Diesel,313 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover-44tdv8-vogue-silver-pack-aut-en-salamanca.htm?id=8083725,22900
10,Land Rover,Range Rover,3.0 Si6 Phev Hse Lwb Awd Aut. 440,2023,10,NUEVO,Híbrido,440 CV,automática secuencial,5 puertas,SILICON SILVER,Profesional,https://www.coches.com/km0/seminuevo-land+rover-range+rover-30-si6-phev-hse-lwb-awd-aut-440-en-girona.htm?id=8056125,176735
11,Land Rover,Range Rover,3.0tdv6 Hse Aut.,2018,06,50.000 km,Diesel,258 CV,automática secuencial,5 puertas,NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover-30tdv6-hse-aut-en-madrid.htm?id=7967942,63890
12,Land Rover,Range Rover,3.0d I6 Mhev Autobiography Swb Awd Aut. 350,2023,,NUEVO,Diesel,350 CV,automática secuencial,5 puertas,marrón,Profesional,https://www.coches.com/km0/seminuevo-land+rover-range+rover-30d-i6-mhev-autobiography-swb-awd-aut-350-en-madrid.htm?id=8033630,193190
