,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Lexus,Rx,450h Business,2021,,27.814 km,Híbrido,313 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-business-en-valencia.htm?id=8022221,52950
1,Lexus,Rx,450h+ Executive,2023,,12.932 km,Híbrido,306 CV,automática continua,5 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h+-executive-en-valencia.htm?id=8082371,78995
2,Lexus,Rx,450h Luxury,2010,10,243.000 km,Híbrido,299 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-luxury-en-barcelona.htm?id=7896039,14999
3,Lexus,Rx,350h Executive,2023,,7.863 km,Híbrido,245 CV,automática continua,5 puertas,verde,Profesional,https://www.coches.com/km0/seminuevo-lexus-rx-350h-executive-en-valencia.htm?id=8098100,68500
4,Lexus,Rx,450h Executive Tecno,2018,,59.777 km,Híbrido,313 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-executive-tecno-en-madrid.htm?id=8042352,40490
5,Lexus,Rx,450h Luxury,2009,07,223.444 km,Híbrido,299 CV,automática continua,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-luxury-en-sevilla.htm?id=8026207,13890
6,Lexus,Rx,450h Luxury,2011,03,159.999 km,Híbrido,299 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-luxury-en-barcelona.htm?id=7925947,17999
7,Lexus,Rx,450h Corporate,2017,,79.000 km,Híbrido,313 CV,automática continua,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-corporate-en-palencia.htm?id=7845399,38475
8,Lexus,Rx,450h Executive,2021,,68.901 km,Híbrido,313 CV,automática continua,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-executive-en-valencia.htm?id=8106717,62499
9,Lexus,Rx,450h Executive Tecno,2016,,146.631 km,Híbrido,313 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-executive-tecno-en-valencia.htm?id=8098255,37995
10,Lexus,Rx,450h Executive Tecno,2018,,101.000 km,Híbrido,313 CV,automática continua,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-executive-tecno-en-madrid.htm?id=8087815,39500
11,Lexus,Rx,450h L Luxury,2018,,108.568 km,Híbrido,313 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-l-luxury-en-valencia.htm?id=8073516,39250
12,Lexus,Rx,400h President,2010,02,189.999 km,Híbrido,272 CV,automática continua,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-400h-president-en-barcelona.htm?id=8059175,12999
13,Lexus,Rx,450h President,2012,,198.900 km,Híbrido,299 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-president-en-sevilla.htm?id=8056542,16500
14,Lexus,Rx,450h F Sport,2013,06,89.000 km,Híbrido,299 CV,automática continua,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-f-sport-en-barcelona.htm?id=7944953,24999
15,Lexus,Rx,450h+ Business,2022,,21.900 km,Híbrido,306 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h+-business-en-madrid.htm?id=8047205,49900
16,Lexus,Rx,450h L Executive Tecno,2018,05,106.731 km,Híbrido,313 CV,automática continua,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-l-executive-tecno-en-madrid.htm?id=8041445,46500
17,Lexus,Rx,450h F Sport,2019,06,97.000 km,Híbrido,313 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-f-sport-en-madrid.htm?id=8016413,43990
18,Lexus,Rx,450h Executive,2020,05,76.000 km,Híbrido,313 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-executive-en-madrid.htm?id=7957173,49990
19,Lexus,Rx,450h+ Executive,2023,01,400 km,Híbrido,306 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-lexus-rx-450h+-executive-en-zaragoza.htm?id=7949897,84350
20,Lexus,Rx,450h L Executive,2019,,67.717 km,Híbrido,313 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-l-executive-en-barcelona.htm?id=7845207,51900
21,Lexus,Rx,450h F Sport,2019,,72.314 km,Híbrido,313 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-f-sport-en-barcelona.htm?id=7845202,55900
22,Lexus,Rx,450h Executive,2021,,27.000 km,Híbrido,313 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-executive-en-barcelona.htm?id=7845190,65900
