,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mg,4,,2023,08,6.560 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,DOVER WHITE,Profesional,https://www.coches.com/km0/seminuevo-mg-4--en-barcelona.htm?id=8085216,34900
1,Mg,4,,2023,01,19.630 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,WHITE AND BLACK,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-4--en-barcelona.htm?id=8081894,33300
2,Mg,4,,2023,,100 km,Eléctrico,204 CV,automática,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-luxury-en-burgos.htm?id=8023762,36790
3,Mg,4,,2023,,100 km,Eléctrico,204 CV,automática,5 puertas,naranja,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-luxury-en-burgos.htm?id=8023760,35790
4,Mg,4,,2023,,100 km,Eléctrico,204 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-comfort-en-burgos.htm?id=8023758,34690
5,Mg,4,,2023,,100 km,Eléctrico,204 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-luxury-en-burgos.htm?id=8023739,35500
6,Mg,4,,2023,,100 km,Eléctrico,435 CV,automática,5 puertas,verde,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-xpower-en-burgos.htm?id=8023737,40990
7,Mg,4,,2023,04,7.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-luxury-en-malaga.htm?id=7972014,31300
8,Mg,4,,2023,08,3.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-luxury-en-malaga.htm?id=7972011,33900
9,Mg,4,,2023,12,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-luxury-en-ourense.htm?id=7928402,35730
10,Mg,4,,2023,12,NUEVO,Eléctrico,170 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-standard-en-ourense.htm?id=7889787,29620
11,Mg,4,,2023,05,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-luxury-en-huelva.htm?id=8095470,37750
12,Mg,4,,2023,05,4.934 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-mg-4--en-madrid.htm?id=8106683,31500
13,Mg,4,,2023,10,10 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-comfort-en-tenerife.htm?id=8094599,21900
14,Mg,4,,2023,10,50 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-luxury-en-tenerife.htm?id=8093131,25900
15,Mg,4,,2024,01,NUEVO,Eléctrico,435 CV,"directo, sin caja de cambios",5 puertas,HUNTER GREEN-PHANTOM BLAK,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-xpower-en-jaen.htm?id=8074360,41980
16,Mg,4,,2023,01,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-luxury-en-cantabria.htm?id=8056062,36170
17,Mg,4,,2024,01,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-comfort-en-cantabria.htm?id=8056060,33770
18,Mg,4,,2024,01,NUEVO,Eléctrico,435 CV,"directo, sin caja de cambios",5 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-xpower-en-cantabria.htm?id=8008149,42020
19,Mg,4,,2023,02,7.859 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-luxury-en-sevilla.htm?id=7999633,30990
20,Mg,4,,2023,10,5.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,White&Black,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-luxury-en-jaen.htm?id=7978152,34990
21,Mg,4,,2024,01,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-luxury-en-valladolid.htm?id=7956489,41130
22,Mg,4,,2024,01,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-luxury-en-valladolid.htm?id=7952268,34630
23,Mg,4,,2024,01,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-luxury-en-valladolid.htm?id=7952262,35280
24,Mg,4,,2024,01,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-luxury-en-valladolid.htm?id=7952257,34630
25,Mg,4,,2024,01,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-comfort-en-valladolid.htm?id=7952256,34880
26,Mg,4,,2024,01,NUEVO,Eléctrico,170 CV,"directo, sin caja de cambios",5 puertas,Naranja,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-standard-en-valladolid.htm?id=7952255,29330
27,Mg,4,,2022,11,17.562 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-4-mg-luxury-en-tenerife.htm?id=7911129,27900
28,Mg,4,,2023,04,30 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mg-4-mg-luxury-en-malaga.htm?id=7870994,31956
