,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Maserati,Levante,430 S Aut.,2016,,127.278 km,Gasolina,430 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-s-aut-en-granada.htm?id=8100005,51000
1,Maserati,Levante,430 S Aut.,2016,01,96.000 km,Gasolina,430 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-s-aut-en-barcelona.htm?id=8066014,44990
2,Maserati,Levante,430 S Aut.,2019,,83.000 km,Gasolina,430 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-s-aut-en-madrid.htm?id=8061548,82990
3,Maserati,Levante,430 Gransport S Aut.,2017,,128.000 km,Gasolina,430 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-gransport-s-aut-en-alava.htm?id=8012340,62500
4,Maserati,Levante,430 S Aut.,2017,,85.000 km,Gasolina,430 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-s-aut-en-valencia.htm?id=7948120,58900
5,Maserati,Levante,430 S Aut.,2017,,86.000 km,Gasolina,430 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-s-aut-en-madrid.htm?id=7686917,64900
6,Maserati,Ghibli,Gransport S Q4 Aut. 430,2018,,83.350 km,Gasolina,430 CV,automática secuencial,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-gransport-s-q4-aut-430-en-caceres.htm?id=7816590,38790
7,Maserati,Levante,430 Gransport S Aut.,2018,,92.329 km,Gasolina,430 CV,automática secuencial,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-gransport-s-aut-en-cadiz.htm?id=7752408,68000
8,Maserati,Quattroporte,S Granlusso Aut. 430,2020,,60.000 km,Gasolina,430 CV,automática secuencial,4 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-quattroporte-s-granlusso-aut-430-en-madrid.htm?id=7611807,72000
9,Maserati,Ghibli,Gransport S Aut. 430,2021,04,45.899 km,Gasolina,430 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-gransport-s-aut-430-en-malaga.htm?id=8125795,74352
10,Maserati,Levante,430 Gransport S Aut.,2020,11,37.147 km,Gasolina,430 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-gransport-s-aut-en-malaga.htm?id=8118280,82782
11,Maserati,Levante,430 S Aut.,2016,09,69.000 km,Gasolina,430 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-s-aut-en-madrid.htm?id=8103789,49999
12,Maserati,Ghibli,Gransport S Aut. 430,2018,08,20.000 km,Gasolina,430 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-gransport-s-aut-430-en-murcia.htm?id=7973986,69900
13,Maserati,Ghibli,Gransport S Aut. 430,2022,07,11.544 km,Gasolina,430 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-gransport-s-aut-430-en-malaga.htm?id=7867458,82000
