,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Maserati,Ghibli,Gransport Aut. 350,2020,,27.000 km,Gasolina,350 CV,automática secuencial,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-gransport-aut-350-en-huelva.htm?id=7862264,79000
1,Maserati,Ghibli,S Q4 Aut.,2015,,133.000 km,Gasolina,410 CV,automática secuencial,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-s-q4-aut-en-sevilla.htm?id=8061601,39990
2,Maserati,Ghibli,Diesel Aut. 275,2019,06,64.134 km,Diesel,275 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-diesel-aut-275-en-sevilla.htm?id=7758951,56995
3,Maserati,Ghibli,Diesel Gransport Aut. 275,2018,06,194.956 km,Diesel,275 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-diesel-gransport-aut-275-en-madrid.htm?id=8044849,37990
4,Maserati,Ghibli,Diesel Aut. 275,2014,,120.000 km,Diesel,275 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-diesel-aut-275-en-barcelona.htm?id=7913352,31900
5,Maserati,Ghibli,Diesel Aut. 275,2016,,76.000 km,Diesel,275 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-diesel-aut-275-en-valencia.htm?id=7687479,38900
6,Maserati,Ghibli,Diesel Aut. 275,2015,,9.000 km,Diesel,275 CV,automática secuencial,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-diesel-aut-275-en-barcelona.htm?id=6839353,53000
7,Maserati,Ghibli,Gransport S Q4 Aut. 430,2018,,83.350 km,Gasolina,430 CV,automática secuencial,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-gransport-s-q4-aut-430-en-caceres.htm?id=7816590,38790
8,Maserati,Ghibli,Gransport S Aut. 430,2021,04,45.899 km,Gasolina,430 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-gransport-s-aut-430-en-malaga.htm?id=8125795,74352
9,Maserati,Ghibli,Diesel Aut. 275,2018,,148.000 km,Diesel,275 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-diesel-aut-275-en-badajoz.htm?id=8067813,34999
10,Maserati,Ghibli,S Q4 Aut.,2016,08,89.418 km,Gasolina,410 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-s-q4-aut-en-madrid.htm?id=8065766,44450
11,Maserati,Ghibli,Diesel Gransport Aut. 275,2018,04,127.875 km,Diesel,275 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-diesel-gransport-aut-275-en-madrid.htm?id=8044866,42290
12,Maserati,Ghibli,Gransport S Aut. 430,2018,08,20.000 km,Gasolina,430 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-gransport-s-aut-430-en-murcia.htm?id=7973986,69900
13,Maserati,Ghibli,S Aut.,2014,02,80.000 km,Gasolina,410 CV,automática secuencial,4 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-s-aut-en-madrid.htm?id=7971097,40990
14,Maserati,Ghibli,Gransport S Aut. 430,2022,07,11.544 km,Gasolina,430 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-gransport-s-aut-430-en-malaga.htm?id=7867458,82000
15,Maserati,Ghibli,S Q4 Aut.,2017,10,36.000 km,Gasolina,410 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-s-q4-aut-en-madrid.htm?id=7765439,73900
