,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Maserati,Levante,350 Gransport Aut.,2022,01,18.536 km,Gasolina,350 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-350-gransport-aut-en-madrid.htm?id=8068162,72990
1,Maserati,Ghibli,Gransport Aut. 350,2020,,27.000 km,Gasolina,350 CV,automática secuencial,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-gransport-aut-350-en-huelva.htm?id=7862264,79000
2,Maserati,Levante,350 Gransport Aut.,2019,01,30.052 km,Gasolina,350 CV,automática secuencial,5 puertas,GRIS,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-350-gransport-aut-en-illes+balears.htm?id=8059412,74900
3,Maserati,Levante,Diesel Gransport Aut.,2017,,106.000 km,Diesel,275 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-diesel-gransport-aut-en-sevilla.htm?id=8123778,46990
4,Maserati,Ghibli,Diesel Gransport Aut. 275,2018,06,194.956 km,Diesel,275 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-diesel-gransport-aut-275-en-madrid.htm?id=8044849,37990
5,Maserati,Levante,430 Gransport S Aut.,2017,,128.000 km,Gasolina,430 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-gransport-s-aut-en-alava.htm?id=8012340,62500
6,Maserati,Levante,350 Modena Aut.,2021,,25.000 km,Gasolina,350 CV,automática secuencial,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-350-modena-aut-en-alicante.htm?id=8077184,135000
7,Maserati,Ghibli,Gransport S Q4 Aut. 430,2018,,83.350 km,Gasolina,430 CV,automática secuencial,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-gransport-s-q4-aut-430-en-caceres.htm?id=7816590,38790
8,Maserati,Levante,350 Gransport Aut.,2018,,59.000 km,Gasolina,350 CV,automática secuencial,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-350-gransport-aut-en-malaga.htm?id=7758175,65500
9,Maserati,Levante,430 Gransport S Aut.,2018,,92.329 km,Gasolina,430 CV,automática secuencial,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-gransport-s-aut-en-cadiz.htm?id=7752408,68000
10,Maserati,Levante,Diesel Gransport Aut.,2018,,47.000 km,Diesel,275 CV,automática secuencial,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-diesel-gransport-aut-en-rioja+la.htm?id=7872941,55000
11,Maserati,Ghibli,Gransport S Aut. 430,2021,04,45.899 km,Gasolina,430 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-gransport-s-aut-430-en-malaga.htm?id=8125795,74352
12,Maserati,Levante,275 Diesel Gransport Aut.,2019,07,120.750 km,Diesel,275 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-275-diesel-gransport-aut-en-jaen.htm?id=8123523,53500
13,Maserati,Levante,430 Gransport S Aut.,2020,11,37.147 km,Gasolina,430 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-gransport-s-aut-en-malaga.htm?id=8118280,82782
14,Maserati,Levante,350 Gransport Aut.,2021,01,22.000 km,Gasolina,350 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-350-gransport-aut-en-malaga.htm?id=8099138,81900
15,Maserati,Ghibli,Diesel Gransport Aut. 275,2018,04,127.875 km,Diesel,275 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-diesel-gransport-aut-275-en-madrid.htm?id=8044866,42290
16,Maserati,Levante,350 Gransport Aut.,2019,07,23.704 km,Gasolina,350 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-350-gransport-aut-en-barcelona.htm?id=7983964,67800
17,Maserati,Ghibli,Gransport S Aut. 430,2018,08,20.000 km,Gasolina,430 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-gransport-s-aut-430-en-murcia.htm?id=7973986,69900
18,Maserati,Levante,350 Gransport Aut.,2019,01,64.538 km,Gasolina,350 CV,automática secuencial,5 puertas,GRIS ,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-350-gransport-aut-en-madrid.htm?id=7969405,61500
19,Maserati,Ghibli,Gransport S Aut. 430,2022,07,11.544 km,Gasolina,430 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-ghibli-gransport-s-aut-430-en-malaga.htm?id=7867458,82000
