,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Maserati,Levante,350 Gransport Aut.,2022,01,18.536 km,Gasolina,350 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-350-gransport-aut-en-madrid.htm?id=8068162,72990
1,Maserati,Levante,330 Gt Aut.,2022,,17.000 km,Híbrido,330 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-330-gt-aut-en-barcelona.htm?id=8098294,79900
2,Maserati,Levante,Diesel Aut.,2018,,215.000 km,Diesel,275 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-diesel-aut-en-sevilla.htm?id=8125687,36990
3,Maserati,Levante,350 Gransport Aut.,2019,01,30.052 km,Gasolina,350 CV,automática secuencial,5 puertas,GRIS,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-350-gransport-aut-en-illes+balears.htm?id=8059412,74900
4,Maserati,Levante,Diesel Gransport Aut.,2017,,106.000 km,Diesel,275 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-diesel-gransport-aut-en-sevilla.htm?id=8123778,46990
5,Maserati,Levante,430 S Aut.,2016,,127.278 km,Gasolina,430 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-s-aut-en-granada.htm?id=8100005,51000
6,Maserati,Levante,430 S Aut.,2016,01,96.000 km,Gasolina,430 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-s-aut-en-barcelona.htm?id=8066014,44990
7,Maserati,Levante,430 S Aut.,2019,,83.000 km,Gasolina,430 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-s-aut-en-madrid.htm?id=8061548,82990
8,Maserati,Levante,Diesel Aut.,2017,,194.000 km,Diesel,275 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-diesel-aut-en-madrid.htm?id=7135429,38990
9,Maserati,Levante,430 Gransport S Aut.,2017,,128.000 km,Gasolina,430 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-gransport-s-aut-en-alava.htm?id=8012340,62500
10,Maserati,Levante,Diesel Aut.,2017,,70.000 km,Diesel,275 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-diesel-aut-en-barcelona.htm?id=7993119,49900
11,Maserati,Levante,430 S Aut.,2017,,85.000 km,Gasolina,430 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-s-aut-en-valencia.htm?id=7948120,58900
12,Maserati,Levante,350 Modena Aut.,2021,,25.000 km,Gasolina,350 CV,automática secuencial,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-350-modena-aut-en-alicante.htm?id=8077184,135000
13,Maserati,Levante,430 S Aut.,2017,,86.000 km,Gasolina,430 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-s-aut-en-madrid.htm?id=7686917,64900
14,Maserati,Levante,350 Gransport Aut.,2018,,59.000 km,Gasolina,350 CV,automática secuencial,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-350-gransport-aut-en-malaga.htm?id=7758175,65500
15,Maserati,Levante,430 Gransport S Aut.,2018,,92.329 km,Gasolina,430 CV,automática secuencial,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-gransport-s-aut-en-cadiz.htm?id=7752408,68000
16,Maserati,Levante,Diesel Aut.,2018,,34.000 km,Diesel,275 CV,automática secuencial,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-diesel-aut-en-malaga.htm?id=7743509,65000
17,Maserati,Levante,Diesel Gransport Aut.,2018,,47.000 km,Diesel,275 CV,automática secuencial,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-diesel-gransport-aut-en-rioja+la.htm?id=7872941,55000
18,Maserati,Levante,275 Diesel Gransport Aut.,2019,07,120.750 km,Diesel,275 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-275-diesel-gransport-aut-en-jaen.htm?id=8123523,53500
19,Maserati,Levante,430 Gransport S Aut.,2020,11,37.147 km,Gasolina,430 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-gransport-s-aut-en-malaga.htm?id=8118280,82782
20,Maserati,Levante,430 S Aut.,2016,09,69.000 km,Gasolina,430 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-430-s-aut-en-madrid.htm?id=8103789,49999
21,Maserati,Levante,350 Gransport Aut.,2021,01,22.000 km,Gasolina,350 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-levante-350-gransport-aut-en-malaga.htm?id=8099138,81900
22,Maserati,Levante,350 Modena Aut.,2023,02,2.000 km,Gasolina,350 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-maserati-levante-350-modena-aut-en-malaga.htm?id=8085137,102000
