,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mazda,Cx-5,2.0 E-skyactiv-g Mhev Center-line Plus 2wd 121kw,2023,,NUEVO,Gasolina,165 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-mazda-cx-5-20-e-skyactiv-g-mhev-center-line-plus-2wd-121kw-en-madrid.htm?id=7897930,33300
1,Mazda,Cx-5,2.0 Skyactiv-g Origin 2wd Aut. 121kw,2023,,11.000 km,Gasolina,165 CV,"directo, sin caja de cambios",5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-cx-5-20-skyactiv-g-origin-2wd-aut-121kw-en-ciudad+real.htm?id=8091660,29900
2,Mazda,Cx-5,2.5 Skyactiv-g Evolution Design 2wd Aut.,2019,,45.946 km,Gasolina,194 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-cx-5-25-skyactiv-g-evolution-design-2wd-aut-en-tenerife.htm?id=8079140,23750
3,Mazda,Cx-5,2.0 E-skyactiv-g Mhev Advantage 2wd 121kw,2023,,5.200 km,Gasolina,165 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-mazda-cx-5-20-e-skyactiv-g-mhev-advantage-2wd-121kw-en-madrid.htm?id=8087835,31500
4,Mazda,Cx-5,2.2de Style + Navegador 2wd,2015,06,119.999 km,Diesel,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-cx-5-22de-style-+-navegador-2wd-en-barcelona.htm?id=8056991,13999
5,Mazda,Cx-5,2.2de Luxury P.safety+ts+nav.4wd 175aut.,2013,08,179.999 km,Diesel,175 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-cx-5-22de-luxury-psafety+ts+nav4wd-175aut-en-barcelona.htm?id=8003159,12499
6,Mazda,Cx-5,2.0 Skyactiv-g Evolution 2wd Aut. 121kw,2019,,89.000 km,Gasolina,165 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-cx-5-20-skyactiv-g-evolution-2wd-aut-121kw-en-madrid.htm?id=8112552,20800
7,Mazda,Cx-5,2.2de Style (navi) 2wd 150,2016,,126.500 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-cx-5-22de-style-navi-2wd-150-en-malaga.htm?id=8095782,15499
8,Mazda,Cx-5,2.0 Skyactiv-g Zenith 2wd 121kw,2023,,19.200 km,Gasolina,165 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-cx-5-20-skyactiv-g-zenith-2wd-121kw-en-ciudad+real.htm?id=8091665,30900
9,Mazda,Cx-5,2.0 Skyactiv-g Evolution 2wd 121kw,2018,03,72.200 km,Gasolina,165 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-cx-5-20-skyactiv-g-evolution-2wd-121kw-en-toledo.htm?id=8085565,19899
