,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mazda,Mx-30,E-skyactiv Makoto Premium Sunroof Modern Confidence,2022,01,10.700 km,Eléctrico,145 CV,"directo, sin caja de cambios",5 puertas,GRIS,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mx-30-e-skyactiv-makoto-premium-sunroof-modern-confidence-en-vizcaya.htm?id=8023568,25990
1,Mazda,Mx-30,E-skyactiv Exclusive-line 105kw,2021,09,16.751 km,Eléctrico,145 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mx-30-e-skyactiv-exclusive-line-105kw-en-madrid.htm?id=7967144,21850
2,Mazda,Mx-30,E-skyactiv 1st Edition Vintage 105kw,2021,,12.000 km,Eléctrico,143 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mx-30-e-skyactiv-1st-edition-vintage-105kw-en-madrid.htm?id=7371389,26200
3,Mazda,Mx-30,E-skyactiv Advantage Modern Confidence 105kw,2023,12,NUEVO,Eléctrico,143 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mazda-mx-30-e-skyactiv-advantage-modern-confidence-105kw-en-coruna+a.htm?id=7934099,34833
4,Mazda,Mx-30,E-skyactiv Advantage Modern Confidence 105kw,2023,12,NUEVO,Eléctrico,143 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mazda-mx-30-e-skyactiv-advantage-modern-confidence-105kw-en-asturias.htm?id=7934051,34833
5,Mazda,Mx-30,E-skyactiv Evolution Modern 105kw,2020,09,4.251 km,Eléctrico,143 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mx-30-e-skyactiv-evolution-modern-105kw-en-palmas+las.htm?id=8098977,30500
6,Mazda,Mx-30,E-skyactiv Evolution Modern 105kw,2020,10,2.142 km,Eléctrico,143 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mx-30-e-skyactiv-evolution-modern-105kw-en-palmas+las.htm?id=8098976,30500
7,Mazda,Mx-30,E-skyactiv Origin 105kw,2021,,8.700 km,Eléctrico,143 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mx-30-e-skyactiv-origin-105kw-en-madrid.htm?id=7371445,25800
8,Mazda,Mx-30,E-skyactiv Makoto Urban Expression 105kw,2023,,9.300 km,Eléctrico,145 CV,"directo, sin caja de cambios",5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mx-30-e-skyactiv-makoto-urban-expression-105kw-en-barcelona.htm?id=8050819,35000
9,Mazda,Mx-30,E-skyactiv Origin 105kw,2021,06,29.999 km,Eléctrico,143 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mx-30-e-skyactiv-origin-105kw-en-madrid.htm?id=8121951,20850
