,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mazda,Mazda2,Hybrid 1.5 Agile Comfort Cvt 85kw,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-mazda-mazda2-hybrid-15-agile-comfort-cvt-85kw-en-madrid.htm?id=7897832,26550
1,Mazda,Mazda2,1.5 Luxury (navi) 66kw,2016,,56.000 km,Gasolina,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda2-15-luxury-navi-66kw-en-palmas+las.htm?id=8110884,11495
2,Mazda,Mazda2,1.5 E-skyactiv G Exclusive-line 66kw,2023,01,NUEVO,Gasolina,90 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-mazda-mazda2-15-e-skyactiv-g-exclusive-line-66kw-en-alava.htm?id=8059944,21850
3,Mazda,Mazda2,1.5 Skyactiv-g Black Tech Edition 66kw,2019,,75.000 km,Gasolina,90 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda2-15-skyactiv-g-black-tech-edition-66kw-en-madrid.htm?id=8128017,13700
4,Mazda,Mazda2,1.5 Skyactiv-g Black Tech Edition 66kw,2020,,47.422 km,Gasolina,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda2-15-skyactiv-g-black-tech-edition-66kw-en-madrid.htm?id=8122356,15900
5,Mazda,Mazda2,1.5 E-skyactiv G Homura Aka 66kw,2023,01,4.200 km,Gasolina,90 CV,manual,5 puertas,SNOWFLAKE WHITE PEARL,Profesional,https://www.coches.com/km0/seminuevo-mazda-mazda2-15-e-skyactiv-g-homura-aka-66kw-en-vizcaya.htm?id=8112242,21890
6,Mazda,Mazda2,1.3 Sakura,2014,12,76.456 km,Gasolina,75 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda2-13-sakura-en-toledo.htm?id=8105268,9199
7,Mazda,Mazda2,1.5 Style+ At,2012,,54.000 km,Gasolina,102 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda2-15-style+-at-en-alicante.htm?id=8100995,12990
8,Mazda,Mazda2,1.5 E-skyactiv-g Homura Pantalla 7´´ 66kw,2022,06,12.582 km,Gasolina,90 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda2-15-e-skyactiv-g-homura-pantalla-7-66kw-en-alicante.htm?id=8081962,19700
9,Mazda,Mazda2,Hybrid 1.5 Agile Cvt 85kw,2023,,4.400 km,Híbrido,116 CV,automática continua,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-mazda-mazda2-hybrid-15-agile-cvt-85kw-en-alicante.htm?id=8079253,24990
