,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Clase Cla,Cla 200cdi Amg Line,2014,01,184.000 km,Diesel,136 CV,manual,4 puertas,ROJO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200cdi-amg-line-en-vizcaya.htm?id=8104474,17900
1,Mercedes,Clase Cla,Cla 200 7g-dct,2019,07,76.000 km,Gasolina,156 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200-7g-dct-en-murcia.htm?id=8091003,31890
2,Mercedes,Clase S,S 500 Aut.,2005,12,170.213 km,Gasolina,388 CV,automática,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+s-s-500-aut-en-jaen.htm?id=8043558,12900
3,Mercedes,Sprinter,Chasis Cabina 311cdi Compacto Td,2021,09,107.003 km,Diesel,114 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-chasis-cabina-311cdi-compacto-td-en-sevilla.htm?id=7990351,28900
4,Mercedes,Clase Sl,Sl 600,1994,06,280.000 km,Gasolina,394 CV,automática,2 puertas,,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-600-en-malaga.htm?id=6971639,19800
5,Mercedes,Clase B,B 250e 8g-dct,2020,,39.500 km,Híbrido,218 CV,automática secuencial,5 puertas,plateado,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+b-b-250e-8g-dct-en-pontevedra.htm?id=7903524,39000
6,Mercedes,Clase S,S 600 Largo,2000,,270 km,Gasolina,367 CV,automática,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+s-s-600-largo-en-girona.htm?id=8012653,20000
7,Mercedes,Clase A,A 180d 7g-dct,2018,08,86.000 km,Diesel,116 CV,automática secuencial,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-7g-dct-en-madrid.htm?id=8122458,20850
8,Mercedes,Clase Glc,Glc 350e 4matic,2018,05,107.000 km,Híbrido,319 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glc-glc-350e-4matic-en-madrid.htm?id=8121932,33850
9,Mercedes,Clase B,B 180d 7g-dct,2019,07,141.000 km,Diesel,116 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+b-b-180d-7g-dct-en-murcia.htm?id=8120341,21890
10,Mercedes,Clase A,A 180d 7g-dct,2019,10,33.000 km,Diesel,116 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-7g-dct-en-palmas+las.htm?id=8117188,29990
11,Mercedes,Clase Gls,Mercedes-maybach Gls 600 4matic,2023,12,43 km,Gasolina,557 CV,automática secuencial,5 puertas,Negro Obsidiana,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+gls-mercedes-maybach-gls-600-4matic-en-asturias.htm?id=8114892,240345
12,Mercedes,Clase Gla,Gla 180 Style,2017,06,123.561 km,Gasolina,122 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gla-gla-180-style-en-madrid.htm?id=8097228,26500
13,Mercedes,Clase A,A 180d,2020,06,108.000 km,Diesel,116 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-en-madrid.htm?id=8088870,21450
14,Mercedes,Clase C,C 220cdi Avantgarde,2008,03,335.000 km,Diesel,170 CV,manual,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-220cdi-avantgarde-en-madrid.htm?id=8087336,5750
15,Mercedes,Clase A,A 180d 7g-dct,2019,03,97.000 km,Diesel,116 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-7g-dct-en-madrid.htm?id=8084047,21450
16,Mercedes,Clase A,A 200 7g-dct,2019,01,33.000 km,Gasolina,163 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200-7g-dct-en-madrid.htm?id=8084033,22850
17,Mercedes,Clase C,C Estate 200d 9g-tronic,2019,01,120.000 km,Diesel,160 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-estate-200d-9g-tronic-en-madrid.htm?id=8081756,20950
18,Mercedes,Clase Cla,Cla 200 7g-dct,2020,01,60.000 km,Gasolina,156 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200-7g-dct-en-madrid.htm?id=8081755,28850
19,Mercedes,Clase A,A 180d 7g-dct,2019,01,116.000 km,Diesel,116 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-7g-dct-en-madrid.htm?id=8081754,20450
20,Mercedes,Clase A,A 180d 7g-dct,2019,01,118.000 km,Diesel,116 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-7g-dct-en-madrid.htm?id=8076350,20450
21,Mercedes,Clase Glc,Glc 350e 4matic,2018,01,71.000 km,Híbrido,319 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glc-glc-350e-4matic-en-madrid.htm?id=8075263,34850
22,Mercedes,Clase S,S 560 E Largo 9g-tronic,2019,10,22.000 km,Híbrido,476 CV,automática secuencial,4 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+s-s-560-e-largo-9g-tronic-en-palmas+las.htm?id=8040257,59990
23,Mercedes,Clase Gls,Mercedes-maybach Gls 600 4matic,2023,09,2 km,Gasolina,557 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+gls-mercedes-maybach-gls-600-4matic-en-madrid.htm?id=8037812,239000
24,Mercedes,Clase Cla,Cla 200 7g-dct,2020,01,67.000 km,Gasolina,163 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200-7g-dct-en-palmas+las.htm?id=8025985,37990
25,Mercedes,Citan,Tourer 109cdi Select,2017,10,85.000 km,Diesel,90 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-citan-tourer-109cdi-select-en-palmas+las.htm?id=7977539,14990
26,Mercedes,Clase A,A 180d,2019,05,85.000 km,Diesel,109 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-en-madrid.htm?id=7911092,21850
27,Mercedes,Clase Cla,Cla 200cdi Amg Line,2014,01,184.000 km,Diesel,136 CV,manual,4 puertas,ROJO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200cdi-amg-line-en-vizcaya.htm?id=8104474,17900
28,Mercedes,Clase Cla,Cla 200 7g-dct,2019,07,76.000 km,Gasolina,156 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200-7g-dct-en-murcia.htm?id=8091003,31890
29,Mercedes,Clase S,S 500 Aut.,2005,12,170.213 km,Gasolina,388 CV,automática,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+s-s-500-aut-en-jaen.htm?id=8043558,12900
