,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Amg Gt,Coupé 53 4matic+,2020,,46.000 km,Gasolina,435 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-amg+gt-coupe-53-4matic+-en-valencia.htm?id=8068383,129900
1,Mercedes,Amg Gt,Coupé 53 4matic+,2023,,9.000 km,Gasolina,435 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-amg+gt-coupe-53-4matic+-en-sevilla.htm?id=8000451,159990
2,Mercedes,Amg Gt,Coupé 462,2016,,60.000 km,Gasolina,462 CV,automática secuencial,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-amg+gt-coupe-462-en-salamanca.htm?id=8040516,84990
3,Mercedes,Amg Gt,Coupé 462,2016,,26.000 km,Gasolina,462 CV,automática secuencial,3 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-amg+gt-coupe-462-en-sevilla.htm?id=7967241,84900
4,Mercedes,Amg Gt,Coupé 462,2016,,59.999 km,Gasolina,462 CV,automática secuencial,3 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-amg+gt-coupe-462-en-barcelona.htm?id=7840586,89900
5,Mercedes,Amg Gt,Coupé C,2020,,10.100 km,Gasolina,557 CV,automática secuencial,3 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-amg+gt-coupe-c-en-barcelona.htm?id=7727886,195000
6,Mercedes,Amg Gt,Coupé 53 4matic+,2024,01,NUEVO,Gasolina,435 CV,automática secuencial,5 puertas,Blanco Polar,Profesional,https://www.coches.com/km0/seminuevo-mercedes-amg+gt-coupe-53-4matic+-en-barcelona.htm?id=7917527,173600
7,Mercedes,Amg Gt,Coupé 462,2015,01,88.969 km,Gasolina,462 CV,automática secuencial,3 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-amg+gt-coupe-462-en-madrid.htm?id=8114460,84990
8,Mercedes,Amg Gt,Coupé,2017,05,58.000 km,Gasolina,476 CV,automática secuencial,3 puertas,Gris-negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-amg+gt-coupe-en-alicante.htm?id=8074746,82999
9,Mercedes,Amg Gt,Coupé S 510,2015,07,83.900 km,Gasolina,510 CV,automática secuencial,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-amg+gt-coupe-s-510-en-alicante.htm?id=8038063,77900
10,Mercedes,Amg Gt,Coupé 63 4matic+,2019,06,35.505 km,Gasolina,585 CV,automática secuencial,5 puertas,NEGRO SATINADO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-amg+gt-coupe-63-4matic+-en-madrid.htm?id=8016114,139800
11,Mercedes,Amg Gt,Roadster C 557,2019,06,6.500 km,Gasolina,557 CV,automática secuencial,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-amg+gt-roadster-c-557-en-salamanca.htm?id=7939811,169900
12,Mercedes,Amg Gt,Coupé 63 4matic+,2019,03,53.428 km,Gasolina,585 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-amg+gt-coupe-63-4matic+-en-madrid.htm?id=7883019,120500
13,Mercedes,Amg Gt,Coupé 53 4matic+,2024,01,NUEVO,Gasolina,435 CV,automática secuencial,5 puertas,GRIS GRAFITO,Profesional,https://www.coches.com/km0/seminuevo-mercedes-amg+gt-coupe-53-4matic+-en-jaen.htm?id=7725368,184900
14,Mercedes,Amg Gt,Coupé 53 4matic+,2024,01,10 km,Gasolina,435 CV,automática secuencial,5 puertas,GRIS GRAFITO,Profesional,https://www.coches.com/km0/seminuevo-mercedes-amg+gt-coupe-53-4matic+-en-jaen.htm?id=7725298,184900
15,Mercedes,Amg Gt,Coupé 53 4matic+,2024,01,NUEVO,Gasolina,435 CV,automática secuencial,5 puertas,BLANCO DESIGNO,Profesional,https://www.coches.com/km0/seminuevo-mercedes-amg+gt-coupe-53-4matic+-en-cadiz.htm?id=6307431,169900
16,Mercedes,Amg Gt,Coupé 53 4matic+,2024,01,0 km,Gasolina,435 CV,automática secuencial,5 puertas,BLANCO DESIGNO,Profesional,https://www.coches.com/km0/seminuevo-mercedes-amg+gt-coupe-53-4matic+-en-cadiz.htm?id=6307035,169900
