,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Clase C,C Coupé 220d 9g-tronic (0.0),2013,10,136.240 km,Diesel,194 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-coupe-220d-9g-tronic-00-en-valencia.htm?id=8048422,14800
1,Mercedes,Clase C,C 220d 9g-tronic,2022,,20.000 km,Diesel,200 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-220d-9g-tronic-en-alicante.htm?id=7770001,44900
2,Mercedes,Clase C,C Estate 220d 4matic 9g-tronic,2022,,14.000 km,Diesel,200 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-estate-220d-4matic-9g-tronic-en-tarragona.htm?id=8005717,47900
3,Mercedes,Clase C,C 220d 9g-tronic,2021,11,27.220 km,Diesel,200 CV,automática secuencial,4 puertas,OBSIDIAN BLACK - METALLIC,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-220d-9g-tronic-en-valencia.htm?id=7372755,45500
4,Mercedes,Clase C,C 200 9g-tronic,2019,,77.000 km,Gasolina,184 CV,automática secuencial,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-200-9g-tronic-en-madrid.htm?id=8128730,31990
5,Mercedes,Clase C,C 220d 9g-tronic,2023,05,5.193 km,Diesel,200 CV,automática secuencial,4 puertas,Gris Selenita (metalizado),Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+c-c-220d-9g-tronic-en-madrid.htm?id=8065260,52990
6,Mercedes,Clase C,C 200cdi Be Avantgarde Aut.,2010,11,194.500 km,Diesel,136 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-200cdi-be-avantgarde-aut-en-badajoz.htm?id=7920662,11900
7,Mercedes,Clase C,C Estate 220d 9g-tronic,2022,02,84.500 km,Diesel,200 CV,automática secuencial,5 puertas,HIGH-TECH-SILBER METALLIC,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-estate-220d-9g-tronic-en-salamanca.htm?id=7841188,44900
8,Mercedes,Clase C,C Estate 220d 9g-tronic,2020,10,36.900 km,Diesel,194 CV,automática secuencial,5 puertas,Azul brillante metalizado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-estate-220d-9g-tronic-en-zamora.htm?id=7790622,38900
9,Mercedes,Clase C,C 220d 9g-tronic,2024,01,18 km,Diesel,200 CV,automática secuencial,4 puertas,GRIS GRAFITO,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+c-c-220d-9g-tronic-en-valladolid.htm?id=7761051,61532
10,Mercedes,Clase C,C Estate 220d 9g-tronic,2019,09,110.781 km,Diesel,194 CV,automática secuencial,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-estate-220d-9g-tronic-en-badajoz.htm?id=8057431,29900
11,Mercedes,Clase C,C Estate 200d 9g-tronic,2019,,131.000 km,Diesel,160 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-estate-200d-9g-tronic-en-lleida.htm?id=7895664,29900
12,Mercedes,Clase C,C 63 S Amg Speedshift Mct 9g Amg,2018,,20.000 km,Gasolina,510 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-63-s-amg-speedshift-mct-9g-amg-en-pontevedra.htm?id=8047274,94990
13,Mercedes,Clase C,C Estate 220d 9g-tronic,2018,,120.000 km,Diesel,194 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-estate-220d-9g-tronic-en-madrid.htm?id=8087824,21990
14,Mercedes,Clase C,C Coupé 63 Amg S 7g Plus,2017,,95.000 km,Gasolina,510 CV,automática secuencial,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-coupe-63-amg-s-7g-plus-en-madrid.htm?id=8072710,57500
15,Mercedes,Clase C,C 43 Amg 4matic 7g Plus,2017,01,35.000 km,Gasolina,367 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-43-amg-4matic-7g-plus-en-barcelona.htm?id=8034631,35999
16,Mercedes,Clase C,C Estate Amg 43 4matic 9g-tronic,2023,05,8.888 km,Gasolina,408 CV,automática secuencial,5 puertas,Gris Grafito (metalizado),Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+c-c-estate-amg-43-4matic-9g-tronic-en-madrid.htm?id=7983074,89990
17,Mercedes,Clase C,C 200cdi Be Classic,2011,,250.000 km,Diesel,136 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-200cdi-be-classic-en-madrid.htm?id=8125582,8250
18,Mercedes,Clase C,C Estate 220cdi Be Avantgarde,2012,,199.000 km,Diesel,170 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-estate-220cdi-be-avantgarde-en-sevilla.htm?id=8123627,9900
19,Mercedes,Clase C,C Sportcoupé 200cdi Sport Edition,2006,,191.000 km,Diesel,122 CV,automática,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-sportcoupe-200cdi-sport-edition-en-malaga.htm?id=8096784,5500
20,Mercedes,Clase C,C Estate 200d 9g-tronic,2019,,137.000 km,Diesel,160 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-estate-200d-9g-tronic-en-sevilla.htm?id=8092804,19990
21,Mercedes,Clase C,C 43 Amg 4matic Speedshift Tct 9g Amg,2019,,178.000 km,Gasolina,390 CV,automática secuencial,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-43-amg-4matic-speedshift-tct-9g-amg-en-salamanca.htm?id=8058170,43990
22,Mercedes,Clase C,C Estate 220d 9g-tronic,2019,,41.000 km,Diesel,194 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-estate-220d-9g-tronic-en-madrid.htm?id=7990325,28990
