,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Clase Cla,Cla 220d,2024,01,NUEVO,Diesel,190 CV,automática secuencial,4 puertas,Azul Híper,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+cla-cla-220d-en-barcelona.htm?id=7994013,56690
1,Mercedes,Clase Cla,Cla 200d,2021,,49.635 km,Diesel,150 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200d-en-madrid.htm?id=8050257,38990
2,Mercedes,Clase Cla,Cla 200d,2017,,117.000 km,Diesel,136 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200d-en-sevilla.htm?id=8123640,18900
3,Mercedes,Clase Cla,Cla 200d,2023,03,9.100 km,Diesel,150 CV,automática secuencial,4 puertas,Azul Denim (metalizada),Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+cla-cla-200d-en-madrid.htm?id=8006292,39990
4,Mercedes,Clase Cla,Cla Shooting Brake 250 4matic 7g-dct,2020,02,22.723 km,Gasolina,224 CV,automática secuencial,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-shooting-brake-250-4matic-7g-dct-en-sevilla.htm?id=7995165,37890
5,Mercedes,Clase Cla,Cla Shooting Brake 250 4matic 7g-dct,2020,02,22.723 km,Gasolina,224 CV,automática secuencial,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-shooting-brake-250-4matic-7g-dct-en-madrid.htm?id=7995123,37890
6,Mercedes,Clase Cla,Cla Shooting Brake 250 4matic 7g-dct,2020,02,22.723 km,Gasolina,224 CV,automática secuencial,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-shooting-brake-250-4matic-7g-dct-en-malaga.htm?id=7993680,37890
7,Mercedes,Clase Cla,Cla 45 S Amg 4matic+ 8g-dct,2020,07,77.198 km,Gasolina,422 CV,automática secuencial,4 puertas,Negro cosmos (metalizada),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-45-s-amg-4matic+-8g-dct-en-madrid.htm?id=7983903,64990
8,Mercedes,Clase Cla,Cla 200d Amg Line,2016,,73.264 km,Diesel,136 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200d-amg-line-en-cadiz.htm?id=8117112,20500
9,Mercedes,Clase Cla,Cla 200d,2022,12,17.884 km,Diesel,150 CV,automática secuencial,4 puertas,Blanco Polar (sólido),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200d-en-madrid.htm?id=8032699,36990
10,Mercedes,Clase Cla,Cla 180,2020,,53.138 km,Gasolina,136 CV,manual,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-180-en-madrid.htm?id=8020836,28490
11,Mercedes,Clase Cla,Cla 200d,2019,03,59.849 km,Diesel,150 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200d-en-vizcaya.htm?id=7905144,29900
12,Mercedes,Clase Cla,Cla 200d,2020,01,29.866 km,Diesel,150 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200d-en-sevilla.htm?id=8113127,34890
13,Mercedes,Clase Cla,Cla 200d,2020,01,29.866 km,Diesel,150 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200d-en-madrid.htm?id=8113078,34890
14,Mercedes,Clase Cla,Cla 200d,2020,01,29.866 km,Diesel,150 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200d-en-malaga.htm?id=8111766,34890
15,Mercedes,Clase Cla,Cla Shooting Brake 35 Amg Speedshift 4matic+ 8g-dct,2024,01,NUEVO,Gasolina,306 CV,automática secuencial,5 puertas,azul espectra,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+cla-cla-shooting-brake-35-amg-speedshift-4matic+-8g-dct-en-barcelona.htm?id=8089572,80000
16,Mercedes,Clase Cla,Cla Shooting Brake 35 Amg Speedshift 4matic+ 8g-dct,2024,01,0 km,Gasolina,306 CV,automática secuencial,5 puertas,azul espectra,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+cla-cla-shooting-brake-35-amg-speedshift-4matic+-8g-dct-en-barcelona.htm?id=8087059,80000
17,Mercedes,Clase Cla,Cla 250e 8g-dct,2023,03,4.476 km,Híbrido,218 CV,automática secuencial,4 puertas,Azul Denim (metalizada),Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+cla-cla-250e-8g-dct-en-madrid.htm?id=8049838,42990
18,Mercedes,Clase Cla,Cla 200 7g-dct,2018,,89.990 km,Gasolina,156 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200-7g-dct-en-huelva.htm?id=7907608,27800
19,Mercedes,Clase Cla,Cla Shooting Brake 220d 4matic 7g-dct,2018,,145.675 km,Diesel,170 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-shooting-brake-220d-4matic-7g-dct-en-madrid.htm?id=8087872,22990
20,Mercedes,Clase Cla,Cla Shooting Brake 220d 7g-dct,2018,01,92.291 km,Diesel,177 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-shooting-brake-220d-7g-dct-en-toledo.htm?id=8079604,24499
21,Mercedes,Clase Cla,Cla 180 7g-dct,2019,10,43.232 km,Gasolina,136 CV,automática secuencial,4 puertas,MOJAVESILVER - METALLICPA,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-180-7g-dct-en-asturias.htm?id=8059880,33500
22,Mercedes,Clase Cla,Cla 180 Urban 7g-dct,2014,,145.829 km,Gasolina,122 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-180-urban-7g-dct-en-huelva.htm?id=7991574,16900
23,Mercedes,Clase Cla,Cla 200d 7g-dct,2019,,116.000 km,Diesel,136 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200d-7g-dct-en-madrid.htm?id=7949051,23990
24,Mercedes,Clase Cla,Cla 200d,2021,,92.000 km,Diesel,150 CV,automática secuencial,4 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200d-en-sevilla.htm?id=8125771,36990
25,Mercedes,Clase Cla,Cla 200d 7g-dct,2018,,79.000 km,Diesel,136 CV,automática secuencial,4 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cla-cla-200d-7g-dct-en-madrid.htm?id=8120766,29950
