,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Clase Cle,Cle 220d 9g-dct,2024,01,0 km,Diesel,197 CV,automática secuencial,2 puertas,GRIS GRAFITO,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+cle-cle-220d-9g-dct-en-valencia.htm?id=8127167,79496
1,Mercedes,Clase Cle,Cle 220d 9g-dct,2024,01,NUEVO,Diesel,197 CV,automática secuencial,2 puertas,ROJO PATAGONIA,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+cle-cle-220d-9g-dct-en-lugo.htm?id=8126997,74500
2,Mercedes,Clase Cle,Cle 220d 9g-dct,2024,01,20 km,Diesel,197 CV,automática secuencial,2 puertas,ROJO PATAGONIA,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+cle-cle-220d-9g-dct-en-lugo.htm?id=8126691,74500
3,Mercedes,Clase Cle,Cle 200 9g-dct,2024,01,10 km,Gasolina,204 CV,automática secuencial,2 puertas,blanco polar,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+cle-cle-200-9g-dct-en-jaen.htm?id=8126035,63900
4,Mercedes,Clase Cle,Cle 200 9g-dct,2024,01,10 km,Gasolina,204 CV,automática secuencial,2 puertas,PLATA HIGH TECH,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+cle-cle-200-9g-dct-en-jaen.htm?id=8126032,65100
5,Mercedes,Clase Cle,Cle 200 9g-dct,2024,01,NUEVO,Gasolina,204 CV,automática secuencial,2 puertas,blanco polar,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+cle-cle-200-9g-dct-en-jaen.htm?id=8125915,63900
6,Mercedes,Clase Cle,Cle 200 9g-dct,2024,01,NUEVO,Gasolina,204 CV,automática secuencial,2 puertas,PLATA HIGH TECH,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+cle-cle-200-9g-dct-en-jaen.htm?id=8125913,65100
7,Mercedes,Clase Cle,Cle 220d 9g-dct,2023,12,NUEVO,Diesel,197 CV,automática secuencial,2 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+cle-cle-220d-9g-dct-en-madrid.htm?id=8120585,71675
8,Mercedes,Clase Cle,Cle 220d 9g-dct,2023,12,10 km,Diesel,197 CV,automática secuencial,2 puertas,Azul espectra,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+cle-cle-220d-9g-dct-en-zamora.htm?id=8120476,73787
9,Mercedes,Clase Cle,Cle 220d 9g-dct,2023,12,NUEVO,Diesel,197 CV,automática secuencial,2 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+cle-cle-220d-9g-dct-en-madrid.htm?id=8111448,64457
