,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Clase Clk,Clk 350 Aut.,2006,07,103.000 km,Gasolina,272 CV,automática secuencial,2 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-350-aut-en-barcelona.htm?id=8029448,11499
1,Mercedes,Clase Clk,Clk Cabrio 320 Elegance,2001,,147.000 km,Gasolina,218 CV,automática,2 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-cabrio-320-elegance-en-granada.htm?id=7694650,8300
2,Mercedes,Clase Clk,Clk 220cdi,2007,,190.000 km,Diesel,150 CV,automática,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-220cdi-en-valencia.htm?id=7661899,9900
3,Mercedes,Clase Clk,Clk Cabrio 200 K,2007,,140.000 km,Gasolina,163 CV,manual,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-cabrio-200-k-en-ciudad+real.htm?id=7404525,12990
4,Mercedes,Clase Clk,Clk Cabrio 200 K Elegance,2003,07,189.000 km,Gasolina,163 CV,manual,2 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-cabrio-200-k-elegance-en-valencia.htm?id=6403923,10500
5,Mercedes,Clase Clk,Clk 200 K,2004,,231.000 km,Gasolina,163 CV,automática,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-200-k-en-barcelona.htm?id=8002307,5490
6,Mercedes,Clase Clk,Clk 270 Cdi,2004,,188.000 km,Diesel,170 CV,automática,2 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-270-cdi-en-tarragona.htm?id=7970303,7500
7,Mercedes,Clase Clk,Clk 320cdi,2007,,320.000 km,Diesel,224 CV,automática,2 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-320cdi-en-barcelona.htm?id=7967267,4500
8,Mercedes,Clase Clk,Clk 220cdi Avantgarde,2008,,270.000 km,Diesel,150 CV,automática,2 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-220cdi-avantgarde-en-madrid.htm?id=7904588,6999
9,Mercedes,Clase Clk,Clk 200 K,2004,,212.000 km,Gasolina,163 CV,manual,2 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-200-k-en-almeria.htm?id=7520392,5500
10,Mercedes,Clase Clk,Clk Cabrio 500 Avantgarde Aut.,2008,,91.000 km,Gasolina,388 CV,automática secuencial,2 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-cabrio-500-avantgarde-aut-en-tarragona.htm?id=7738900,18000
11,Mercedes,Clase Clk,Clk 200 Elegance,2000,,79.200 km,Gasolina,136 CV,manual,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-200-elegance-en-alicante.htm?id=7621473,3700
12,Mercedes,Clase Clk,Clk 240,2002,,331.000 km,Gasolina,170 CV,automática,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-240-en-ourense.htm?id=7995017,5000
13,Mercedes,Clase Clk,Clk 270cdi,2005,,220.000 km,Diesel,170 CV,manual,2 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-270cdi-en-tenerife.htm?id=7712101,6500
14,Mercedes,Clase Clk,Clk Cabrio 200 Elegance,1998,,160.000 km,Gasolina,136 CV,manual,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-cabrio-200-elegance-en-barcelona.htm?id=7621977,7500
15,Mercedes,Clase Clk,Clk 230 K Avantgarde,2002,,218.234 km,Gasolina,197 CV,manual,2 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-230-k-avantgarde-en-cordoba.htm?id=7931087,3900
16,Mercedes,Clase Clk,Clk 200 K Avantgarde,2000,,91.100 km,Gasolina,163 CV,automática,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-200-k-avantgarde-en-malaga.htm?id=7668685,5995
17,Mercedes,Clase Clk,Clk 230 K Avantgarde,1999,,70.000 km,Gasolina,193 CV,automática,2 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-230-k-avantgarde-en-asturias.htm?id=7064424,4900
18,Mercedes,Clase Clk,Clk 200 Elegance,1999,,200.000 km,Gasolina,136 CV,manual,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-200-elegance-en-barcelona.htm?id=8053922,3000
19,Mercedes,Clase Clk,Clk 200 K,2005,,147.000 km,Gasolina,163 CV,manual,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-200-k-en-burgos.htm?id=8049548,6200
20,Mercedes,Clase Clk,Clk 220cdi Avantgarde,2008,,180.000 km,Diesel,150 CV,manual,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-220cdi-avantgarde-en-alicante.htm?id=8000994,5800
21,Mercedes,Clase Clk,Clk 200 K,2004,,221.355 km,Gasolina,163 CV,manual,2 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-200-k-en-castellon.htm?id=7923972,3000
22,Mercedes,Clase Clk,Clk 200 K,2007,,212.000 km,Gasolina,163 CV,manual,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-200-k-en-zaragoza.htm?id=7909633,6900
23,Mercedes,Clase Clk,Clk 220cdi,2007,,253.000 km,Diesel,150 CV,manual,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-220cdi-en-pontevedra.htm?id=7877072,6000
24,Mercedes,Clase Clk,Clk 230 K Elegance,1998,,148.000 km,Gasolina,193 CV,manual,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-230-k-elegance-en-alicante.htm?id=7622365,3800
25,Mercedes,Clase Clk,Clk 270 Cdi,2002,,250.000 km,Diesel,170 CV,manual,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-270-cdi-en-alicante.htm?id=8049758,2500
26,Mercedes,Clase Clk,Clk 320,2004,,224.000 km,Gasolina,218 CV,automática,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clk-clk-320-en-huelva.htm?id=7793449,6000
