,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Clase Glk,Glk 280 Aut.,2008,,227.973 km,Gasolina,231 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glk-glk-280-aut-en-pontevedra.htm?id=8022473,13900
1,Mercedes,Clase Glk,Glk 220cdi Be Limited Edition 4m Aut.,2011,11,190.000 km,Diesel,170 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glk-glk-220cdi-be-limited-edition-4m-aut-en-barcelona.htm?id=8003161,12999
2,Mercedes,Clase Glk,Glk 220cdi Be 4m Aut.,2013,04,77.848 km,Diesel,170 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glk-glk-220cdi-be-4m-aut-en-toledo.htm?id=8115229,21499
3,Mercedes,Clase Glk,Glk 220cdi Be 4m Aut.,2013,11,96.115 km,Diesel,170 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glk-glk-220cdi-be-4m-aut-en-toledo.htm?id=8099643,21599
4,Mercedes,Clase Glk,Glk 220cdi Be 7g-tronic Plus,2015,,116.000 km,Diesel,170 CV,automática secuencial,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glk-glk-220cdi-be-7g-tronic-plus-en-madrid.htm?id=8072689,21500
5,Mercedes,Clase Glk,Glk 220cdi Be Limited Edition 4m Aut.,2012,,260.000 km,Diesel,170 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glk-glk-220cdi-be-limited-edition-4m-aut-en-madrid.htm?id=7963148,16000
6,Mercedes,Clase Glk,Glk 250cdi Be 4m Aut.,2010,,214.000 km,Diesel,204 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glk-glk-250cdi-be-4m-aut-en-barcelona.htm?id=8055999,10000
7,Mercedes,Clase Glk,Glk 220cdi Be 4m Aut.,2014,,110.000 km,Diesel,170 CV,automática secuencial,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glk-glk-220cdi-be-4m-aut-en-castellon.htm?id=7838386,23000
8,Mercedes,Clase Glk,Glk 220cdi Be,2012,,290.000 km,Diesel,170 CV,manual,5 puertas,marron,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glk-glk-220cdi-be-en-vizcaya.htm?id=7712520,11500
9,Mercedes,Clase Glk,Glk 320cdi Aut.,2009,,225.000 km,Diesel,224 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glk-glk-320cdi-aut-en-leon.htm?id=7421375,14900
10,Mercedes,Clase Glk,Glk 220cdi Be 4m Aut.,2013,01,130.774 km,Diesel,170 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glk-glk-220cdi-be-4m-aut-en-granada.htm?id=8124553,20900
11,Mercedes,Clase Glk,Glk 220cdi Be 4m Aut.,2011,06,130.854 km,Diesel,170 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glk-glk-220cdi-be-4m-aut-en-toledo.htm?id=8122064,16999
12,Mercedes,Clase Glk,Glk 220cdi Be 4m Aut.,2015,08,128.973 km,Diesel,170 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glk-glk-220cdi-be-4m-aut-en-toledo.htm?id=8118508,21699
13,Mercedes,Clase Glk,Glk 200cdi Be,2012,09,175.000 km,Diesel,143 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glk-glk-200cdi-be-en-barcelona.htm?id=7511396,15990
